"Accession","Ae","AeT","At","AtT","AtTDp"
"All Accessions","5921.5409920817","5531.80662284914","6026.92424546918","5551.47701453049","5540.17335825774"
"242","377.980124600457","333.397410753018","379.129693382911","346.327913368159","340.439881455808"
"246","363.279051015163","343.92984660532","375.369131571974","363.014124030628","369.263628381526"
"319","428.196509254159","423.80284984202","430.199395012219","424.622821047165","411.024212619365"
"325","417.096394820806","406.621423708081","432.54102401258","424.599571656609","436.863167677264"
"326","379.918296546929","358.965022927132","387.623261185774","378.49428663488","382.526665699227"
"390","456.129468685076","441.423342956398","440.839735724011","408.851505755974","418.605768532535"
"572","404.91629304228","377.014080387341","410.175292973222","399.947748479414","410.020903124781"
"580","395.66562166503","370.346011412174","403.356972266879","379.27757468792","385.349742302646"
"582","385.95707509693","372.508150020238","384.508753885302","377.997584082802","386.365681878511"
"584","396.259845393249","378.340092271279","417.267776551305","399.067990481806","402.261775434132"
"585","418.184922042463","408.95768667564","412.325511256863","385.954445986845","395.313833427557"
"839","402.858929759485","394.856069075619","435.862201375791","417.883765555022","411.11548740879"
"845","397.330553677364","367.253126794949","408.205099261213","397.38701921863","405.266116617169"
"854","386.194299829451","366.850214955522","371.265969983427","351.132519518128","349.45692768192"
