"Dataset","Graph","R2","Mode"
"Entire Dataset All Accessions","Width vs. Fresh Weight",0.554,"Double Log"
"Entire Dataset All Accessions","Width vs. Fresh Weight",0.527,"Double Linear"
"Entire Dataset All Accessions","Height vs. Fresh Weight",0.405,"Double Log"
"Entire Dataset All Accessions","Height vs. Fresh Weight",0.368,"Double Linear"
"Entire Dataset All Accessions","Diameter vs. Fresh Weight",0.437,"Double Log"
"Entire Dataset All Accessions","Diameter vs. Fresh Weight",0.487,"Double Linear"
"Entire Dataset All Accessions","Thickness vs. Fresh Weight",0.396,"Double Log"
"Entire Dataset All Accessions","Thickness vs. Fresh Weight",0.351,"Double Linear"
"Entire Dataset All Accessions","Diameter / Width vs. Fresh Weight",0.026,"Double Log"
"Entire Dataset All Accessions","Diameter / Width vs. Fresh Weight",0.026,"Double Linear"
"Entire Dataset All Accessions","Width vs. Height",0.041,"Double Log"
"Entire Dataset All Accessions","Width vs. Height",0.032,"Double Linear"
"Entire Dataset All Accessions","Width vs. Diameter",0.159,"Double Log"
"Entire Dataset All Accessions","Width vs. Diameter",0.184,"Double Linear"
"Entire Dataset All Accessions","Width vs. Thickness",0.058,"Double Log"
"Entire Dataset All Accessions","Width vs. Thickness",0.042,"Double Linear"
"Entire Dataset All Accessions","Height vs. Diameter",0.478,"Double Log"
"Entire Dataset All Accessions","Height vs. Diameter",0.563,"Double Linear"
"Entire Dataset All Accessions","Height vs. Thickness",0.062,"Double Log"
"Entire Dataset All Accessions","Height vs. Thickness",0.064,"Double Linear"
"Entire Dataset All Accessions","Diameter vs. Thickness",0.074,"Double Log"
"Entire Dataset All Accessions","Diameter vs. Thickness",0.086,"Double Linear"
"Entire Dataset All Accessions","Diameter / Width vs. Dry Weight",0.026,"Double Log"
"Entire Dataset All Accessions","Diameter / Width vs. Dry Weight",0.021,"Double Linear"
"Entire Dataset 242","Width vs. Fresh Weight",0.789,"Double Log"
"Entire Dataset 242","Width vs. Fresh Weight",0.763,"Double Linear"
"Entire Dataset 242","Height vs. Fresh Weight",0.538,"Double Log"
"Entire Dataset 242","Height vs. Fresh Weight",0.501,"Double Linear"
"Entire Dataset 242","Diameter vs. Fresh Weight",0.727,"Double Log"
"Entire Dataset 242","Diameter vs. Fresh Weight",0.655,"Double Linear"
"Entire Dataset 242","Thickness vs. Fresh Weight",0.306,"Double Log"
"Entire Dataset 242","Thickness vs. Fresh Weight",0.446,"Double Linear"
"Entire Dataset 242","Diameter / Width vs. Fresh Weight",0.219,"Double Log"
"Entire Dataset 242","Diameter / Width vs. Fresh Weight",0.189,"Double Linear"
