"Dataset","Graph","R2","Mode"
"Entire Dataset All Accessions","Width vs. Fresh Weight",0.52,"Double Log"
"Entire Dataset All Accessions","Width vs. Fresh Weight",0.513,"Double Linear"
"Entire Dataset All Accessions","Height vs. Fresh Weight",0.383,"Double Log"
"Entire Dataset All Accessions","Height vs. Fresh Weight",0.35,"Double Linear"
"Entire Dataset All Accessions","Diameter vs. Fresh Weight",0.408,"Double Log"
"Entire Dataset All Accessions","Diameter vs. Fresh Weight",0.467,"Double Linear"
"Entire Dataset All Accessions","Thickness vs. Fresh Weight",0.411,"Double Log"
"Entire Dataset All Accessions","Thickness vs. Fresh Weight",0.368,"Double Linear"
"Entire Dataset All Accessions","Diameter / Width vs. Fresh Weight",0.027,"Double Log"
"Entire Dataset All Accessions","Diameter / Width vs. Fresh Weight",0.022,"Double Linear"
"Entire Dataset All Accessions","Width vs. Height",0.024,"Double Log"
"Entire Dataset All Accessions","Width vs. Height",0.018,"Double Linear"
"Entire Dataset All Accessions","Width vs. Diameter",0.121,"Double Log"
"Entire Dataset All Accessions","Width vs. Diameter",0.152,"Double Linear"
"Entire Dataset All Accessions","Width vs. Thickness",0.074,"Double Log"
"Entire Dataset All Accessions","Width vs. Thickness",0.05,"Double Linear"
"Entire Dataset All Accessions","Height vs. Diameter",0.45,"Double Log"
"Entire Dataset All Accessions","Height vs. Diameter",0.542,"Double Linear"
"Entire Dataset All Accessions","Height vs. Thickness",0.067,"Double Log"
"Entire Dataset All Accessions","Height vs. Thickness",0.07,"Double Linear"
"Entire Dataset All Accessions","Diameter vs. Thickness",0.076,"Double Log"
"Entire Dataset All Accessions","Diameter vs. Thickness",0.089,"Double Linear"
"Entire Dataset 242","Width vs. Fresh Weight",0.343,"Double Log"
"Entire Dataset 242","Width vs. Fresh Weight",0.526,"Double Linear"
"Entire Dataset 242","Height vs. Fresh Weight",0.538,"Double Log"
"Entire Dataset 242","Height vs. Fresh Weight",0.501,"Double Linear"
"Entire Dataset 242","Diameter vs. Fresh Weight",0.727,"Double Log"
"Entire Dataset 242","Diameter vs. Fresh Weight",0.655,"Double Linear"
"Entire Dataset 242","Thickness vs. Fresh Weight",0.306,"Double Log"
"Entire Dataset 242","Thickness vs. Fresh Weight",0.446,"Double Linear"
"Entire Dataset 242","Diameter / Width vs. Fresh Weight",0.033,"Double Log"
"Entire Dataset 242","Diameter / Width vs. Fresh Weight",0.005,"Double Linear"
"Entire Dataset 242","Width vs. Height",0.097,"Double Log"
"Entire Dataset 242","Width vs. Height",0.15,"Double Linear"
"Entire Dataset 242","Width vs. Diameter",0.097,"Double Log"
"Entire Dataset 242","Width vs. Diameter",0.182,"Double Linear"
"Entire Dataset 242","Width vs. Thickness",0.173,"Double Log"
"Entire Dataset 242","Width vs. Thickness",0.242,"Double Linear"
"Entire Dataset 242","Height vs. Diameter",0.816,"Double Log"
"Entire Dataset 242","Height vs. Diameter",0.887,"Double Linear"
"Entire Dataset 242","Height vs. Thickness",0.047,"Double Log"
"Entire Dataset 242","Height vs. Thickness",0.069,"Double Linear"
"Entire Dataset 242","Diameter vs. Thickness",0.12,"Double Log"
"Entire Dataset 242","Diameter vs. Thickness",0.135,"Double Linear"
"Entire Dataset 246","Width vs. Fresh Weight",0.518,"Double Log"
"Entire Dataset 246","Width vs. Fresh Weight",0.543,"Double Linear"
"Entire Dataset 246","Height vs. Fresh Weight",0.371,"Double Log"
"Entire Dataset 246","Height vs. Fresh Weight",0.354,"Double Linear"
"Entire Dataset 246","Diameter vs. Fresh Weight",0.643,"Double Log"
"Entire Dataset 246","Diameter vs. Fresh Weight",0.635,"Double Linear"
"Entire Dataset 246","Thickness vs. Fresh Weight",0.101,"Double Log"
"Entire Dataset 246","Thickness vs. Fresh Weight",0.064,"Double Linear"
"Entire Dataset 246","Diameter / Width vs. Fresh Weight",0.03,"Double Log"
"Entire Dataset 246","Diameter / Width vs. Fresh Weight",0.048,"Double Linear"
"Entire Dataset 246","Width vs. Height",0.05,"Double Log"
"Entire Dataset 246","Width vs. Height",0.055,"Double Linear"
"Entire Dataset 246","Width vs. Diameter",0.218,"Double Log"
"Entire Dataset 246","Width vs. Diameter",0.24,"Double Linear"
"Entire Dataset 246","Width vs. Thickness",0,"Double Log"
"Entire Dataset 246","Width vs. Thickness",0.002,"Double Linear"
"Entire Dataset 246","Height vs. Diameter",0.884,"Double Log"
"Entire Dataset 246","Height vs. Diameter",0.874,"Double Linear"
"Entire Dataset 246","Height vs. Thickness",0.004,"Double Log"
"Entire Dataset 246","Height vs. Thickness",0.006,"Double Linear"
"Entire Dataset 246","Diameter vs. Thickness",0,"Double Log"
"Entire Dataset 246","Diameter vs. Thickness",0.001,"Double Linear"
"Entire Dataset 319","Width vs. Fresh Weight",0.589,"Double Log"
"Entire Dataset 319","Width vs. Fresh Weight",0.532,"Double Linear"
"Entire Dataset 319","Height vs. Fresh Weight",0.125,"Double Log"
"Entire Dataset 319","Height vs. Fresh Weight",0.255,"Double Linear"
"Entire Dataset 319","Diameter vs. Fresh Weight",0.001,"Double Log"
"Entire Dataset 319","Diameter vs. Fresh Weight",0.031,"Double Linear"
"Entire Dataset 319","Thickness vs. Fresh Weight",0.094,"Double Log"
"Entire Dataset 319","Thickness vs. Fresh Weight",0.078,"Double Linear"
"Entire Dataset 319","Diameter / Width vs. Fresh Weight",0.078,"Double Log"
"Entire Dataset 319","Diameter / Width vs. Fresh Weight",0.084,"Double Linear"
"Entire Dataset 319","Width vs. Height",0.012,"Double Log"
"Entire Dataset 319","Width vs. Height",0.027,"Double Linear"
"Entire Dataset 319","Width vs. Diameter",0.007,"Double Log"
"Entire Dataset 319","Width vs. Diameter",0.003,"Double Linear"
"Entire Dataset 319","Width vs. Thickness",0.001,"Double Log"
"Entire Dataset 319","Width vs. Thickness",0,"Double Linear"
"Entire Dataset 319","Height vs. Diameter",0.001,"Double Log"
"Entire Dataset 319","Height vs. Diameter",0.073,"Double Linear"
"Entire Dataset 319","Height vs. Thickness",0,"Double Log"
"Entire Dataset 319","Height vs. Thickness",0.003,"Double Linear"
"Entire Dataset 319","Diameter vs. Thickness",0.053,"Double Log"
"Entire Dataset 319","Diameter vs. Thickness",0.063,"Double Linear"
"Entire Dataset 325","Width vs. Fresh Weight",0.593,"Double Log"
"Entire Dataset 325","Width vs. Fresh Weight",0.621,"Double Linear"
"Entire Dataset 325","Height vs. Fresh Weight",0.574,"Double Log"
"Entire Dataset 325","Height vs. Fresh Weight",0.502,"Double Linear"
"Entire Dataset 325","Diameter vs. Fresh Weight",0.859,"Double Log"
"Entire Dataset 325","Diameter vs. Fresh Weight",0.797,"Double Linear"
"Entire Dataset 325","Thickness vs. Fresh Weight",0.311,"Double Log"
"Entire Dataset 325","Thickness vs. Fresh Weight",0.24,"Double Linear"
"Entire Dataset 325","Diameter / Width vs. Fresh Weight",0,"Double Log"
"Entire Dataset 325","Diameter / Width vs. Fresh Weight",0.007,"Double Linear"
"Entire Dataset 325","Width vs. Height",0.128,"Double Log"
"Entire Dataset 325","Width vs. Height",0.12,"Double Linear"
"Entire Dataset 325","Width vs. Diameter",0.442,"Double Log"
"Entire Dataset 325","Width vs. Diameter",0.461,"Double Linear"
"Entire Dataset 325","Width vs. Thickness",0.037,"Double Log"
"Entire Dataset 325","Width vs. Thickness",0.017,"Double Linear"
"Entire Dataset 325","Height vs. Diameter",0.819,"Double Log"
"Entire Dataset 325","Height vs. Diameter",0.806,"Double Linear"
"Entire Dataset 325","Height vs. Thickness",0.175,"Double Log"
"Entire Dataset 325","Height vs. Thickness",0.115,"Double Linear"
"Entire Dataset 325","Diameter vs. Thickness",0.161,"Double Log"
"Entire Dataset 325","Diameter vs. Thickness",0.104,"Double Linear"
"Entire Dataset 326","Width vs. Fresh Weight",0.722,"Double Log"
"Entire Dataset 326","Width vs. Fresh Weight",0.699,"Double Linear"
"Entire Dataset 326","Height vs. Fresh Weight",0.711,"Double Log"
"Entire Dataset 326","Height vs. Fresh Weight",0.7,"Double Linear"
"Entire Dataset 326","Diameter vs. Fresh Weight",0.877,"Double Log"
"Entire Dataset 326","Diameter vs. Fresh Weight",0.868,"Double Linear"
"Entire Dataset 326","Thickness vs. Fresh Weight",0.196,"Double Log"
"Entire Dataset 326","Thickness vs. Fresh Weight",0.24,"Double Linear"
"Entire Dataset 326","Diameter / Width vs. Fresh Weight",0.005,"Double Log"
"Entire Dataset 326","Diameter / Width vs. Fresh Weight",0.007,"Double Linear"
"Entire Dataset 326","Width vs. Height",0.429,"Double Log"
"Entire Dataset 326","Width vs. Height",0.426,"Double Linear"
"Entire Dataset 326","Width vs. Diameter",0.644,"Double Log"
"Entire Dataset 326","Width vs. Diameter",0.642,"Double Linear"
"Entire Dataset 326","Width vs. Thickness",0.242,"Double Log"
"Entire Dataset 326","Width vs. Thickness",0.217,"Double Linear"
"Entire Dataset 326","Height vs. Diameter",0.882,"Double Log"
"Entire Dataset 326","Height vs. Diameter",0.882,"Double Linear"
"Entire Dataset 326","Height vs. Thickness",0.018,"Double Log"
"Entire Dataset 326","Height vs. Thickness",0.028,"Double Linear"
"Entire Dataset 326","Diameter vs. Thickness",0.049,"Double Log"
"Entire Dataset 326","Diameter vs. Thickness",0.058,"Double Linear"
"Entire Dataset 390","Width vs. Fresh Weight",0.67,"Double Log"
"Entire Dataset 390","Width vs. Fresh Weight",0.643,"Double Linear"
"Entire Dataset 390","Height vs. Fresh Weight",0.651,"Double Log"
"Entire Dataset 390","Height vs. Fresh Weight",0.581,"Double Linear"
"Entire Dataset 390","Diameter vs. Fresh Weight",0.638,"Double Log"
"Entire Dataset 390","Diameter vs. Fresh Weight",0.658,"Double Linear"
"Entire Dataset 390","Thickness vs. Fresh Weight",0.536,"Double Log"
"Entire Dataset 390","Thickness vs. Fresh Weight",0.44,"Double Linear"
"Entire Dataset 390","Diameter / Width vs. Fresh Weight",0,"Double Log"
"Entire Dataset 390","Diameter / Width vs. Fresh Weight",0.001,"Double Linear"
"Entire Dataset 390","Width vs. Height",0.361,"Double Log"
"Entire Dataset 390","Width vs. Height",0.327,"Double Linear"
"Entire Dataset 390","Width vs. Diameter",0.483,"Double Log"
"Entire Dataset 390","Width vs. Diameter",0.532,"Double Linear"
"Entire Dataset 390","Width vs. Thickness",0.149,"Double Log"
"Entire Dataset 390","Width vs. Thickness",0.088,"Double Linear"
"Entire Dataset 390","Height vs. Diameter",0.734,"Double Log"
"Entire Dataset 390","Height vs. Diameter",0.761,"Double Linear"
"Entire Dataset 390","Height vs. Thickness",0.169,"Double Log"
"Entire Dataset 390","Height vs. Thickness",0.14,"Double Linear"
"Entire Dataset 390","Diameter vs. Thickness",0.115,"Double Log"
"Entire Dataset 390","Diameter vs. Thickness",0.096,"Double Linear"
"Entire Dataset 572","Width vs. Fresh Weight",0.647,"Double Log"
"Entire Dataset 572","Width vs. Fresh Weight",0.597,"Double Linear"
"Entire Dataset 572","Height vs. Fresh Weight",0.686,"Double Log"
"Entire Dataset 572","Height vs. Fresh Weight",0.664,"Double Linear"
"Entire Dataset 572","Diameter vs. Fresh Weight",0.792,"Double Log"
"Entire Dataset 572","Diameter vs. Fresh Weight",0.773,"Double Linear"
"Entire Dataset 572","Thickness vs. Fresh Weight",0.104,"Double Log"
"Entire Dataset 572","Thickness vs. Fresh Weight",0.098,"Double Linear"
"Entire Dataset 572","Diameter / Width vs. Fresh Weight",0,"Double Log"
"Entire Dataset 572","Diameter / Width vs. Fresh Weight",0.009,"Double Linear"
"Entire Dataset 572","Width vs. Height",0.699,"Double Log"
"Entire Dataset 572","Width vs. Height",0.699,"Double Linear"
"Entire Dataset 572","Width vs. Diameter",0.725,"Double Log"
"Entire Dataset 572","Width vs. Diameter",0.712,"Double Linear"
"Entire Dataset 572","Width vs. Thickness",0.004,"Double Log"
"Entire Dataset 572","Width vs. Thickness",0.002,"Double Linear"
"Entire Dataset 572","Height vs. Diameter",0.897,"Double Log"
"Entire Dataset 572","Height vs. Diameter",0.898,"Double Linear"
"Entire Dataset 572","Height vs. Thickness",0.002,"Double Log"
"Entire Dataset 572","Height vs. Thickness",0,"Double Linear"
"Entire Dataset 572","Diameter vs. Thickness",0,"Double Log"
"Entire Dataset 572","Diameter vs. Thickness",0,"Double Linear"
"Entire Dataset 580","Width vs. Fresh Weight",0.449,"Double Log"
"Entire Dataset 580","Width vs. Fresh Weight",0.466,"Double Linear"
"Entire Dataset 580","Height vs. Fresh Weight",0.12,"Double Log"
"Entire Dataset 580","Height vs. Fresh Weight",0.134,"Double Linear"
"Entire Dataset 580","Diameter vs. Fresh Weight",0.251,"Double Log"
"Entire Dataset 580","Diameter vs. Fresh Weight",0.237,"Double Linear"
"Entire Dataset 580","Thickness vs. Fresh Weight",0.227,"Double Log"
"Entire Dataset 580","Thickness vs. Fresh Weight",0.222,"Double Linear"
"Entire Dataset 580","Diameter / Width vs. Fresh Weight",0.004,"Double Log"
"Entire Dataset 580","Diameter / Width vs. Fresh Weight",0.017,"Double Linear"
"Entire Dataset 580","Width vs. Height",0.001,"Double Log"
"Entire Dataset 580","Width vs. Height",0.003,"Double Linear"
"Entire Dataset 580","Width vs. Diameter",0.084,"Double Log"
"Entire Dataset 580","Width vs. Diameter",0.093,"Double Linear"
"Entire Dataset 580","Width vs. Thickness",0.001,"Double Log"
"Entire Dataset 580","Width vs. Thickness",0,"Double Linear"
"Entire Dataset 580","Height vs. Diameter",0.479,"Double Log"
"Entire Dataset 580","Height vs. Diameter",0.388,"Double Linear"
"Entire Dataset 580","Height vs. Thickness",0.008,"Double Log"
"Entire Dataset 580","Height vs. Thickness",0.009,"Double Linear"
"Entire Dataset 580","Diameter vs. Thickness",0.03,"Double Log"
"Entire Dataset 580","Diameter vs. Thickness",0.038,"Double Linear"
"Entire Dataset 582","Width vs. Fresh Weight",0.683,"Double Log"
"Entire Dataset 582","Width vs. Fresh Weight",0.676,"Double Linear"
"Entire Dataset 582","Height vs. Fresh Weight",0.451,"Double Log"
"Entire Dataset 582","Height vs. Fresh Weight",0.383,"Double Linear"
"Entire Dataset 582","Diameter vs. Fresh Weight",0.716,"Double Log"
"Entire Dataset 582","Diameter vs. Fresh Weight",0.637,"Double Linear"
"Entire Dataset 582","Thickness vs. Fresh Weight",0.322,"Double Log"
