"Dataset","Graph","R2","Mode"
"Entire Dataset All Accessions","Width vs. Fresh Weight",0.588,"Double Log"
"Entire Dataset All Accessions","Width vs. Fresh Weight",0.584,"Double Linear"
"Entire Dataset All Accessions","Height vs. Fresh Weight",0.408,"Double Log"
"Entire Dataset All Accessions","Height vs. Fresh Weight",0.369,"Double Linear"
"Entire Dataset All Accessions","Diameter vs. Fresh Weight",0.692,"Double Log"
"Entire Dataset All Accessions","Diameter vs. Fresh Weight",0.659,"Double Linear"
"Entire Dataset All Accessions","Thickness vs. Fresh Weight",0.414,"Double Log"
"Entire Dataset All Accessions","Thickness vs. Fresh Weight",0.36,"Double Linear"
"Entire Dataset All Accessions","Diameter / Width vs. Fresh Weight",0.037,"Double Log"
"Entire Dataset All Accessions","Diameter / Width vs. Fresh Weight",0.037,"Double Linear"
"Entire Dataset All Accessions","Width vs. Height",0.051,"Double Log"
"Entire Dataset All Accessions","Width vs. Height",0.045,"Double Linear"
"Entire Dataset All Accessions","Width vs. Diameter",0.258,"Double Log"
"Entire Dataset All Accessions","Width vs. Diameter",0.272,"Double Linear"
"Entire Dataset All Accessions","Width vs. Thickness",0.081,"Double Log"
"Entire Dataset All Accessions","Width vs. Thickness",0.062,"Double Linear"
"Entire Dataset All Accessions","Height vs. Diameter",0.797,"Double Log"
"Entire Dataset All Accessions","Height vs. Diameter",0.799,"Double Linear"
"Entire Dataset All Accessions","Height vs. Thickness",0.062,"Double Log"
"Entire Dataset All Accessions","Height vs. Thickness",0.064,"Double Linear"
"Entire Dataset All Accessions","Diameter vs. Thickness",0.115,"Double Log"
"Entire Dataset All Accessions","Diameter vs. Thickness",0.11,"Double Linear"
"Entire Dataset All Accessions","Diameter / Width vs. Dry Weight",0.091,"Double Log"
"Entire Dataset All Accessions","Diameter / Width vs. Dry Weight",0.085,"Double Linear"
"Entire Dataset 242","Width vs. Fresh Weight",0.799,"Double Log"
"Entire Dataset 242","Width vs. Fresh Weight",0.784,"Double Linear"
"Entire Dataset 242","Height vs. Fresh Weight",0.624,"Double Log"
"Entire Dataset 242","Height vs. Fresh Weight",0.549,"Double Linear"
"Entire Dataset 242","Diameter vs. Fresh Weight",0.737,"Double Log"
"Entire Dataset 242","Diameter vs. Fresh Weight",0.659,"Double Linear"
"Entire Dataset 242","Thickness vs. Fresh Weight",0.364,"Double Log"
"Entire Dataset 242","Thickness vs. Fresh Weight",0.503,"Double Linear"
"Entire Dataset 242","Diameter / Width vs. Fresh Weight",0.162,"Double Log"
"Entire Dataset 242","Diameter / Width vs. Fresh Weight",0.149,"Double Linear"
"Entire Dataset 242","Width vs. Height",0.292,"Double Log"
"Entire Dataset 242","Width vs. Height",0.301,"Double Linear"
"Entire Dataset 242","Width vs. Diameter",0.411,"Double Log"
"Entire Dataset 242","Width vs. Diameter",0.418,"Double Linear"
"Entire Dataset 242","Width vs. Thickness",0.17,"Double Log"
"Entire Dataset 242","Width vs. Thickness",0.26,"Double Linear"
"Entire Dataset 242","Height vs. Diameter",0.978,"Double Log"
"Entire Dataset 242","Height vs. Diameter",0.979,"Double Linear"
"Entire Dataset 242","Height vs. Thickness",0.127,"Double Log"
"Entire Dataset 242","Height vs. Thickness",0.131,"Double Linear"
"Entire Dataset 242","Diameter vs. Thickness",0.143,"Double Log"
"Entire Dataset 242","Diameter vs. Thickness",0.157,"Double Linear"
"Entire Dataset 242","Diameter / Width vs. Dry Weight",0.162,"Double Log"
"Entire Dataset 242","Diameter / Width vs. Dry Weight",0.149,"Double Linear"
"Entire Dataset 246","Width vs. Fresh Weight",0.665,"Double Log"
"Entire Dataset 246","Width vs. Fresh Weight",0.709,"Double Linear"
"Entire Dataset 246","Height vs. Fresh Weight",0.411,"Double Log"
"Entire Dataset 246","Height vs. Fresh Weight",0.393,"Double Linear"
"Entire Dataset 246","Diameter vs. Fresh Weight",0.679,"Double Log"
"Entire Dataset 246","Diameter vs. Fresh Weight",0.671,"Double Linear"
"Entire Dataset 246","Thickness vs. Fresh Weight",0.098,"Double Log"
"Entire Dataset 246","Thickness vs. Fresh Weight",0.06,"Double Linear"
"Entire Dataset 246","Diameter / Width vs. Fresh Weight",0.062,"Double Log"
"Entire Dataset 246","Diameter / Width vs. Fresh Weight",0.076,"Double Linear"
"Entire Dataset 246","Width vs. Height",0.112,"Double Log"
"Entire Dataset 246","Width vs. Height",0.125,"Double Linear"
"Entire Dataset 246","Width vs. Diameter",0.359,"Double Log"
"Entire Dataset 246","Width vs. Diameter",0.397,"Double Linear"
"Entire Dataset 246","Width vs. Thickness",0.001,"Double Log"
"Entire Dataset 246","Width vs. Thickness",0,"Double Linear"
"Entire Dataset 246","Height vs. Diameter",0.884,"Double Log"
"Entire Dataset 246","Height vs. Diameter",0.875,"Double Linear"
