"Dataset","Graph","R2","Mode"
"Entire Dataset All Accessions","Width vs. Fresh Weight",0.575,"Double Log"
"Entire Dataset All Accessions","Width vs. Fresh Weight",0.567,"Double Linear"
"Entire Dataset All Accessions","Height vs. Fresh Weight",0.403,"Double Log"
"Entire Dataset All Accessions","Height vs. Fresh Weight",0.362,"Double Linear"
"Entire Dataset All Accessions","Diameter vs. Fresh Weight",0.688,"Double Log"
"Entire Dataset All Accessions","Diameter vs. Fresh Weight",0.654,"Double Linear"
"Entire Dataset All Accessions","Thickness vs. Fresh Weight",0.396,"Double Log"
"Entire Dataset All Accessions","Thickness vs. Fresh Weight",0.348,"Double Linear"
"Entire Dataset All Accessions","Diameter / Width vs. Fresh Weight",0.036,"Double Log"
"Entire Dataset All Accessions","Diameter / Width vs. Fresh Weight",0.036,"Double Linear"
"Entire Dataset All Accessions","Width vs. Height",0.045,"Double Log"
"Entire Dataset All Accessions","Width vs. Height",0.038,"Double Linear"
"Entire Dataset All Accessions","Width vs. Diameter",0.248,"Double Log"
"Entire Dataset All Accessions","Width vs. Diameter",0.261,"Double Linear"
"Entire Dataset All Accessions","Width vs. Thickness",0.065,"Double Log"
"Entire Dataset All Accessions","Width vs. Thickness",0.049,"Double Linear"
"Entire Dataset All Accessions","Height vs. Diameter",0.797,"Double Log"
"Entire Dataset All Accessions","Height vs. Diameter",0.798,"Double Linear"
"Entire Dataset All Accessions","Height vs. Thickness",0.059,"Double Log"
"Entire Dataset All Accessions","Height vs. Thickness",0.062,"Double Linear"
"Entire Dataset All Accessions","Diameter vs. Thickness",0.106,"Double Log"
"Entire Dataset All Accessions","Diameter vs. Thickness",0.103,"Double Linear"
"Entire Dataset All Accessions","Diameter / Width vs. Dry Weight",0.091,"Double Log"
"Entire Dataset All Accessions","Diameter / Width vs. Dry Weight",0.084,"Double Linear"
"Entire Dataset 242","Width vs. Fresh Weight",0.8,"Double Log"
"Entire Dataset 242","Width vs. Fresh Weight",0.771,"Double Linear"
"Entire Dataset 242","Height vs. Fresh Weight",0.585,"Double Log"
"Entire Dataset 242","Height vs. Fresh Weight",0.52,"Double Linear"
"Entire Dataset 242","Diameter vs. Fresh Weight",0.721,"Double Log"
"Entire Dataset 242","Diameter vs. Fresh Weight",0.648,"Double Linear"
"Entire Dataset 242","Thickness vs. Fresh Weight",0.357,"Double Log"
"Entire Dataset 242","Thickness vs. Fresh Weight",0.494,"Double Linear"
"Entire Dataset 242","Diameter / Width vs. Fresh Weight",0.192,"Double Log"
"Entire Dataset 242","Diameter / Width vs. Fresh Weight",0.17,"Double Linear"
"Entire Dataset 242","Width vs. Height",0.25,"Double Log"
"Entire Dataset 242","Width vs. Height",0.248,"Double Linear"
"Entire Dataset 242","Width vs. Diameter",0.387,"Double Log"
"Entire Dataset 242","Width vs. Diameter",0.383,"Double Linear"
"Entire Dataset 242","Width vs. Thickness",0.161,"Double Log"
"Entire Dataset 242","Width vs. Thickness",0.236,"Double Linear"
"Entire Dataset 242","Height vs. Diameter",0.97,"Double Log"
"Entire Dataset 242","Height vs. Diameter",0.972,"Double Linear"
"Entire Dataset 242","Height vs. Thickness",0.126,"Double Log"
"Entire Dataset 242","Height vs. Thickness",0.129,"Double Linear"
"Entire Dataset 242","Diameter vs. Thickness",0.143,"Double Log"
"Entire Dataset 242","Diameter vs. Thickness",0.157,"Double Linear"
"Entire Dataset 242","Diameter / Width vs. Dry Weight",0.192,"Double Log"
"Entire Dataset 242","Diameter / Width vs. Dry Weight",0.17,"Double Linear"
"Entire Dataset 246","Width vs. Fresh Weight",0.665,"Double Log"
"Entire Dataset 246","Width vs. Fresh Weight",0.709,"Double Linear"
"Entire Dataset 246","Height vs. Fresh Weight",0.411,"Double Log"
"Entire Dataset 246","Height vs. Fresh Weight",0.393,"Double Linear"
"Entire Dataset 246","Diameter vs. Fresh Weight",0.679,"Double Log"
"Entire Dataset 246","Diameter vs. Fresh Weight",0.671,"Double Linear"
"Entire Dataset 246","Thickness vs. Fresh Weight",0.098,"Double Log"
"Entire Dataset 246","Thickness vs. Fresh Weight",0.06,"Double Linear"
"Entire Dataset 246","Diameter / Width vs. Fresh Weight",0.062,"Double Log"
"Entire Dataset 246","Diameter / Width vs. Fresh Weight",0.076,"Double Linear"
"Entire Dataset 246","Width vs. Height",0.112,"Double Log"
"Entire Dataset 246","Width vs. Height",0.125,"Double Linear"
"Entire Dataset 246","Width vs. Diameter",0.359,"Double Log"
"Entire Dataset 246","Width vs. Diameter",0.397,"Double Linear"
"Entire Dataset 246","Width vs. Thickness",0.001,"Double Log"
"Entire Dataset 246","Width vs. Thickness",0,"Double Linear"
"Entire Dataset 246","Height vs. Diameter",0.884,"Double Log"
"Entire Dataset 246","Height vs. Diameter",0.875,"Double Linear"
"Entire Dataset 246","Height vs. Thickness",0.008,"Double Log"
"Entire Dataset 246","Height vs. Thickness",0.01,"Double Linear"
"Entire Dataset 246","Diameter vs. Thickness",0.001,"Double Log"
"Entire Dataset 246","Diameter vs. Thickness",0.003,"Double Linear"
"Entire Dataset 246","Diameter / Width vs. Dry Weight",0.062,"Double Log"
"Entire Dataset 246","Diameter / Width vs. Dry Weight",0.076,"Double Linear"
"Entire Dataset 319","Width vs. Fresh Weight",0.534,"Double Log"
"Entire Dataset 319","Width vs. Fresh Weight",0.469,"Double Linear"
"Entire Dataset 319","Height vs. Fresh Weight",0.157,"Double Log"
"Entire Dataset 319","Height vs. Fresh Weight",0.268,"Double Linear"
"Entire Dataset 319","Diameter vs. Fresh Weight",0.727,"Double Log"
"Entire Dataset 319","Diameter vs. Fresh Weight",0.696,"Double Linear"
"Entire Dataset 319","Thickness vs. Fresh Weight",0.142,"Double Log"
"Entire Dataset 319","Thickness vs. Fresh Weight",0.132,"Double Linear"
"Entire Dataset 319","Diameter / Width vs. Fresh Weight",0.002,"Double Log"
"Entire Dataset 319","Diameter / Width vs. Fresh Weight",0.001,"Double Linear"
