"Dataset","Graph","R2","Mode"
"Entire Dataset All Accessions","Width vs. Fresh Weight",0.591,"Double Log"
"Entire Dataset All Accessions","Width vs. Fresh Weight",0.573,"Double Linear"
"Entire Dataset All Accessions","Height vs. Fresh Weight",0.384,"Double Log"
"Entire Dataset All Accessions","Height vs. Fresh Weight",0.351,"Double Linear"
"Entire Dataset All Accessions","Diameter vs. Fresh Weight",0.687,"Double Log"
"Entire Dataset All Accessions","Diameter vs. Fresh Weight",0.658,"Double Linear"
"Entire Dataset All Accessions","Thickness vs. Fresh Weight",0.415,"Double Log"
"Entire Dataset All Accessions","Thickness vs. Fresh Weight",0.37,"Double Linear"
"Entire Dataset All Accessions","Diameter / Width vs. Fresh Weight",0.045,"Double Log"
"Entire Dataset All Accessions","Diameter / Width vs. Fresh Weight",0.042,"Double Linear"
"Entire Dataset All Accessions","Width vs. Height",0.04,"Double Log"
"Entire Dataset All Accessions","Width vs. Height",0.03,"Double Linear"
"Entire Dataset All Accessions","Width vs. Diameter",0.241,"Double Log"
"Entire Dataset All Accessions","Width vs. Diameter",0.248,"Double Linear"
"Entire Dataset All Accessions","Width vs. Thickness",0.079,"Double Log"
"Entire Dataset All Accessions","Width vs. Thickness",0.058,"Double Linear"
"Entire Dataset All Accessions","Height vs. Diameter",0.776,"Double Log"
"Entire Dataset All Accessions","Height vs. Diameter",0.797,"Double Linear"
"Entire Dataset All Accessions","Height vs. Thickness",0.069,"Double Log"
"Entire Dataset All Accessions","Height vs. Thickness",0.074,"Double Linear"
"Entire Dataset All Accessions","Diameter vs. Thickness",0.125,"Double Log"
"Entire Dataset All Accessions","Diameter vs. Thickness",0.119,"Double Linear"
"Entire Dataset 242","Width vs. Fresh Weight",0.785,"Double Log"
"Entire Dataset 242","Width vs. Fresh Weight",0.761,"Double Linear"
"Entire Dataset 242","Height vs. Fresh Weight",0.528,"Double Log"
"Entire Dataset 242","Height vs. Fresh Weight",0.497,"Double Linear"
"Entire Dataset 242","Diameter vs. Fresh Weight",0.725,"Double Log"
"Entire Dataset 242","Diameter vs. Fresh Weight",0.661,"Double Linear"
"Entire Dataset 242","Thickness vs. Fresh Weight",0.371,"Double Log"
"Entire Dataset 242","Thickness vs. Fresh Weight",0.502,"Double Linear"
"Entire Dataset 242","Diameter / Width vs. Fresh Weight",0.228,"Double Log"
"Entire Dataset 242","Diameter / Width vs. Fresh Weight",0.193,"Double Linear"
"Entire Dataset 242","Width vs. Height",0.33,"Double Log"
"Entire Dataset 242","Width vs. Height",0.301,"Double Linear"
"Entire Dataset 242","Width vs. Diameter",0.387,"Double Log"
"Entire Dataset 242","Width vs. Diameter",0.389,"Double Linear"
"Entire Dataset 242","Width vs. Thickness",0.13,"Double Log"
"Entire Dataset 242","Width vs. Thickness",0.209,"Double Linear"
"Entire Dataset 242","Height vs. Diameter",0.809,"Double Log"
"Entire Dataset 242","Height vs. Diameter",0.884,"Double Linear"
"Entire Dataset 242","Height vs. Thickness",0.075,"Double Log"
"Entire Dataset 242","Height vs. Thickness",0.1,"Double Linear"
"Entire Dataset 242","Diameter vs. Thickness",0.182,"Double Log"
"Entire Dataset 242","Diameter vs. Thickness",0.195,"Double Linear"
"Entire Dataset 246","Width vs. Fresh Weight",0.665,"Double Log"
"Entire Dataset 246","Width vs. Fresh Weight",0.709,"Double Linear"
"Entire Dataset 246","Height vs. Fresh Weight",0.411,"Double Log"
"Entire Dataset 246","Height vs. Fresh Weight",0.393,"Double Linear"
"Entire Dataset 246","Diameter vs. Fresh Weight",0.679,"Double Log"
"Entire Dataset 246","Diameter vs. Fresh Weight",0.671,"Double Linear"
"Entire Dataset 246","Thickness vs. Fresh Weight",0.098,"Double Log"
"Entire Dataset 246","Thickness vs. Fresh Weight",0.06,"Double Linear"
"Entire Dataset 246","Diameter / Width vs. Fresh Weight",0.062,"Double Log"
"Entire Dataset 246","Diameter / Width vs. Fresh Weight",0.076,"Double Linear"
"Entire Dataset 246","Width vs. Height",0.112,"Double Log"
"Entire Dataset 246","Width vs. Height",0.125,"Double Linear"
"Entire Dataset 246","Width vs. Diameter",0.359,"Double Log"
"Entire Dataset 246","Width vs. Diameter",0.397,"Double Linear"
"Entire Dataset 246","Width vs. Thickness",0.001,"Double Log"
"Entire Dataset 246","Width vs. Thickness",0,"Double Linear"
"Entire Dataset 246","Height vs. Diameter",0.884,"Double Log"
"Entire Dataset 246","Height vs. Diameter",0.875,"Double Linear"
"Entire Dataset 246","Height vs. Thickness",0.008,"Double Log"
"Entire Dataset 246","Height vs. Thickness",0.01,"Double Linear"
"Entire Dataset 246","Diameter vs. Thickness",0.001,"Double Log"
"Entire Dataset 246","Diameter vs. Thickness",0.003,"Double Linear"
"Entire Dataset 319","Width vs. Fresh Weight",0.605,"Double Log"
"Entire Dataset 319","Width vs. Fresh Weight",0.517,"Double Linear"
"Entire Dataset 319","Height vs. Fresh Weight",0.118,"Double Log"
"Entire Dataset 319","Height vs. Fresh Weight",0.252,"Double Linear"
"Entire Dataset 319","Diameter vs. Fresh Weight",0.737,"Double Log"
"Entire Dataset 319","Diameter vs. Fresh Weight",0.709,"Double Linear"
"Entire Dataset 319","Thickness vs. Fresh Weight",0.14,"Double Log"
"Entire Dataset 319","Thickness vs. Fresh Weight",0.128,"Double Linear"
"Entire Dataset 319","Diameter / Width vs. Fresh Weight",0.003,"Double Log"
"Entire Dataset 319","Diameter / Width vs. Fresh Weight",0,"Double Linear"
"Entire Dataset 319","Width vs. Height",0.014,"Double Log"
"Entire Dataset 319","Width vs. Height",0.031,"Double Linear"
"Entire Dataset 319","Width vs. Diameter",0.326,"Double Log"
"Entire Dataset 319","Width vs. Diameter",0.275,"Double Linear"
"Entire Dataset 319","Width vs. Thickness",0.002,"Double Log"
"Entire Dataset 319","Width vs. Thickness",0,"Double Linear"
"Entire Dataset 319","Height vs. Diameter",0.25,"Double Log"
"Entire Dataset 319","Height vs. Diameter",0.478,"Double Linear"
"Entire Dataset 319","Height vs. Thickness",0.001,"Double Log"
"Entire Dataset 319","Height vs. Thickness",0.009,"Double Linear"
"Entire Dataset 319","Diameter vs. Thickness",0.042,"Double Log"
"Entire Dataset 319","Diameter vs. Thickness",0.039,"Double Linear"
"Entire Dataset 325","Width vs. Fresh Weight",0.619,"Double Log"
"Entire Dataset 325","Width vs. Fresh Weight",0.63,"Double Linear"
"Entire Dataset 325","Height vs. Fresh Weight",0.621,"Double Log"
"Entire Dataset 325","Height vs. Fresh Weight",0.559,"Double Linear"
"Entire Dataset 325","Diameter vs. Fresh Weight",0.869,"Double Log"
"Entire Dataset 325","Diameter vs. Fresh Weight",0.811,"Double Linear"
"Entire Dataset 325","Thickness vs. Fresh Weight",0.308,"Double Log"
"Entire Dataset 325","Thickness vs. Fresh Weight",0.228,"Double Linear"
"Entire Dataset 325","Diameter / Width vs. Fresh Weight",0.004,"Double Log"
