"completeID","fresh_weight","width","height","diameter","thickness","accession","species","pad_id","dataset","H_div_W","FW_div_W","FW_div_D","FW_div_H","FW_div_T","D_div_W","dry_weight"
"PARL 242-2-6",192.7,9.2,29.3,65.1,12.6,242,"O. cochinillifera",1,"Year 1",3.18478260869565,20.945652173913,2.96006144393241,6.57679180887372,15.2936507936508,7.07608695652174,12.608505997819
"PARL 242-1-6",202.3,7.6,30.5,66.2,15.2,242,"O. cochinillifera",1,"Year 1",4.01315789473684,26.6184210526316,3.0558912386707,6.6327868852459,13.3092105263158,8.71052631578947,13.236641221374
"PARL 242-4-5",235.9,8.4,30.6,67.7,15.4,242,"O. cochinillifera",1,"Year 1",3.64285714285714,28.0833333333333,3.48449039881832,7.70915032679739,15.3181818181818,8.05952380952381,15.4351145038168
"PARL 242-1-7",244.6,7.3,21,69.2,17.4,242,"O. cochinillifera",1,"Year 1",2.87671232876712,33.5068493150685,3.53468208092486,11.647619047619,14.0574712643678,9.47945205479452,16.0043620501636
"PARL 242-1-2",249.6,10,28.5,64.2,14,242,"O. cochinillifera",1,"Year 1",2.85,24.96,3.88785046728972,8.75789473684211,17.8285714285714,6.42,16.3315158124318
"PARL 242-4-4",268,9.1,33.2,72.7,14.2,242,"O. cochinillifera",1,"Year 1",3.64835164835165,29.4505494505495,3.68638239339752,8.07228915662651,18.8732394366197,7.98901098901099,17.5354416575791
"PARL 242-1-8",270.4,9.4,34.6,75.4,14.7,242,"O. cochinillifera",1,"Year 1",3.68085106382979,28.7659574468085,3.58620689655172,7.8150289017341,18.3945578231293,8.02127659574468,17.6924754634678
"PARL 242-4-6",270.8,9.5,32.4,71.4,12.4,242,"O. cochinillifera",1,"Year 1",3.41052631578947,28.5052631578947,3.79271708683473,8.35802469135803,21.8387096774194,7.51578947368421,17.7186477644493
"PARL 242-2-4",271.5,11.3,29.1,66.5,14.7,242,"O. cochinillifera",1,"Year 1",2.57522123893805,24.0265486725664,4.08270676691729,9.32989690721649,18.469387755102,5.88495575221239,17.7644492911668
"PARL 242-3-1",279.1,11.4,29.6,66.1,13.8,242,"O. cochinillifera",1,"Year 1",2.59649122807018,24.4824561403509,4.22239031770045,9.42905405405405,20.2246376811594,5.79824561403509,18.2617230098146
"PARL 242-1-3",291.3,8.7,33,73.3,16.3,242,"O. cochinillifera",1,"Year 1",3.79310344827586,33.4827586206897,3.97407912687585,8.82727272727273,17.8711656441718,8.42528735632184,19.0599781897492
"PARL 242-2-2",291.5,9.5,37.7,82.7,14.1,242,"O. cochinillifera",1,"Year 1",3.96842105263158,30.6842105263158,3.52478839177751,7.73209549071618,20.6737588652482,8.70526315789474,19.0730643402399
"PARL 242-2-5",327,9,35.7,77.4,17.1,242,"O. cochinillifera",1,"Year 1",3.96666666666667,36.3333333333333,4.22480620155039,9.15966386554622,19.1228070175439,8.6,21.3958560523446
"PARL 242-3-8",335.2,10.4,33.7,74.9,14,242,"O. cochinillifera",1,"Year 1",3.24038461538462,32.2307692307692,4.47530040053404,9.94658753709199,23.9428571428571,7.20192307692308,21.9323882224646
"PARL 242-3-4",348.9,12.4,30.9,72,11.1,242,"O. cochinillifera",1,"Year 1",2.49193548387097,28.1370967741935,4.84583333333333,11.2912621359223,31.4324324324324,5.80645161290323,22.8287895310796
