"Accession","Ae","AeT","At","AtT","AtTDp"
"All Accessions","5635.12615312519","5256.22336687213","5709.18160944417","5256.63021304756","5245.4532151969"
"242","366.694546534744","323.513912328624","360.482568581504","323.488564448185","331.344333406132"
"246","341.346922400281","321.197196712608","342.829976284211","327.277188515258","336.701253436616"
"319","414.297012154893","410.48111342504","416.720836481806","411.498265945425","396.247394097549"
"325","393.039227261356","380.533864342982","407.812501624399","400.481817204254","411.277215598655"
"326","354.352965630708","307.582638735174","363.803198282794","349.44729338058","355.929189214441"
"390","429.769593519485","416.191353279862","415.490992823512","384.339710736643","392.333735331915"
"572","370.659899618259","351.451040237247","374.083570323271","369.016517644525","375.997326128641"
"580","384.485478836929","358.634373802476","391.942664426622","365.656982930914","374.877282354168"
"582","362.532134101169","349.89085690615","361.410341148257","355.796343528603","361.823486473322"
"584","384.422253665237","367.883268737706","404.543222074632","387.961708205622","390.906837969544"
"585","404.403008668092","391.985820445268","400.10659145676","375.243309883009","384.597246483473"
"839","388.768116411608","381.865698232027","411.931855997721","387.493640818976","392.241915912658"
"845","373.748895990824","345.023391537571","383.808509900986","374.881702812565","382.498466917629"
"854","375.327714906485","356.564801924114","360.791933427382","341.520816754249","338.603280953512"
