Comparison,All Accessions,242,246,319,325,326,390,572,580,582,584,585,839,845,854,,Linear,Width vs. Fresh Weight,Height vs. Fresh Weight,Diameter vs. Fresh Weight,Thickness vs. Fresh Weight,Diameter / Width vs. Fresh Weight,Width vs. Height,Width vs. Diameter,Width vs. Thickness,Height vs. Diameter,Height vs. Thickness,Diameter vs. Thickness,Diameter / Width vs. Dry Weight,,,,
Width vs. Fresh Weight,0.567,0.771,0.709,0.469,0.671,0.765,0.693,0.649,0.428,0.777,0.743,0.571,0.634,0.715,0.641,,All Accessions,0.567,0.362,0.654,0.348,0.036,0.038,0.261,0.049,0.798,0.062,0.103,0.084,,,,
Height vs. Fresh Weight,0.362,0.52,0.393,0.268,0.562,0.722,0.601,0.645,0.217,0.438,0.753,0.543,0.41,0.789,0.192,,242,0.771,0.52,0.648,0.494,0.17,0.248,0.383,0.236,0.972,0.129,0.157,0.17,,,,
Diameter vs. Fresh Weight,0.654,0.648,0.671,0.696,0.811,0.87,0.749,0.736,0.104,0.669,0.893,0.711,0.803,0.878,0.433,,246,0.709,0.393,0.671,0.06,0.076,0.125,0.397,0,0.875,0.01,0.003,0.076,,,,
Thickness vs. Fresh Weight,0.348,0.494,0.06,0.132,0.186,0.276,0.454,0.057,0.263,0.349,0.045,0.421,0.042,0.091,0.161,,319,0.469,0.268,0.696,0.132,0.001,0.101,0.235,0,0.524,0.008,0.036,0.001,,,,
Diameter / Width vs. Fresh Weight,0.036,0.17,0.076,0.001,0.012,0.049,0.057,0.002,0.072,0.137,0.011,0.008,0.015,0.065,0.097,,325,0.671,0.562,0.811,0.186,0.012,0.256,0.575,0.004,0.836,0.112,0.08,0.012,,,,
Width vs. Height,0.038,0.248,0.125,0.101,0.256,0.548,0.467,0.723,0.019,0.354,0.489,0.474,0.306,0.656,0.323,,326,0.765,0.722,0.87,0.276,0.049,0.548,0.736,0.124,0.893,0.061,0.069,0.049,,,,
Width vs. Diameter,0.261,0.383,0.397,0.235,0.575,0.736,0.763,0.755,0.039,0.569,0.659,0.513,0.654,0.77,0.557,,390,0.693,0.601,0.749,0.454,0.057,0.467,0.763,0.108,0.861,0.126,0.135,0.057,,,,
Width vs. Thickness,0.049,0.236,0,0,0.004,0.124,0.108,0.002,0.008,0.172,0.001,0.079,0.017,0.009,0.003,,572,0.649,0.645,0.736,0.057,0.002,0.723,0.755,0.002,0.903,0.009,0.015,0.002,,,,
Height vs. Diameter,0.798,0.972,0.875,0.524,0.836,0.893,0.861,0.903,0.387,0.694,0.924,0.888,0.713,0.939,0.832,,580,0.428,0.217,0.104,0.263,0.072,0.019,0.039,0.008,0.387,0.017,0.006,0.072,,,,
Height vs. Thickness,0.062,0.129,0.01,0.008,0.112,0.061,0.126,0.009,0.017,0.066,0.001,0.031,0.124,0.002,0.126,,582,0.777,0.438,0.669,0.349,0.137,0.354,0.569,0.172,0.694,0.066,0.137,0.137,,,,
Diameter vs. Thickness,0.103,0.157,0.003,0.036,0.08,0.069,0.135,0.015,0.006,0.137,0.001,0.109,0.021,0.004,0.043,,584,0.743,0.753,0.893,0.045,0.011,0.489,0.659,0.001,0.924,0.001,0.001,0.011,,,,
Diameter / Width vs. Dry Weight,0.084,0.17,0.076,0.001,0.012,0.049,0.057,0.002,0.072,0.137,0.011,0.008,0.015,0.065,0.097,,585,0.571,0.543,0.711,0.421,0.008,0.474,0.513,0.079,0.888,0.031,0.109,0.008,,,,
,,,,,,,,,,,,,,,,,839,0.634,0.41,0.803,0.042,0.015,0.306,0.654,0.017,0.713,0.124,0.021,0.015,,,,
,,,,,,,,,,,,,,,,,845,0.715,0.789,0.878,0.091,0.065,0.656,0.77,0.009,0.939,0.002,0.004,0.065,,,,
Double Log,,,,,,,,,,,,,,,,,854,0.641,0.192,0.433,0.161,0.097,0.323,0.557,0.003,0.832,0.126,0.043,0.097,,,,
Comparison,All Accessions,242,246,319,325,326,390,572,580,582,584,585,839,845,854,,Double Log,Width vs. Fresh Weight,Height vs. Fresh Weight,Diameter vs. Fresh Weight,Thickness vs. Fresh Weight,Diameter / Width vs. Fresh Weight,Width vs. Height,Width vs. Diameter,Width vs. Thickness,Height vs. Diameter,Height vs. Thickness,Diameter vs. Thickness,Diameter / Width vs. Dry Weight,,,,
Width vs. Fresh Weight,0.575,0.8,0.665,0.534,0.652,0.821,0.721,0.663,0.443,0.795,0.692,0.568,0.681,0.781,0.662,,All Accessions,0.575,0.403,0.688,0.396,0.036,0.045,0.248,0.065,0.797,0.059,0.106,0.091,,,,
Height vs. Fresh Weight,0.403,0.585,0.411,0.157,0.624,0.729,0.666,0.654,0.216,0.498,0.776,0.518,0.408,0.753,0.217,,242,0.8,0.585,0.721,0.357,0.192,0.25,0.387,0.161,0.97,0.126,0.143,0.192,,,,
Diameter vs. Fresh Weight,0.688,0.721,0.679,0.727,0.872,0.878,0.801,0.738,0.118,0.741,0.892,0.694,0.814,0.874,0.436,,246,0.665,0.411,0.679,0.098,0.062,0.112,0.359,0.001,0.884,0.008,0.001,0.062,,,,
Thickness vs. Fresh Weight,0.396,0.357,0.098,0.142,0.259,0.284,0.546,0.077,0.231,0.326,0.092,0.487,0.082,0.089,0.17,,319,0.534,0.157,0.727,0.142,0.002,0.097,0.272,0.002,0.324,0.002,0.038,0.002,,,,
Diameter / Width vs. Fresh Weight,0.036,0.192,0.062,0.002,0,0.027,0.036,0.008,0.073,0.097,0.025,0.011,0.022,0.031,0.099,,325,0.652,0.624,0.872,0.259,0,0.26,0.556,0.011,0.844,0.173,0.132,0,,,,
Width vs. Height,0.045,0.25,0.112,0.097,0.26,0.572,0.489,0.727,0.018,0.383,0.48,0.505,0.335,0.656,0.322,,326,0.821,0.729,0.878,0.284,0.027,0.572,0.757,0.136,0.892,0.062,0.075,0.027,,,,
Width vs. Diameter,0.248,0.387,0.359,0.272,0.556,0.757,0.773,0.77,0.042,0.586,0.648,0.532,0.702,0.788,0.546,,390,0.721,0.666,0.801,0.546,0.036,0.489,0.773,0.174,0.87,0.159,0.189,0.036,,,,
Width vs. Thickness,0.065,0.161,0.001,0.002,0.011,0.136,0.174,0.002,0.004,0.167,0,0.095,0.003,0.007,0.003,,572,0.663,0.654,0.738,0.077,0.008,0.727,0.77,0.002,0.903,0.005,0.01,0.008,,,,
Height vs. Diameter,0.797,0.97,0.884,0.324,0.844,0.892,0.87,0.903,0.358,0.716,0.922,0.89,0.705,0.925,0.843,,580,0.443,0.216,0.118,0.231,0.073,0.018,0.042,0.004,0.358,0.022,0.007,0.073,,,,
Height vs. Thickness,0.059,0.126,0.008,0.002,0.173,0.062,0.159,0.005,0.022,0.062,0.003,0.026,0.107,0.001,0.132,,582,0.795,0.498,0.741,0.326,0.097,0.383,0.586,0.167,0.716,0.062,0.128,0.097,,,,
Diameter vs. Thickness,0.106,0.143,0.001,0.038,0.132,0.075,0.189,0.01,0.007,0.128,0.005,0.11,0.007,0.003,0.049,,584,0.692,0.776,0.892,0.092,0.025,0.48,0.648,0,0.922,0.003,0.005,0.025,,,,
Diameter / Width vs. Dry Weight,0.091,0.192,0.062,0.002,0,0.027,0.036,0.008,0.073,0.097,0.025,0.011,0.022,0.031,0.099,,585,0.568,0.518,0.694,0.487,0.011,0.505,0.532,0.095,0.89,0.026,0.11,0.011,,,,
,,,,,,,,,,,,,,,,,839,0.681,0.408,0.814,0.082,0.022,0.335,0.702,0.003,0.705,0.107,0.007,0.022,,,,
,,,,,,,,,,,,,,,,,845,0.781,0.753,0.874,0.089,0.031,0.656,0.788,0.007,0.925,0.001,0.003,0.031,,,,
,,,,,,,,,,,,,,,,,854,0.662,0.217,0.436,0.17,0.099,0.322,0.546,0.003,0.843,0.132,0.049,0.099,,,,
