"Dataset","Graph","R2","Mode"
"Entire Dataset All Accessions","Width vs. Fresh Weight",0.581,"Double Log"
"Entire Dataset All Accessions","Width vs. Fresh Weight",0.589,"Double Linear"
"Entire Dataset All Accessions","Height vs. Fresh Weight",0.425,"Double Log"
"Entire Dataset All Accessions","Height vs. Fresh Weight",0.372,"Double Linear"
"Entire Dataset All Accessions","Diameter vs. Fresh Weight",0.707,"Double Log"
"Entire Dataset All Accessions","Diameter vs. Fresh Weight",0.664,"Double Linear"
"Entire Dataset All Accessions","Thickness vs. Fresh Weight",0.408,"Double Log"
"Entire Dataset All Accessions","Thickness vs. Fresh Weight",0.356,"Double Linear"
"Entire Dataset All Accessions","Diameter / Width vs. Fresh Weight",0.024,"Double Log"
"Entire Dataset All Accessions","Diameter / Width vs. Fresh Weight",0.029,"Double Linear"
"Entire Dataset All Accessions","Width vs. Height",0.057,"Double Log"
"Entire Dataset All Accessions","Width vs. Height",0.048,"Double Linear"
"Entire Dataset All Accessions","Width vs. Diameter",0.264,"Double Log"
"Entire Dataset All Accessions","Width vs. Diameter",0.275,"Double Linear"
"Entire Dataset All Accessions","Width vs. Thickness",0.079,"Double Log"
"Entire Dataset All Accessions","Width vs. Thickness",0.063,"Double Linear"
"Entire Dataset All Accessions","Height vs. Diameter",0.807,"Double Log"
"Entire Dataset All Accessions","Height vs. Diameter",0.808,"Double Linear"
"Entire Dataset All Accessions","Height vs. Thickness",0.063,"Double Log"
"Entire Dataset All Accessions","Height vs. Thickness",0.063,"Double Linear"
"Entire Dataset All Accessions","Diameter vs. Thickness",0.115,"Double Log"
"Entire Dataset All Accessions","Diameter vs. Thickness",0.11,"Double Linear"
"Entire Dataset All Accessions","Diameter / Width vs. Dry Weight",0.026,"Double Log"
"Entire Dataset All Accessions","Diameter / Width vs. Dry Weight",0.02,"Double Linear"
"Entire Dataset 242","Width vs. Fresh Weight",0.773,"Double Log"
"Entire Dataset 242","Width vs. Fresh Weight",0.764,"Double Linear"
"Entire Dataset 242","Height vs. Fresh Weight",0.726,"Double Log"
"Entire Dataset 242","Height vs. Fresh Weight",0.686,"Double Linear"
"Entire Dataset 242","Diameter vs. Fresh Weight",0.802,"Double Log"
"Entire Dataset 242","Diameter vs. Fresh Weight",0.754,"Double Linear"
"Entire Dataset 242","Thickness vs. Fresh Weight",0.288,"Double Log"
"Entire Dataset 242","Thickness vs. Fresh Weight",0.405,"Double Linear"
"Entire Dataset 242","Diameter / Width vs. Fresh Weight",0.021,"Double Log"
"Entire Dataset 242","Diameter / Width vs. Fresh Weight",0.022,"Double Linear"
"Entire Dataset 242","Width vs. Height",0.383,"Double Log"
"Entire Dataset 242","Width vs. Height",0.413,"Double Linear"
"Entire Dataset 242","Width vs. Diameter",0.471,"Double Log"
"Entire Dataset 242","Width vs. Diameter",0.498,"Double Linear"
"Entire Dataset 242","Width vs. Thickness",0.1,"Double Log"
"Entire Dataset 242","Width vs. Thickness",0.156,"Double Linear"
"Entire Dataset 242","Height vs. Diameter",0.985,"Double Log"
"Entire Dataset 242","Height vs. Diameter",0.986,"Double Linear"
"Entire Dataset 242","Height vs. Thickness",0.118,"Double Log"
"Entire Dataset 242","Height vs. Thickness",0.12,"Double Linear"
"Entire Dataset 242","Diameter vs. Thickness",0.118,"Double Log"
"Entire Dataset 242","Diameter vs. Thickness",0.126,"Double Linear"
"Entire Dataset 242","Diameter / Width vs. Dry Weight",0.021,"Double Log"
"Entire Dataset 242","Diameter / Width vs. Dry Weight",0.022,"Double Linear"
"Entire Dataset 246","Width vs. Fresh Weight",0.713,"Double Log"
"Entire Dataset 246","Width vs. Fresh Weight",0.742,"Double Linear"
"Entire Dataset 246","Height vs. Fresh Weight",0.505,"Double Log"
"Entire Dataset 246","Height vs. Fresh Weight",0.507,"Double Linear"
"Entire Dataset 246","Diameter vs. Fresh Weight",0.714,"Double Log"
"Entire Dataset 246","Diameter vs. Fresh Weight",0.714,"Double Linear"
"Entire Dataset 246","Thickness vs. Fresh Weight",0.089,"Double Log"
"Entire Dataset 246","Thickness vs. Fresh Weight",0.051,"Double Linear"
"Entire Dataset 246","Diameter / Width vs. Fresh Weight",0.052,"Double Log"
"Entire Dataset 246","Diameter / Width vs. Fresh Weight",0.061,"Double Linear"
"Entire Dataset 246","Width vs. Height",0.247,"Double Log"
"Entire Dataset 246","Width vs. Height",0.266,"Double Linear"
"Entire Dataset 246","Width vs. Diameter",0.468,"Double Log"
"Entire Dataset 246","Width vs. Diameter",0.503,"Double Linear"
"Entire Dataset 246","Width vs. Thickness",0,"Double Log"
"Entire Dataset 246","Width vs. Thickness",0.001,"Double Linear"
"Entire Dataset 246","Height vs. Diameter",0.918,"Double Log"
"Entire Dataset 246","Height vs. Diameter",0.916,"Double Linear"
"Entire Dataset 246","Height vs. Thickness",0.005,"Double Log"
"Entire Dataset 246","Height vs. Thickness",0.007,"Double Linear"
"Entire Dataset 246","Diameter vs. Thickness",0.001,"Double Log"
"Entire Dataset 246","Diameter vs. Thickness",0.003,"Double Linear"
"Entire Dataset 246","Diameter / Width vs. Dry Weight",0.036,"Double Log"
"Entire Dataset 246","Diameter / Width vs. Dry Weight",0.033,"Double Linear"
"Entire Dataset 319","Width vs. Fresh Weight",0.62,"Double Log"
"Entire Dataset 319","Width vs. Fresh Weight",0.509,"Double Linear"
"Entire Dataset 319","Height vs. Fresh Weight",0.166,"Double Log"
"Entire Dataset 319","Height vs. Fresh Weight",0.288,"Double Linear"
"Entire Dataset 319","Diameter vs. Fresh Weight",0.738,"Double Log"
"Entire Dataset 319","Diameter vs. Fresh Weight",0.71,"Double Linear"
"Entire Dataset 319","Thickness vs. Fresh Weight",0.19,"Double Log"
"Entire Dataset 319","Thickness vs. Fresh Weight",0.199,"Double Linear"
"Entire Dataset 319","Diameter / Width vs. Fresh Weight",0,"Double Log"
"Entire Dataset 319","Diameter / Width vs. Fresh Weight",0.001,"Double Linear"
"Entire Dataset 319","Width vs. Height",0.166,"Double Log"
"Entire Dataset 319","Width vs. Height",0.168,"Double Linear"
"Entire Dataset 319","Width vs. Diameter",0.362,"Double Log"
"Entire Dataset 319","Width vs. Diameter",0.301,"Double Linear"
"Entire Dataset 319","Width vs. Thickness",0.034,"Double Log"
"Entire Dataset 319","Width vs. Thickness",0.025,"Double Linear"
"Entire Dataset 319","Height vs. Diameter",0.324,"Double Log"
"Entire Dataset 319","Height vs. Diameter",0.527,"Double Linear"
"Entire Dataset 319","Height vs. Thickness",0.001,"Double Log"
"Entire Dataset 319","Height vs. Thickness",0.009,"Double Linear"
"Entire Dataset 319","Diameter vs. Thickness",0.055,"Double Log"
"Entire Dataset 319","Diameter vs. Thickness",0.057,"Double Linear"
"Entire Dataset 319","Diameter / Width vs. Dry Weight",0.017,"Double Log"
"Entire Dataset 319","Diameter / Width vs. Dry Weight",0.028,"Double Linear"
"Entire Dataset 325","Width vs. Fresh Weight",0.673,"Double Log"
"Entire Dataset 325","Width vs. Fresh Weight",0.648,"Double Linear"
"Entire Dataset 325","Height vs. Fresh Weight",0.48,"Double Log"
"Entire Dataset 325","Height vs. Fresh Weight",0.488,"Double Linear"
"Entire Dataset 325","Diameter vs. Fresh Weight",0.788,"Double Log"
"Entire Dataset 325","Diameter vs. Fresh Weight",0.779,"Double Linear"
"Entire Dataset 325","Thickness vs. Fresh Weight",0.146,"Double Log"
"Entire Dataset 325","Thickness vs. Fresh Weight",0.126,"Double Linear"
"Entire Dataset 325","Diameter / Width vs. Fresh Weight",0.055,"Double Log"
"Entire Dataset 325","Diameter / Width vs. Fresh Weight",0.052,"Double Linear"
"Entire Dataset 325","Width vs. Height",0.2,"Double Log"
"Entire Dataset 325","Width vs. Height",0.216,"Double Linear"
"Entire Dataset 325","Width vs. Diameter",0.566,"Double Log"
"Entire Dataset 325","Width vs. Diameter",0.579,"Double Linear"
"Entire Dataset 325","Width vs. Thickness",0,"Double Log"
"Entire Dataset 325","Width vs. Thickness",0.001,"Double Linear"
"Entire Dataset 325","Height vs. Diameter",0.789,"Double Log"
"Entire Dataset 325","Height vs. Diameter",0.797,"Double Linear"
"Entire Dataset 325","Height vs. Thickness",0.074,"Double Log"
"Entire Dataset 325","Height vs. Thickness",0.053,"Double Linear"
"Entire Dataset 325","Diameter vs. Thickness",0.026,"Double Log"
"Entire Dataset 325","Diameter vs. Thickness",0.018,"Double Linear"
"Entire Dataset 325","Diameter / Width vs. Dry Weight",0.022,"Double Log"
"Entire Dataset 325","Diameter / Width vs. Dry Weight",0.035,"Double Linear"
"Entire Dataset 326","Width vs. Fresh Weight",0.857,"Double Log"
"Entire Dataset 326","Width vs. Fresh Weight",0.819,"Double Linear"
"Entire Dataset 326","Height vs. Fresh Weight",0.734,"Double Log"
"Entire Dataset 326","Height vs. Fresh Weight",0.71,"Double Linear"
"Entire Dataset 326","Diameter vs. Fresh Weight",0.865,"Double Log"
"Entire Dataset 326","Diameter vs. Fresh Weight",0.848,"Double Linear"
"Entire Dataset 326","Thickness vs. Fresh Weight",0.229,"Double Log"
"Entire Dataset 326","Thickness vs. Fresh Weight",0.212,"Double Linear"
"Entire Dataset 326","Diameter / Width vs. Fresh Weight",0.005,"Double Log"
"Entire Dataset 326","Diameter / Width vs. Fresh Weight",0.01,"Double Linear"
"Entire Dataset 326","Width vs. Height",0.72,"Double Log"
