"accession","fresh_weight~Area","fresh_weight~Theo_Area","fresh_weight~Area+thickness","fresh_weight~Area*thickness","fresh_weight~Theo_Area+thickness","fresh_weight~Theo_Area*thickness","fresh_weight~Theo_Area+thickness+Pade_Derived_Diam","fresh_weight~Theo_Area*thickness*Pade_Derived_Diam"
"242",297.109715288171,291.168548596745,287.703329122922,281.316126556108,280.217194914957,280.622647417844,282.983371851134,283.762953441453
"246",273.745932923378,284.871034910824,261.557617323608,260.349905383925,277.567592907446,276.263615857689,280.745628988841,285.105283118527
"319",334.218395159146,315.509180970199,329.697393333075,332.857045217468,312.461089818717,315.544628826792,314.757501342956,322.584799462024
"325",348.777317111225,367.083456310107,342.627982502378,345.398750567498,357.33200465351,360.626409317594,360.262043612494,370.8844457658
"326",353.008676724623,365.14327322985,311.689291656227,311.80725339392,349.54051180792,351.639135362742,352.940563977301,361.058448138872
"390",327.309268440755,314.026412583905,321.380191120805,314.219168037296,297.400270956022,296.000488325428,300.107532369883,302.08652974913
"572",357.371932668365,362.797503842939,336.230428965982,333.057354104158,350.331386340812,353.649863543083,353.591928080029,364.64607810006
"580",333.815741468274,344.064265038964,309.709289364263,312.918851598213,319.187065406841,322.205933768736,321.018416483328,329.021537100806
"582",374.753924667237,373.705446107821,358.274190687817,361.568721643892,364.062285458655,367.491007210012,366.547786278094,375.964950022104
"584",361.982438152616,378.212135823736,344.179718724055,345.635503031899,360.194395428727,361.265843468994,363.301820234953,368.417154810283
"585",368.077383049862,361.692267225467,352.36619894371,350.35705156456,337.72379923772,340.946239997489,341.030349456451,352.132855205659
"839",325.937370558423,346.762426295985,320.220773098837,323.187346073675,330.758227937446,322.987186670935,333.75485653643,331.017785477412
"845",381.011372336703,393.174085888036,353.007769262552,356.427420456601,385.022468846414,386.314840357871,388.450268127058,393.629567229902
"854",375.327714906485,360.791933427382,365.910282056569,356.564801924114,340.496560866659,341.520816754249,342.153303459069,338.603280953512
"All_Accessions",5084.91414697803,5137.57889210169,4800.14811985243,4753.29531732828,4760.80855488263,4686.20383008872,4765.36041568988,4694.93715600252
