"accession","fresh_weight~Area","fresh_weight~Theo_Area","fresh_weight~Area*thickness","fresh_weight~Theo_Area*thickness","fresh_weight~Theo_Area*thickness*Pade_Derived_Diam"
"242",307.753839714241,302.324113986105,290.331944720942,289.71957623958,292.96586537268
"246",331.357801237936,341.745012645462,309.14634638746,329.368327158687,338.920017637765
"319",373.010337333129,352.139755519223,370.914756353302,350.881124614418,362.580120581664
"325",385.418720795236,404.775161816193,380.400565701698,399.326037467126,411.374592843998
"326",365.44276330042,376.198961261135,321.52699501498,363.200748236926,372.007563335438
"390",399.967617404713,389.52894590162,384.7907304718,360.898910264915,368.765653742134
"572",381.805819680598,386.26604368742,355.357183970798,376.961296275863,387.478018761116
"580",361.461076973727,368.504040343706,337.325278428926,344.069018045677,351.641054025153
"582",374.753924667237,373.705446107821,361.568721643892,367.491007210012,375.964950022104
"584",373.228836593556,390.528466789719,357.231564981969,372.295903290174,379.952046525155
"585",368.077383049862,361.692267225467,350.35705156456,340.946239997489,352.132855205659
"839",338.926371545901,360.934869591966,334.737642324022,337.795882016544,343.485836239563
"845",381.011372336703,393.174085888036,356.427420456601,386.314840357871,393.629567229902
"854",375.327714906485,360.791933427382,356.564801924114,341.520816754249,338.603280953512
"All",5411.25219805758,5466.05957111059,5043.74741074368,4984.5006232796,4986.39987216659
