"accession","fresh_weight~Area","fresh_weight~Theo_Area","fresh_weight~Area*thickness","fresh_weight~Theo_Area*thickness","fresh_weight~Theo_Area*thickness*Pade_Derived_Diam"
"242",377.980124600457,379.129693382911,333.397410753018,346.327913368159,340.439881455808
"246",363.279051015163,375.369131571974,343.92984660532,363.014124030628,369.263628381526
"319",428.196509254159,430.199395012219,423.80284984202,424.622821047165,411.024212619365
"325",417.096394820806,432.54102401258,406.621423708081,424.599571656609,436.863167677264
"326",379.918296546929,387.623261185774,358.965022927132,378.49428663488,382.526665699227
"390",456.129468685076,440.839735724011,441.423342956398,408.851505755974,418.605768532535
"572",404.91629304228,410.175292973222,377.014080387341,399.947748479414,410.020903124781
"580",395.66562166503,403.356972266879,370.346011412174,379.27757468792,385.349742302646
"582",385.95707509693,384.508753885302,372.508150020238,377.997584082802,386.365681878511
"584",396.259845393249,417.267776551305,378.340092271279,399.067990481806,402.261775434132
"585",418.184922042463,412.325511256863,408.95768667564,385.954445986845,395.313833427557
"839",402.858929759485,435.862201375791,394.856069075619,417.883765555022,411.11548740879
"845",397.330553677364,408.205099261213,367.253126794949,397.38701921863,405.266116617169
"854",386.194299829451,371.265969983427,366.850214955522,351.132519518128,349.45692768192
"All",5921.5409920817,6026.92424546918,5531.80662284914,5551.47701453049,5540.17335825774
