"accession","fresh_weight~width","fresh_weight~height","fresh_weight~diameter","fresh_weight~thickness","fresh_weight~D_div_W","fresh_weight~width+height","fresh_weight~width*height","fresh_weight~width+D_div_W","fresh_weight~width*D_div_W","fresh_weight~width+thickness","fresh_weight~width*thickness","fresh_weight~height+D_div_W","fresh_weight~height*D_div_W","fresh_weight~height+thickness","fresh_weight~height*thickness","fresh_weight~D_div_W+thickness","fresh_weight~D_div_W*thickness","fresh_weight~width+height+D_div_W","fresh_weight~width*height*D_div_W","fresh_weight~width+height+thickness","fresh_weight~width*height*thickness","fresh_weight~width+D_div_W+thickness","fresh_weight~width*D_div_W*thickness","fresh_weight~height+D_div_W+thickness","fresh_weight~height*D_div_W*thickness","fresh_weight~width+height+D_div_W+thickness","fresh_weight~width*height*D_div_W*thickness"
"242",332.025538439748,350.355908189566,341.064347345398,365.112869483079,363.688753241211,309.492889836603,305.390401842358,306.139022443474,308.951923126351,330.908635468014,334.231835008225,319.846310569385,304.02585704836,348.450490262643,350.311681508781,363.530958576153,364.182206462177,309.289440695281,290.452116600905,300.030973161562,291.091684739487,300.603885962749,299.715466755447,310.083790642868,300.475596544412,301.871158325151,290.269183397853
"246",356.809730086128,369.846173695404,354.482814235326,374.823350813463,374.832741152774,348.064381992001,344.129026013428,344.823682678482,342.056238390592,355.365697140242,354.187767048306,353.935032383996,351.541618627844,367.520894850803,367.501800476072,375.771770728035,376.804365010555,347.765667378054,343.160383883019,337.88784787939,337.641465938315,336.830213752304,330.798972622142,343.309993680624,348.545484824714,339.948013475341,341.09090873975
"319",380.057015229445,374.192620404358,365.915199364162,389.717070602133,395.42782225346,355.898416355031,358.426368253478,360.50745686384,358.181359686834,377.732573218464,380.935260610985,360.417221112207,361.68909595748,371.825965236142,374.963066416392,392.903299369081,396.145501337443,359.183621534142,369.343725078039,351.551011803574,359.593512623132,355.076959890703,352.078496179783,357.891097911865,365.803598908868,354.517515759923,362.399079569361
"325",424.021549534205,439.511578945081,412.184431063172,447.017206775251,450.733284730705,409.171983188898,411.281196893411,404.253614927928,405.746033644969,412.577253081107,415.172346850154,419.16833460635,422.090693155891,438.888483277574,440.941815631456,445.273696720691,448.119503759744,407.622199359001,416.503740382967,398.890656476178,410.448958555577,388.076009297603,398.177986240176,414.789486404529,422.373948481383,389.127085203306,406.432533582965
"326",394.714097450811,396.1985405166,372.418637442691,425.594043562774,434.849615467108,380.852971044643,382.124367953683,371.691439011513,374.248021070112,390.785777897296,392.994476090789,393.941777627557,395.356621702484,384.541777767733,387.365080343375,426.181348089027,428.224182875522,374.933201043738,384.809342106203,369.288258867329,371.695014411981,344.526100462109,350.195524799278,385.045804097569,395.010426690122,345.384313856848,366.842709801556
"390",398.177169198204,403.33924184401,390.453825518709,402.187911468843,415.570385724854,392.141208906589,394.84194759279,392.817271418042,394.615417209578,376.68040075611,377.753905863947,394.663341504521,397.930571879041,390.732058358973,393.951267730565,404.425707041197,407.700155121765,395.378010997782,405.915353803854,364.373568687468,367.475674248058,363.868179062252,366.166217322354,372.404960726474,382.012252683476,366.708848932374,385.174026793313
"572",393.9820677461,391.536560749575,379.658141994125,407.358327394642,411.893831946959,389.680332424027,393.022295470129,380.765273079438,382.94584546439,387.767363546994,391.168560648137,394.733841896311,389.795727006179,382.630816787361,386.009921631387,408.836453229675,411.177958612736,382.95853777988,391.971359739166,379.206121584502,386.960885338982,362.062707410408,364.709058835687,385.942640703728,390.028273920469,362.63092394219,370.087710565469
"580",375.029841229042,382.18781875218,386.142012443859,377.336204906482,385.418647948548,371.212518907808,374.049924558351,376.893856561986,379.689797941339,364.012743471864,366.695901592094,376.709732548675,379.572094127087,368.49090541602,371.603505738785,378.558310779204,377.520111284824,374.428428775166,387.18220000088,346.02185687314,353.663534425765,364.169182511132,361.332084685306,355.160132793793,362.644237506679,348.401923760145,356.924083921613
"582",384.222085292157,404.657672513362,386.880233443005,402.311468631579,408.49247597775,376.300519010219,379.724391786153,363.977174136162,366.079522281809,375.608683259803,378.84086828379,393.274937187077,396.575781040555,398.369680014301,400.848249761332,400.56791879385,402.458401011457,367.288679320256,374.278420481096,366.765607119727,379.841484925268,353.957670430581,364.346717375671,385.205447578344,397.940142246632,357.348406834282,368.383090367679
"584",417.521698375241,404.177817502783,382.406485304203,447.470300335762,447.815542657318,393.412301502633,396.223751167614,384.754097528438,383.786779486452,413.046178015923,416.343990524281,401.744612755673,404.935008619849,399.24614257602,402.626069894479,449.387703047521,452.771152156295,388.054688848996,387.95942810229,378.480300742732,383.668756807767,366.475825675975,362.623021412765,391.994573883736,385.118865616092,369.873024202526,356.761336458661
"585",370.418745364983,371.313382101483,356.150735730543,361.228543507615,390.624975557561,364.468457012229,367.722318716428,354.214532663156,355.307138361326,349.606285619679,352.820106544681,372.967077140344,375.498100605335,346.949140067884,348.380508377963,364.560156784028,367.548777313287,356.568860827809,363.89329272579,341.59885292243,352.069361465366,337.656846690996,341.924899544491,347.098326666125,349.80023527693,340.902435741907,353.271905560374
"839",360.708027408722,376.375242545507,347.016591804784,374.147889293613,380.443829992551,360.707760951577,363.229525326102,349.085794978483,344.986265945462,353.445855915831,354.427192713239,376.219198473837,379.509688489537,366.766905453279,369.406080292596,377.346267583269,380.636742434363,348.028212360411,356.08771081659,344.037030194066,345.006091499259,325.245199677843,328.927533776036,364.19025431106,369.908639077776,327.670402469038,345.920290381341
"845",419.136421811887,404.788390799288,387.693275915144,450.157347775246,453.123885550268,399.184156849084,397.282152033132,394.714083363212,387.900833266891,411.959154255971,412.659642911464,404.217783905854,406.232202836942,402.509484364895,403.381599908746,451.95816761105,454.650710830749,398.143095108214,396.132492001215,391.860573359112,395.507935308782,384.170700615576,385.605546061085,399.970006825152,407.15259263926,387.347267051821,396.981415353812
"854",348.203919897796,373.3476048345,362.348467820594,374.483492644753,376.763651132737,351.601623089851,350.526615606948,350.991535767725,354.201873685436,338.08405404944,337.948195869201,365.330198876396,368.746730933166,358.826339111538,362.2306743514,376.765098907358,377.137647312243,350.811365445452,357.349423202016,337.517924550222,343.689598329327,332.043680509486,335.195602036596,352.789982994032,343.030344222841,334.305326304612,340.291230352815
"All",5809.31610203308,5939.07534308525,5699.88176935334,5937.30115465807,6119.60647306176,5498.27888618529,5477.21973165099,5581.27334630865,5458.83046299789,5560.68591087832,5542.41440093254,5636.710060168,5631.32094727605,5773.24056160918,5779.23324899707,5926.78410456609,5931.85382454884,5502.91596960451,5442.44432023168,5162.20250329962,4986.8394031573,5222.20908605863,4988.96283644633,5431.38641522608,5347.22273802426,5148.79107476481,4933.64685388987
