"accession","fresh_weight~width","fresh_weight~height","fresh_weight~diameter","fresh_weight~thickness","fresh_weight~width*height","fresh_weight~width*D_div_W","fresh_weight~width*thickness","fresh_weight~height*D_div_W","fresh_weight~height*thickness","fresh_weight~D_div_W*thickness","fresh_weight~width*height*D_div_W","fresh_weight~width*height*thickness","fresh_weight~width*D_div_W*thickness","fresh_weight~height*D_div_W*thickness","fresh_weight~width*height*D_div_W*thickness"
"242",332.025538439748,350.355908189566,341.064347345398,365.112869483079,305.390401842358,308.951923126351,334.231835008225,304.02585704836,350.311681508781,364.182206462177,290.452116600905,291.091684739487,299.715466755447,300.475596544412,290.269183397853
"246",356.809730086128,369.846173695404,354.482814235326,374.823350813463,344.129026013428,342.056238390592,354.187767048306,351.541618627844,367.501800476072,376.804365010555,343.160383883019,337.641465938315,330.798972622142,348.545484824714,341.09090873975
"319",380.057015229445,374.192620404358,365.915199364162,389.717070602133,358.426368253478,358.181359686834,380.935260610985,361.68909595748,374.963066416392,396.145501337443,369.343725078039,359.593512623132,352.078496179783,365.803598908868,362.399079569361
"325",424.021549534205,439.511578945081,412.184431063172,447.017206775251,411.281196893411,405.746033644969,415.172346850154,422.090693155891,440.941815631456,448.119503759744,416.503740382967,410.448958555577,398.177986240176,422.373948481383,406.432533582965
"326",394.714097450811,396.1985405166,372.418637442691,425.594043562774,382.124367953683,374.248021070112,392.994476090789,395.356621702484,387.365080343375,428.224182875522,384.809342106203,371.695014411981,350.195524799278,395.010426690122,366.842709801556
"390",398.177169198204,403.33924184401,390.453825518709,402.187911468843,394.84194759279,394.615417209578,377.753905863947,397.930571879041,393.951267730565,407.700155121765,405.915353803854,367.475674248058,366.166217322354,382.012252683476,385.174026793313
"572",393.9820677461,391.536560749575,379.658141994125,407.358327394642,393.022295470129,382.94584546439,391.168560648137,389.795727006179,386.009921631387,411.177958612736,391.971359739166,386.960885338982,364.709058835687,390.028273920469,370.087710565469
"580",375.029841229042,382.18781875218,386.142012443859,377.336204906482,374.049924558351,379.689797941339,366.695901592094,379.572094127087,371.603505738785,377.520111284824,387.18220000088,353.663534425765,361.332084685306,362.644237506679,356.924083921613
"582",384.222085292157,404.657672513362,386.880233443005,402.311468631579,379.724391786153,366.079522281809,378.84086828379,396.575781040555,400.848249761332,402.458401011457,374.278420481096,379.841484925268,364.346717375671,397.940142246632,368.383090367679
"584",417.521698375241,404.177817502783,382.406485304203,447.470300335762,396.223751167614,383.786779486452,416.343990524281,404.935008619849,402.626069894479,452.771152156295,387.95942810229,383.668756807767,362.623021412765,385.118865616092,356.761336458661
"585",370.418745364983,371.313382101483,356.150735730543,361.228543507615,367.722318716428,355.307138361326,352.820106544681,375.498100605335,348.380508377963,367.548777313287,363.89329272579,352.069361465366,341.924899544491,349.80023527693,353.271905560374
"839",360.708027408722,376.375242545507,347.016591804784,374.147889293613,363.229525326102,344.986265945462,354.427192713239,379.509688489537,369.406080292596,380.636742434363,356.08771081659,345.006091499259,328.927533776036,369.908639077776,345.920290381341
"845",419.136421811887,404.788390799288,387.693275915144,450.157347775246,397.282152033132,387.900833266891,412.659642911464,406.232202836942,403.381599908746,454.650710830749,396.132492001215,395.507935308782,385.605546061085,407.15259263926,396.981415353812
"854",348.203919897796,373.3476048345,362.348467820594,374.483492644753,350.526615606948,354.201873685436,337.948195869201,368.746730933166,362.2306743514,377.137647312243,357.349423202016,343.689598329327,335.195602036596,343.030344222841,340.291230352815
"All",5809.31610203308,5939.07534308525,5699.88176935334,5937.30115465807,5477.21973165099,5458.83046299789,5542.41440093254,5631.32094727605,5779.23324899707,5931.85382454884,5442.44432023168,4986.8394031573,4988.96283644633,5347.22273802426,4933.64685388987
