"accession","fresh_weight~width","fresh_weight~height","fresh_weight~diameter","fresh_weight~thickness","fresh_weight~width+height","fresh_weight~width+D_div_W","fresh_weight~width+thickness","fresh_weight~height+D_div_W","fresh_weight~height+thickness","fresh_weight~D_div_W+thickness","fresh_weight~width+height+D_div_W","fresh_weight~width+height+thickness","fresh_weight~width+D_div_W+thickness","fresh_weight~height+D_div_W+thickness","fresh_weight~width+height+D_div_W+thickness"
"242",332.025538439748,350.355908189566,341.064347345398,365.112869483079,309.492889836603,306.139022443474,330.908635468014,319.846310569385,348.450490262643,363.530958576153,309.289440695281,300.030973161562,300.603885962749,310.083790642868,301.871158325151
"246",356.809730086128,369.846173695404,354.482814235326,374.823350813463,348.064381992001,344.823682678482,355.365697140242,353.935032383996,367.520894850803,375.771770728035,347.765667378054,337.88784787939,336.830213752304,343.309993680624,339.948013475341
"319",380.057015229445,374.192620404358,365.915199364162,389.717070602133,355.898416355031,360.50745686384,377.732573218464,360.417221112207,371.825965236142,392.903299369081,359.183621534142,351.551011803574,355.076959890703,357.891097911865,354.517515759923
"325",424.021549534205,439.511578945081,412.184431063172,447.017206775251,409.171983188898,404.253614927928,412.577253081107,419.16833460635,438.888483277574,445.273696720691,407.622199359001,398.890656476178,388.076009297603,414.789486404529,389.127085203306
"326",394.714097450811,396.1985405166,372.418637442691,425.594043562774,380.852971044643,371.691439011513,390.785777897296,393.941777627557,384.541777767733,426.181348089027,374.933201043738,369.288258867329,344.526100462109,385.045804097569,345.384313856848
"390",398.177169198204,403.33924184401,390.453825518709,402.187911468843,392.141208906589,392.817271418042,376.68040075611,394.663341504521,390.732058358973,404.425707041197,395.378010997782,364.373568687468,363.868179062252,372.404960726474,366.708848932374
"572",393.9820677461,391.536560749575,379.658141994125,407.358327394642,389.680332424027,380.765273079438,387.767363546994,394.733841896311,382.630816787361,408.836453229675,382.95853777988,379.206121584502,362.062707410408,385.942640703728,362.63092394219
"580",375.029841229042,382.18781875218,386.142012443859,377.336204906482,371.212518907808,376.893856561986,364.012743471864,376.709732548675,368.49090541602,378.558310779204,374.428428775166,346.02185687314,364.169182511132,355.160132793793,348.401923760145
"582",384.222085292157,404.657672513362,386.880233443005,402.311468631579,376.300519010219,363.977174136162,375.608683259803,393.274937187077,398.369680014301,400.56791879385,367.288679320256,366.765607119727,353.957670430581,385.205447578344,357.348406834282
"584",417.521698375241,404.177817502783,382.406485304203,447.470300335762,393.412301502633,384.754097528438,413.046178015923,401.744612755673,399.24614257602,449.387703047521,388.054688848996,378.480300742732,366.475825675975,391.994573883736,369.873024202526
"585",370.418745364983,371.313382101483,356.150735730543,361.228543507615,364.468457012229,354.214532663156,349.606285619679,372.967077140344,346.949140067884,364.560156784028,356.568860827809,341.59885292243,337.656846690996,347.098326666125,340.902435741907
"839",360.708027408722,376.375242545507,347.016591804784,374.147889293613,360.707760951577,349.085794978483,353.445855915831,376.219198473837,366.766905453279,377.346267583269,348.028212360411,344.037030194066,325.245199677843,364.19025431106,327.670402469038
"845",419.136421811887,404.788390799288,387.693275915144,450.157347775246,399.184156849084,394.714083363212,411.959154255971,404.217783905854,402.509484364895,451.95816761105,398.143095108214,391.860573359112,384.170700615576,399.970006825152,387.347267051821
"854",348.203919897796,373.3476048345,362.348467820594,374.483492644753,351.601623089851,350.991535767725,338.08405404944,365.330198876396,358.826339111538,376.765098907358,350.811365445452,337.517924550222,332.043680509486,352.789982994032,334.305326304612
"All",5809.31610203308,5939.07534308525,5699.88176935334,5937.30115465807,5498.27888618529,5581.27334630865,5560.68591087832,5636.710060168,5773.24056160918,5926.78410456609,5502.91596960451,5162.20250329962,5222.20908605863,5431.38641522608,5148.79107476481
