"accession","fresh_weight~width","fresh_weight~height","fresh_weight~diameter","fresh_weight~thickness","fresh_weight~width+height","fresh_weight~width+diameter","fresh_weight~width+thickness","fresh_weight~height+diameter","fresh_weight~height+thickness","fresh_weight~diameter+thickness","fresh_weight~width+height+diameter","fresh_weight~width+height+thickness","fresh_weight~width+diameter+thickness","fresh_weight~height+diameter+thickness","fresh_weight~width+height+diameter+thickness"
"242",332.025538439748,350.355908189566,341.064347345398,365.112869483079,309.492889836603,307.697919534474,330.908635468014,320.730983517867,348.450490262643,337.341061667905,310.312142093413,300.030973161562,295.25883681675,304.95706187106,293.586691449917
"246",356.809730086128,369.846173695404,354.482814235326,374.823350813463,348.064381992001,340.161779714762,355.365697140242,336.226972113239,367.520894850803,349.518355964222,336.44455178681,337.88784787939,328.623155081404,332.356093380937,328.030618091098
"319",380.057015229445,374.192620404358,365.915199364162,389.717070602133,355.898416355031,356.407231298799,377.732573218464,368.351699055464,371.825965236142,362.253683519416,358.488919296702,351.551011803574,351.131487989449,364.215880136803,353.513531361788
"325",424.021549534205,439.511578945081,412.184431063172,447.017206775251,409.171983188898,402.470271312316,412.577253081107,405.518229563551,438.888483277574,408.125020174834,405.183904047034,398.890656476178,388.272384234866,391.327466281544,388.489521628557
"326",394.714097450811,396.1985405166,372.418637442691,425.594043562774,380.852971044643,370.866864730363,390.785777897296,373.493128563941,384.541777767733,343.116013349688,373.743772081996,369.288258867329,343.371970395146,339.694622092837,342.397972252331
"390",398.177169198204,403.33924184401,390.453825518709,402.187911468843,392.141208906589,391.854310151638,376.68040075611,393.120906260133,390.732058358973,365.979118556853,394.959128491145,364.373568687468,362.366646312095,365.727243401075,365.627960082564
"572",393.9820677461,391.536560749575,379.658141994125,407.358327394642,389.680332424027,381.770274655619,387.767363546994,381.875317931897,382.630816787361,361.765271269183,384.108514689914,379.206121584502,363.65849876267,362.306268506823,364.357193293121
"580",375.029841229042,382.18781875218,386.142012443859,377.336204906482,371.212518907808,377.199854282929,364.012743471864,385.553189112058,368.49090541602,377.612699310579,374.422031441088,346.02185687314,363.964735594922,371.858178814205,349.111964295356
"582",384.222085292157,404.657672513362,386.880233443005,402.311468631579,376.300519010219,366.142196549872,375.608683259803,388.85798910889,398.369680014301,381.904609166521,369.574797308048,366.765607119727,356.357024602128,383.992379938499,359.753864869411
"584",417.521698375241,404.177817502783,382.406485304203,447.470300335762,393.412301502633,381.376195097176,413.046178015923,382.580489084219,399.24614257602,368.044701606613,383.620599663169,378.480300742732,358.741679928472,366.311412695167,360.911564217074
"585",370.418745364983,371.313382101483,356.150735730543,361.228543507615,364.468457012229,352.854755947473,349.606285619679,357.516598908186,346.949140067884,340.263331135861,353.905317814553,341.59885292243,336.006280583545,343.587666260435,339.295062022088
"839",360.708027408722,376.375242545507,347.016591804784,374.147889293613,360.707760951577,345.828437596326,353.445855915831,342.336430678759,366.766905453279,327.010859713721,344.454122416617,344.037030194066,321.990552615295,326.633658240758,324.652489412884
"845",419.136421811887,404.788390799288,387.693275915144,450.157347775246,399.184156849084,389.764592241479,411.959154255971,389.590862295906,402.509484364895,379.058257658132,392.451534432212,391.860573359112,378.594294503103,378.272913721685,379.85372231668
"854",348.203919897796,373.3476048345,362.348467820594,374.483492644753,351.601623089851,350.91648032062,338.08405404944,355.686297254236,358.826339111538,342.081942716399,349.554285908292,337.517924550222,332.393120551065,341.166982022393,334.248663694931
"All",5809.31610203308,5939.07534308525,5699.88176935334,5937.30115465807,5498.27888618529,5464.53122136697,5560.68591087832,5589.61118325184,5773.24056160918,5514.16619432768,5470.32449258509,5162.20250329962,5125.03877624843,5360.84739411991,5128.64579585752
