"accession","fresh_weight~width","fresh_weight~height","fresh_weight~diameter","fresh_weight~thickness","fresh_weight~D_div_W","fresh_weight~width+height","fresh_weight~width*height","fresh_weight~width+D_div_W","fresh_weight~width*D_div_W","fresh_weight~width+thickness","fresh_weight~width*thickness","fresh_weight~height+D_div_W","fresh_weight~height*D_div_W","fresh_weight~height+thickness","fresh_weight~height*thickness","fresh_weight~D_div_W+thickness","fresh_weight~D_div_W*thickness","fresh_weight~width+height+D_div_W","fresh_weight~width*height*D_div_W","fresh_weight~width+height+thickness","fresh_weight~width*height*thickness","fresh_weight~width+D_div_W+thickness","fresh_weight~width*D_div_W*thickness","fresh_weight~height+D_div_W+thickness","fresh_weight~height*D_div_W*thickness","fresh_weight~width+height+D_div_W+thickness","fresh_weight~width*height*D_div_W*thickness"
"242",399.954390567895,423.856631451963,411.984587542223,427.185378801186,439.370991706399,392.103453936514,362.231812331542,373.68338604267,376.303485625518,383.485935986671,383.550508706819,413.499599333626,357.422048638581,405.108663163909,406.24185700628,423.063678753707,420.910442551113,376.513596852517,345.61809666606,364.342743521495,336.154302051586,352.497558029336,337.183720484943,386.872940465875,344.234229118819,355.000275728688,335.295246241536
"246",395.825230090492,406.933677293518,388.606674470609,418.774944265463,419.330180480675,382.259532613699,379.672752860111,379.537003529765,375.043041225198,393.028565073897,394.825820987467,387.98501380167,386.748968590141,405.629207599503,408.742086831786,420.484269094556,423.041899381185,382.870848358557,381.448943669938,370.92733568143,367.708873950167,369.388359413069,364.421785520345,377.511176762268,385.756577675242,372.705140850671,372.602632936736
"319",434.909136315922,446.81420011392,456.529007588775,454.940922633389,454.960929618042,431.571932065868,433.342069891764,435.88654569912,432.849489758328,431.883613137646,434.741110488235,445.771140901934,446.802190451145,447.425201261739,440.920189907714,453.809004702858,457.253099691049,434.375531390781,429.209951035034,428.117513291912,413.996696439829,434.253752215401,424.463260738884,443.262742002505,434.802427628974,431.544110415666,417.898742889576
"325",454.682383723178,467.305598167594,440.360263349847,481.535131557499,487.692975384022,436.172246768925,439.277475006358,432.736649081306,432.780663250239,443.679964936247,446.613239299746,447.743858703979,449.116631299337,466.67429750717,469.563562802431,482.890826445396,483.1475010428,436.108745908136,443.345693559502,425.472165674023,436.054439575547,419.689265668858,423.023053090862,442.122644187048,455.042112252072,423.144852451909,440.018604937872
"326",410.380749305697,410.251183258675,384.078688274249,440.05561454461,448.594147102296,392.223276462335,394.379419328472,382.490671457874,385.049325663067,412.449125133219,406.983064746597,405.317518339014,406.759198478645,396.438251938154,399.504558924815,438.973404407795,442.427995713054,385.80582907174,395.627871529119,386.567243701095,382.083043190823,359.718105286911,362.747257143139,398.426781633491,406.12058772697,360.372739040157,376.978102834105
"390",454.834706732672,460.797651907263,452.984834351615,469.395641946597,487.694414323633,443.358585530806,446.80902427136,446.517038604261,449.441898381595,433.167358194676,434.428990546032,453.965285859856,454.624851450006,447.441244282301,450.863524571366,472.837419074456,475.680767873411,446.363122092393,458.945862731207,417.972211092065,417.998571220513,415.529656154875,417.304581211281,439.746710755911,440.658320322437,417.254398120727,433.155606954702
"572",418.750072636968,415.132846209064,402.822606326859,438.552735557132,442.390164668072,414.137774607543,417.027503741721,404.031373571869,405.846259743888,411.261148734438,414.628878141628,418.423190430385,416.21704143627,405.849455978143,409.193775451294,441.910502153822,444.831407168593,406.027604717119,415.282997387945,402.053603391443,409.939268365623,383.822022945558,388.101056179267,408.973078119764,414.22400250723,384.542391023649,389.968900445047
"580",412.307859745294,422.597515033074,426.322267821366,426.241687027386,432.147647288168,405.704246701904,408.711440852574,412.824807095981,415.268640903036,404.838068355663,408.280563903368,423.392443881341,424.976979551682,412.04598047511,412.996048771305,429.194905268018,421.716699960992,409.162903042214,422.411722109463,381.501587879008,387.880708120875,398.625618134066,409.10800479235,413.681643995764,399.381561134574,383.664293365377,390.867075755869
"582",396.988201599467,417.540057644793,400.602790134651,419.676677652983,431.138323309882,387.319728568343,390.680956065311,380.425495454091,383.090640709382,387.364870876718,389.967928983831,406.040727424845,409.358288264711,410.547894675452,412.437468671248,420.551134891809,424.013631298664,383.882123789823,384.655285634371,377.786946858897,390.37408261805,371.851109713412,376.864803086275,397.212095553467,409.060601047599,375.232931417954,378.22098053858
"584",443.671300513019,444.052612885145,474.820512135492,486.005585405377,486.791626732145,423.151176236498,424.149246868249,443.742320753884,435.794539123609,439.267961256256,442.669529641817,447.507514628284,450.841667299355,441.903401715353,445.320652440218,488.904944805066,492.369876914532,425.228643675738,433.967514752015,410.570769566621,406.152598777645,440.486008946119,431.506638380448,445.230398466446,436.577477409937,413.619718656782,382.693337350078
"585",419.913244049179,421.326395126569,429.769234635799,431.006824210309,446.153438795095,415.930582185371,419.219037713735,421.478844198134,407.18524687564,401.608716710082,403.535328253155,423.940788756253,427.213225911802,395.709498155795,399.032082651562,432.375060336327,434.460243918089,419.36959471727,417.428534226536,386.84182107818,397.487767324441,398.334568683146,396.464223953643,399.052354983065,396.406654159033,389.217964581498,406.273724691324
"839",439.621017106034,444.158166688731,408.319541521599,458.545300029971,459.616201330518,437.927773055112,440.879456553645,418.651744406481,413.521502354589,435.67903395767,433.965429895855,446.593432713864,448.894117778306,433.536831948912,433.667986158403,461.579155139145,464.291409251336,413.585475266692,414.054445944322,422.433549851389,415.802561466396,398.559994308054,387.046116142857,433.65674738379,439.68243878669,400.388671523783,406.254522160801
"845",431.563912944461,421.150104903123,402.879491834124,464.551838154328,466.836455947435,414.182964313775,413.897987948034,408.934740484027,402.720669896795,426.350019556165,427.01992269946,420.068885966724,422.108491836275,414.425593191985,416.081581998553,465.775077692897,468.068585174718,412.316769542564,410.965188288261,403.168794847114,406.84370401028,395.617444638505,396.556212389214,411.500382727942,418.560203575663,398.980878814329,408.031380601651
"854",359.724994461791,384.578520512774,383.796194481633,385.528104241961,389.22110895819,363.054893924609,360.73751950802,362.918515476314,365.689693318163,351.26806968923,351.056206344599,386.016870106956,383.106335918067,369.993620398284,373.374600984214,387.908966729155,389.945206971726,366.198671239703,369.567930414739,347.841334452186,353.064676609925,354.732570205967,351.978855392817,372.529387263742,352.814194403767,351.281305749785,355.432773699081
"All",6354.59067888869,6492.64689234954,6400.83622940775,6506.30049493718,6688.77790111225,6058.61760272195,6038.50205027592,6185.43031378316,6146.25911803467,6104.14605192817,6082.23357646619,6303.64092392361,6294.19366187135,6321.28406477477,6326.84709254207,6496.77568233277,6501.97667462856,6058.33229595493,6032.20206253383,5728.9123529312,5544.96240968482,5882.55329137944,5814.21742829556,6100.54088950037,6061.25214133877,5719.00769236845,5528.02403863855
