"accession","fresh_weight~width","fresh_weight~height","fresh_weight~diameter","fresh_weight~thickness","fresh_weight~D_div_W","fresh_weight~width+height","fresh_weight~width*height","fresh_weight~width+diameter","fresh_weight~width*diameter","fresh_weight~width+thickness","fresh_weight~width*thickness","fresh_weight~height+diameter","fresh_weight~height*diameter","fresh_weight~height+thickness","fresh_weight~height*thickness","fresh_weight~diameter+thickness","fresh_weight~diameter*thickness","fresh_weight~width+height+diameter","fresh_weight~width*height*diameter","fresh_weight~width+height+thickness","fresh_weight~width*height*thickness","fresh_weight~width+diameter+thickness","fresh_weight~width*diameter*thickness","fresh_weight~height+diameter+thickness","fresh_weight~height*diameter*thickness","fresh_weight~width+height+diameter+thickness","fresh_weight~width*height*diameter*thickness"
"242",399.954390567895,423.856631451963,411.984587542223,427.185378801186,439.370991706399,392.103453936514,362.231812331542,382.936322379413,353.894358153569,383.485935986671,383.550508706819,412.843716613715,415.080684206273,405.108663163909,406.24185700628,395.793220854758,390.502633996023,383.598835944862,343.398729289234,364.342743521495,336.154302051586,352.648673472283,324.447592902466,398.67358269649,385.43850082695,355.321676010453,320.873587284125
"246",395.825230090492,406.933677293518,388.606674470609,418.774944265463,419.330180480675,382.259532613699,379.672752860111,373.894789528793,370.969922515562,393.028565073897,394.825820987467,370.148884007546,371.969799621624,405.629207599503,408.742086831786,384.305409692725,386.367612651217,370.547706918168,380.284129612196,370.92733568143,367.708873950167,360.266772117884,350.02261159473,362.874954481756,359.393796414432,358.093960300526,362.603935315948
"319",434.909136315922,446.81420011392,456.529007588775,454.940922633389,454.960929618042,431.571932065868,433.342069891764,437.00740366292,423.084607263012,431.883613137646,434.741110488235,450.251332858243,441.619605935853,447.425201261739,440.920189907714,457.989211825855,454.619005851097,434.764919545601,418.620824201044,428.117513291912,413.996696439829,434.956907366776,417.967870831014,450.827536534355,434.797923837484,431.574724879134,414.016673075584
"325",454.682383723178,467.305598167594,440.360263349847,481.535131557499,487.692975384022,436.172246768925,439.277475006358,430.112977235069,431.654044719979,443.679964936247,446.613239299746,435.033496641565,435.030355640207,466.67429750717,469.563562802431,437.388852962348,433.709325920223,433.261288305814,443.988607690085,425.472165674023,436.054439575547,418.057223633405,422.020684202184,427.143686940847,424.32361973753,420.914849679463,442.508172802254
"326",410.380749305697,410.251183258675,384.078688274249,440.05561454461,448.594147102296,392.223276462335,394.379419328472,381.58603895122,383.915172959665,412.449125133219,406.983064746597,384.440367121499,387.492513012708,396.438251938154,399.504558924815,361.074214966552,361.423624445124,384.509093382691,395.989039479889,386.567243701095,382.083043190823,364.193820592046,358.79059557494,362.190546892049,356.359521591254,365.638046364431,376.786482090617
"390",454.834706732672,460.797651907263,452.984834351615,469.395641946597,487.694414323633,443.358585530806,446.80902427136,446.081068957031,448.188075046245,433.167358194676,434.428990546032,455.67058734309,458.486505955918,447.441244282301,450.863524571366,430.799860054714,433.447190731262,446.166465142009,458.858643032093,417.972211092065,417.998571220513,415.844385613793,416.95003553555,434.248152272271,435.051024271684,417.349682717074,432.127445843879
"572",418.750072636968,415.132846209064,402.822606326859,438.552735557132,442.390164668072,414.137774607543,417.027503741721,405.695092815653,408.646605611852,411.261148734438,414.628878141628,405.028984082155,408.293802087394,405.849455978143,409.193775451294,383.43342855157,382.348699783799,407.973925516401,419.028835129982,402.053603391443,409.939268365623,385.658431392744,385.475599751875,383.965803943307,383.765879778682,386.293992744841,394.371505178461
"580",412.307859745294,422.597515033074,426.322267821366,426.241687027386,432.147647288168,405.704246701904,408.711440852574,413.232168345535,414.717455633565,404.838068355663,408.280563903368,424.871616173299,428.159849106362,412.04598047511,412.996048771305,417.187436697517,419.743935793558,409.154785029764,420.998238389364,381.501587879008,387.880708120875,398.789568410945,403.809656821151,410.952025754759,420.092567699524,382.783958702539,407.20467402509
"582",396.988201599467,417.540057644793,400.602790134651,419.676677652983,431.138323309882,387.319728568343,390.680956065311,381.546573672398,379.706539589094,387.364870876718,389.967928983831,403.148460435912,402.794469988221,410.547894675452,412.437468671248,395.693929206834,398.637535343881,384.899782300106,388.621732811062,377.786946858897,390.37408261805,372.944794775602,375.896935750643,398.364257315413,404.24497697871,376.139378486842,386.836593011667
"584",443.671300513019,444.052612885145,474.820512135492,486.005585405377,486.791626732145,423.151176236498,424.149246868249,444.561430807614,446.824459406033,439.267961256256,442.669529641817,443.461103601675,441.83844732073,441.903401715353,445.320652440218,477.340620259154,457.812518960503,425.396648085737,433.795411587538,410.570769566621,406.152598777645,441.190172318024,430.224894533989,442.175749747057,428.781022268798,413.715457854812,401.019426005105
"585",419.913244049179,421.326395126569,429.769234635799,431.006824210309,446.153438795095,415.930582185371,419.219037713735,420.358939001861,419.251701621698,401.608716710082,403.535328253155,423.465464346456,425.28990739951,395.709498155795,399.032082651562,409.243324986793,409.163097832301,419.208378675243,412.331763689837,386.84182107818,397.487767324441,396.699896315532,402.522987813514,395.680388999501,398.669470866775,388.960234061374,410.209550201191
"839",439.621017106034,444.158166688731,408.319541521599,458.545300029971,459.616201330518,437.927773055112,440.879456553645,411.259751892623,413.206639301953,435.67903395767,433.965429895855,402.707768774522,405.891282620916,433.536831948912,433.667986158403,383.406257216128,382.805985323456,405.813431410519,415.538385155997,422.433549851389,415.802561466396,383.385736994887,386.789787202197,384.4384262455,394.362914182428,384.902263248126,407.497513811053
"845",431.563912944461,421.150104903123,402.879491834124,464.551838154328,466.836455947435,414.182964313775,413.897987948034,404.414974698573,403.238965938523,426.350019556165,427.01992269946,403.579695963531,401.294220955834,414.425593191985,416.081581998553,389.981485615943,391.462546018159,406.394711783761,410.971768867009,403.168794847114,406.84370401028,389.718203526443,396.102193286528,389.667499382596,388.920542642819,391.454398619938,398.323012593886
"854",359.724994461791,384.578520512774,383.796194481633,385.528104241961,389.22110895819,363.054893924609,360.73751950802,362.974167896935,366.173092552172,351.26806968923,351.056206344599,384.236683897752,381.004483534155,369.993620398284,373.374600984214,378.760521948951,377.594696493039,366.246938021638,362.756100534682,347.841334452186,353.064676609925,354.733374746072,359.481779317917,368.657307350101,363.564522334078,351.2692540596,359.364777966003
