"accession","fresh_weight~width","fresh_weight~height","fresh_weight~diameter","fresh_weight~thickness","fresh_weight~width*height","fresh_weight~width*D_div_W","fresh_weight~width*thickness","fresh_weight~height*D_div_W","fresh_weight~height*thickness","fresh_weight~D_div_W*thickness","fresh_weight~width*height*D_div_W","fresh_weight~width*height*thickness","fresh_weight~width*D_div_W*thickness","fresh_weight~height*D_div_W*thickness","fresh_weight~width*height*D_div_W*thickness"
"242",399.954390567895,423.856631451963,411.984587542223,427.185378801186,362.231812331542,376.303485625518,383.550508706819,357.422048638581,406.24185700628,420.910442551113,345.61809666606,336.154302051586,337.183720484943,344.234229118819,335.295246241536
"246",395.825230090492,406.933677293518,388.606674470609,418.774944265463,379.672752860111,375.043041225198,394.825820987467,386.748968590141,408.742086831786,423.041899381185,381.448943669938,367.708873950167,364.421785520345,385.756577675242,372.602632936736
"319",434.909136315922,446.81420011392,456.529007588775,454.940922633389,433.342069891764,432.849489758328,434.741110488235,446.802190451145,440.920189907714,457.253099691049,429.209951035034,413.996696439829,424.463260738884,434.802427628974,417.898742889576
"325",454.682383723178,467.305598167594,440.360263349847,481.535131557499,439.277475006358,432.780663250239,446.613239299746,449.116631299337,469.563562802431,483.1475010428,443.345693559502,436.054439575547,423.023053090862,455.042112252072,440.018604937872
"326",410.380749305697,410.251183258675,384.078688274249,440.05561454461,394.379419328472,385.049325663067,406.983064746597,406.759198478645,399.504558924815,442.427995713054,395.627871529119,382.083043190823,362.747257143139,406.12058772697,376.978102834105
"390",454.834706732672,460.797651907263,452.984834351615,469.395641946597,446.80902427136,449.441898381595,434.428990546032,454.624851450006,450.863524571366,475.680767873411,458.945862731207,417.998571220513,417.304581211281,440.658320322437,433.155606954702
"572",418.750072636968,415.132846209064,402.822606326859,438.552735557132,417.027503741721,405.846259743888,414.628878141628,416.21704143627,409.193775451294,444.831407168593,415.282997387945,409.939268365623,388.101056179267,414.22400250723,389.968900445047
"580",412.307859745294,422.597515033074,426.322267821366,426.241687027386,408.711440852574,415.268640903036,408.280563903368,424.976979551682,412.996048771305,421.716699960992,422.411722109463,387.880708120875,409.10800479235,399.381561134574,390.867075755869
"582",396.988201599467,417.540057644793,400.602790134651,419.676677652983,390.680956065311,383.090640709382,389.967928983831,409.358288264711,412.437468671248,424.013631298664,384.655285634371,390.37408261805,376.864803086275,409.060601047599,378.22098053858
"584",443.671300513019,444.052612885145,474.820512135492,486.005585405377,424.149246868249,435.794539123609,442.669529641817,450.841667299355,445.320652440218,492.369876914532,433.967514752015,406.152598777645,431.506638380448,436.577477409937,382.693337350078
"585",419.913244049179,421.326395126569,429.769234635799,431.006824210309,419.219037713735,407.18524687564,403.535328253155,427.213225911802,399.032082651562,434.460243918089,417.428534226536,397.487767324441,396.464223953643,396.406654159033,406.273724691324
"839",439.621017106034,444.158166688731,408.319541521599,458.545300029971,440.879456553645,413.521502354589,433.965429895855,448.894117778306,433.667986158403,464.291409251336,414.054445944322,415.802561466396,387.046116142857,439.68243878669,406.254522160801
"845",431.563912944461,421.150104903123,402.879491834124,464.551838154328,413.897987948034,402.720669896795,427.01992269946,422.108491836275,416.081581998553,468.068585174718,410.965188288261,406.84370401028,396.556212389214,418.560203575663,408.031380601651
"854",359.724994461791,384.578520512774,383.796194481633,385.528104241961,360.73751950802,365.689693318163,351.056206344599,383.106335918067,373.374600984214,389.945206971726,369.567930414739,353.064676609925,351.978855392817,352.814194403767,355.432773699081
"All",6354.59067888869,6492.64689234954,6400.83622940775,6506.30049493718,6038.50205027592,6146.25911803467,6082.23357646619,6294.19366187135,6326.84709254207,6501.97667462856,6032.20206253383,5544.96240968482,5814.21742829556,6061.25214133877,5528.02403863855
