"accession","fresh_weight~width","fresh_weight~height","fresh_weight~diameter","fresh_weight~thickness","fresh_weight~width+height","fresh_weight~width+D_div_W","fresh_weight~width+thickness","fresh_weight~height+D_div_W","fresh_weight~height+thickness","fresh_weight~D_div_W+thickness","fresh_weight~width+height+D_div_W","fresh_weight~width+height+thickness","fresh_weight~width+D_div_W+thickness","fresh_weight~height+D_div_W+thickness","fresh_weight~width+height+D_div_W+thickness"
"242",399.954390567895,423.856631451963,411.984587542223,427.185378801186,392.103453936514,373.68338604267,383.485935986671,413.499599333626,405.108663163909,423.063678753707,376.513596852517,364.342743521495,352.497558029336,386.872940465875,355.000275728688
"246",395.825230090492,406.933677293518,388.606674470609,418.774944265463,382.259532613699,379.537003529765,393.028565073897,387.98501380167,405.629207599503,420.484269094556,382.870848358557,370.92733568143,369.388359413069,377.511176762268,372.705140850671
"319",434.909136315922,446.81420011392,456.529007588775,454.940922633389,431.571932065868,435.88654569912,431.883613137646,445.771140901934,447.425201261739,453.809004702858,434.375531390781,428.117513291912,434.253752215401,443.262742002505,431.544110415666
"325",454.682383723178,467.305598167594,440.360263349847,481.535131557499,436.172246768925,432.736649081306,443.679964936247,447.743858703979,466.67429750717,482.890826445396,436.108745908136,425.472165674023,419.689265668858,442.122644187048,423.144852451909
"326",410.380749305697,410.251183258675,384.078688274249,440.05561454461,392.223276462335,382.490671457874,412.449125133219,405.317518339014,396.438251938154,438.973404407795,385.80582907174,386.567243701095,359.718105286911,398.426781633491,360.372739040157
"390",454.834706732672,460.797651907263,452.984834351615,469.395641946597,443.358585530806,446.517038604261,433.167358194676,453.965285859856,447.441244282301,472.837419074456,446.363122092393,417.972211092065,415.529656154875,439.746710755911,417.254398120727
"572",418.750072636968,415.132846209064,402.822606326859,438.552735557132,414.137774607543,404.031373571869,411.261148734438,418.423190430385,405.849455978143,441.910502153822,406.027604717119,402.053603391443,383.822022945558,408.973078119764,384.542391023649
"580",412.307859745294,422.597515033074,426.322267821366,426.241687027386,405.704246701904,412.824807095981,404.838068355663,423.392443881341,412.04598047511,429.194905268018,409.162903042214,381.501587879008,398.625618134066,413.681643995764,383.664293365377
"582",396.988201599467,417.540057644793,400.602790134651,419.676677652983,387.319728568343,380.425495454091,387.364870876718,406.040727424845,410.547894675452,420.551134891809,383.882123789823,377.786946858897,371.851109713412,397.212095553467,375.232931417954
"584",443.671300513019,444.052612885145,474.820512135492,486.005585405377,423.151176236498,443.742320753884,439.267961256256,447.507514628284,441.903401715353,488.904944805066,425.228643675738,410.570769566621,440.486008946119,445.230398466446,413.619718656782
"585",419.913244049179,421.326395126569,429.769234635799,431.006824210309,415.930582185371,421.478844198134,401.608716710082,423.940788756253,395.709498155795,432.375060336327,419.36959471727,386.84182107818,398.334568683146,399.052354983065,389.217964581498
"839",439.621017106034,444.158166688731,408.319541521599,458.545300029971,437.927773055112,418.651744406481,435.67903395767,446.593432713864,433.536831948912,461.579155139145,413.585475266692,422.433549851389,398.559994308054,433.65674738379,400.388671523783
"845",431.563912944461,421.150104903123,402.879491834124,464.551838154328,414.182964313775,408.934740484027,426.350019556165,420.068885966724,414.425593191985,465.775077692897,412.316769542564,403.168794847114,395.617444638505,411.500382727942,398.980878814329
"854",359.724994461791,384.578520512774,383.796194481633,385.528104241961,363.054893924609,362.918515476314,351.26806968923,386.016870106956,369.993620398284,387.908966729155,366.198671239703,347.841334452186,354.732570205967,372.529387263742,351.281305749785
"All",6354.59067888869,6492.64689234954,6400.83622940775,6506.30049493718,6058.61760272195,6185.43031378316,6104.14605192817,6303.64092392361,6321.28406477477,6496.77568233277,6058.33229595493,5728.9123529312,5882.55329137944,6100.54088950037,5719.00769236845
