"accession","DW~W*T","DW~W*T*pdD","DW~A_th*T*pdD","Reis DW"
"242",0.873664510006508,0.979477303733166,0.975154725392011,0.72
"246",0.605236557708865,0.862197649223545,0.865656241325401,0.72
"319",0.562655900927161,0.781958729525881,0.842330521943427,0.72
"325",0.759986413441571,0.87175690344981,0.866120587754484,0.72
"326",0.758866466747199,0.9165522990886,0.915053463038384,0.72
"390",0.83144860082492,0.924137823119313,0.922234433211543,0.72
"572",0.626865851669655,0.75663449633636,0.755583808602068,0.72
"580",0.577279563505274,0.813629292491653,0.843812599604032,0.72
"582",0.767717938314752,0.82809624671807,0.842988996910906,0.72
"584",0.782045483262961,0.94372965070722,0.953359102957492,0.72
"585",0.768740599632809,0.852282787975343,0.864692224179811,0.72
"839",0.603663004586196,0.859694857239758,0.853190205036848,0.72
"845",0.76113040334581,0.895933518871213,0.908435372518131,0.72
"854",0.743984955916938,0.790782186231989,0.815768624632885,0.72
"All",0.798603055376433,0.87905698627465,0.866506446362508,0.72
