Plant_ID,Plant,Year ,Replication ,DMC,Water
PARL 580,1,1,1,6.9,93.1
PARL 580,2,3,1,6.3,93.7
PARL 580,3,1,1,6,94
PARL 580,4,3,1,9.4,90.6
PARL 580,5,1,1,7.8,92.2
PARL 580,6,3,1,7,93
PARL 580,7,1,1,6.4,93.6
PARL 580,8,3,1,5.8,94.2
PARL 854,1,1,1,9,91
PARL 854,2,3,1,10.3,89.7
PARL 854,3,1,1,8,92
PARL 854,4,3,1,9.6,90.4
PARL 854,5,1,1,8.1,91.9
PARL 854,6,3,1,10.3,89.7
PARL 854,7,1,1,9.5,90.5
PARL 854,8,3,1,9.4,90.6
PARL 584,1,1,1,5.3,94.7
PARL 584,2,3,1,5.1,94.9
PARL 584,3,1,1,34.6,65.4
PARL 584,4,3,1,NA,NA
PARL 584,5,1,1,NA,NA
PARL 584,6,3,1,NA,NA
PARL 584,7,1,1,4.9,95.1
PARL 584,8,3,1,NA,NA
PARL 585,1,1,1,5.7,94.3
PARL 585,2,3,1,NA,NA
PARL 585,3,1,1,4.7,95.3
PARL 585,4,3,1,17.1,82.9
PARL 585,5,1,1,6.3,93.7
PARL 585,6,3,1,11.1,88.9
PARL 585,7,1,1,6.2,93.8
PARL 585,8,3,1,15,85
PARL 839,1,1,1,9,91
PARL 839,2,3,1,NA,NA
PARL 839,3,1,1,9,91
PARL 839,4,3,1,6.1,93.9
PARL 839,5,1,1,7.9,92.1
PARL 839,6,3,1,10.7,89.3
PARL 839,7,1,1,7.2,92.8
PARL 839,8,3,1,9.6,90.4
PARL 325,1,1,1,5.3,94.7
PARL 325,2,3,1,8.1,91.9
PARL 325,3,1,1,5.6,94.4
PARL 325,4,3,1,6.1,93.9
PARL 325,5,1,1,NA,NA
PARL 325,6,3,1,6.8,93.2
PARL 325,7,1,1,5.3,94.7
PARL 325,8,3,1,6.6,93.4
PARL 572,1,1,1,4,96
PARL 572,2,3,1,7.4,92.6
PARL 572,3,1,1,11.8,88.2
PARL 572,4,3,1,7.3,92.7
PARL 572,5,1,1,5.6,94.4
PARL 572,6,3,1,6.7,93.3
PARL 572,7,1,1,7,93
PARL 572,8,3,1,NA,NA
PARL 390,1,1,1,12.6,87.4
PARL 390,2,3,1,6.3,93.7
PARL 390,3,1,1,8,92
PARL 390,4,3,1,6.8,93.2
PARL 390,5,1,1,7.3,92.7
PARL 390,6,3,1,7.9,92.1
PARL 390,7,1,1,7,93
PARL 390,8,3,1,7.2,92.8
PARL 319,1,1,1,5.5,94.5
PARL 319,2,3,1,6.2,93.8
PARL 319,3,1,1,7.8,92.2
PARL 319,4,3,1,7.1,92.9
PARL 319,5,1,1,6.6,93.4
PARL 319,6,3,1,5.7,94.3
PARL 319,7,1,1,6.3,93.7
PARL 319,8,3,1,6,94
PARL 326,1,1,1,11.4,88.6
PARL 326,2,3,1,7.7,92.3
PARL 326,3,1,1,12.3,87.7
PARL 326,4,3,1,8.4,91.6
PARL 326,5,1,1,19.5,80.5
PARL 326,6,3,1,8,92
PARL 326,7,1,1,13.5,86.5
PARL 326,8,3,1,5.7,94.3
PARL 845,1,1,1,8.7,91.3
PARL 845,2,3,1,7.6,92.4
PARL 845,3,1,1,8.4,91.6
PARL 845,4,3,1,7.1,92.9
PARL 845,5,1,1,9.9,90.1
PARL 845,6,3,1,8.6,91.4
PARL 845,7,1,1,7.1,92.9
PARL 845,8,3,1,8.4,91.6
PARL 582,1,1,1,21.4,78.6
PARL 582,2,3,1,7.2,92.8
PARL 582,3,1,1,6.6,93.4
PARL 582,4,3,1,6.1,93.9
PARL 582,5,1,1,6.3,93.7
PARL 582,6,3,1,7,93
PARL 582,7,1,1,6.9,93.1
PARL 582,8,3,1,6.2,93.8
PARL 242,1,1,1,7.1,92.9
PARL 242,2,3,1,6.4,93.6
PARL 242,3,1,1,7.4,92.6
PARL 242,4,3,1,6.1,93.9
PARL 242,5,1,1,6,94
PARL 242,6,3,1,6.5,93.5
PARL 242,7,1,1,7.6,92.4
PARL 242,8,3,1,12.5,87.5
PARL 246,1,1,1,5.5,94.5
PARL 246,2,3,1,6.4,93.6
PARL 246,3,1,1,6.5,93.5
PARL 246,4,3,1,6.5,93.5
PARL 246,5,1,1,3.6,96.4
PARL 246,6,3,1,7.3,92.7
PARL 246,7,1,1,4.8,95.2
PARL 246,8,3,1,5.8,94.2
PARL 580,1,1,2,9,91
PARL 580,2,3,2,7.1,92.9
PARL 580,3,1,2,6.6,93.4
PARL 580,4,3,2,7.8,92.2
PARL 580,5,1,2,6.5,93.5
PARL 580,6,3,2,6.3,93.7
PARL 580,7,1,2,6,94
PARL 580,8,3,2,6.1,93.9
PARL 854,1,1,2,7.4,92.6
PARL 854,2,3,2,13.4,86.6
PARL 854,3,1,2,5.7,94.3
PARL 854,4,3,2,10.4,89.6
PARL 854,5,1,2,14.9,85.1
PARL 854,6,3,2,NA,NA
PARL 854,7,1,2,10.1,89.9
PARL 854,8,3,2,9.5,90.5
PARL 584,1,1,2,6.3,93.7
PARL 584,2,3,2,NA,NA
PARL 584,3,1,2,6.2,93.8
PARL 584,4,3,2,NA,NA
PARL 584,5,1,2,5.1,94.9
PARL 584,6,3,2,6.8,93.2
PARL 584,7,1,2,NA,NA
PARL 584,8,3,2,5.5,94.5
PARL 585,1,1,2,8,92
PARL 585,2,3,2,9,91
PARL 585,3,1,2,8.4,91.6
PARL 585,4,3,2,7,93
PARL 585,5,1,2,8.6,91.4
PARL 585,6,3,2,6.2,93.8
PARL 585,7,1,2,14.5,85.5
PARL 585,8,3,2,8.8,91.2
PARL 839,1,1,2,9.1,90.9
PARL 839,2,3,2,10,90
PARL 839,3,1,2,7.6,92.4
PARL 839,4,3,2,11.3,88.7
PARL 839,5,1,2,7.9,92.1
PARL 839,6,3,2,11,89
PARL 839,7,1,2,10,90
PARL 839,8,3,2,11,89
PARL 325,1,1,2,6.1,93.9
PARL 325,2,3,2,6.3,93.7
PARL 325,3,1,2,9.4,90.6
PARL 325,4,3,2,6.2,93.8
PARL 325,5,1,2,6.5,93.5
PARL 325,6,3,2,NA,NA
PARL 325,7,1,2,8.3,91.7
PARL 325,8,3,2,6.3,93.7
PARL 572,1,1,2,6.7,93.3
PARL 572,2,3,2,6.7,93.3
PARL 572,3,1,2,7.1,92.9
PARL 572,4,3,2,6.7,93.3
PARL 572,5,1,2,10.3,89.7
PARL 572,6,3,2,6.8,93.2
PARL 572,7,1,2,7.7,92.3
PARL 572,8,3,2,7,93
PARL 390,1,1,2,16.7,83.3
PARL 390,2,3,2,6,94
PARL 390,3,1,2,9.6,90.4
PARL 390,4,3,2,6,94
PARL 390,5,1,2,4.4,95.6
PARL 390,6,3,2,6.7,93.3
PARL 390,7,1,2,10.7,89.3
PARL 390,8,3,2,9.9,90.1
PARL 319,1,1,2,4.7,95.3
PARL 319,2,3,2,6.5,93.5
PARL 319,3,1,2,5.2,94.8
PARL 319,4,3,2,6.4,93.6
PARL 319,5,1,2,7.6,92.4
PARL 319,6,3,2,NA,NA
PARL 319,7,1,2,8.2,91.8
PARL 319,8,3,2,6.7,93.3
PARL 326,1,1,2,6.4,93.6
PARL 326,2,3,2,6.1,93.9
PARL 326,3,1,2,6.3,93.7
PARL 326,4,3,2,5.2,94.8
PARL 326,5,1,2,6.3,93.7
PARL 326,6,3,2,8.1,91.9
PARL 326,7,1,2,8.9,91.1
PARL 326,8,3,2,6.5,93.5
PARL 845,1,1,2,15.5,84.5
PARL 845,2,3,2,8.8,91.2
PARL 845,3,1,2,7.8,92.2
PARL 845,4,3,2,9.3,90.7
PARL 845,5,1,2,9.1,90.9
PARL 845,6,3,2,8.4,91.6
PARL 845,7,1,2,8.4,91.6
PARL 845,8,3,2,8.7,91.3
PARL 582,1,1,2,6.3,93.7
PARL 582,2,3,2,6.5,93.5
PARL 582,3,1,2,6.8,93.2
PARL 582,4,3,2,6.5,93.5
PARL 582,5,1,2,5.7,94.3
PARL 582,6,3,2,5.9,94.1
PARL 582,7,1,2,1.6,98.4
PARL 582,8,3,2,6.5,93.5
PARL 242,1,1,2,7.7,92.3
PARL 242,2,3,2,5.9,94.1
PARL 242,3,1,2,6.6,93.4
PARL 242,4,3,2,7.4,92.6
PARL 242,5,1,2,6.8,93.2
PARL 242,6,3,2,6.6,93.4
PARL 242,7,1,2,7.3,92.7
PARL 242,8,3,2,7.4,92.6
PARL 246,1,1,2,7.8,92.2
PARL 246,2,3,2,5.7,94.3
PARL 246,3,1,2,5.9,94.1
PARL 246,4,3,2,4.8,95.2
PARL 246,5,1,2,4.3,95.7
PARL 246,6,3,2,5.8,94.2
PARL 246,7,1,2,7.1,92.9
PARL 246,8,3,2,7.1,92.9
PARL 580,1,1,3,6.8,93.2
PARL 580,2,3,3,6.3,93.7
PARL 580,3,1,3,7.9,92.1
PARL 580,4,3,3,6.6,93.4
PARL 580,5,1,3,8.3,91.7
PARL 580,6,3,3,7.7,92.3
PARL 580,7,1,3,6.6,93.4
PARL 580,8,3,3,7.8,92.2
PARL 854,1,1,3,7.3,92.7
PARL 854,2,3,3,9.7,90.3
PARL 854,3,1,3,5.7,94.3
PARL 854,4,3,3,9.2,90.8
PARL 854,5,1,3,5.5,94.5
PARL 854,6,3,3,10.7,89.3
PARL 854,7,1,3,6.6,93.4
PARL 854,8,3,3,8.3,91.7
PARL 584,1,1,3,5.5,94.5
PARL 584,2,3,3,6.8,93.2
PARL 584,3,1,3,NA,NA
PARL 584,4,3,3,NA,NA
PARL 584,5,1,3,NA,NA
PARL 584,6,3,3,NA,NA
PARL 584,7,1,3,5.1,94.9
PARL 584,8,3,3,5.9,94.1
PARL 585,1,1,3,4,96
PARL 585,2,3,3,10.2,89.8
PARL 585,3,1,3,3.9,96.1
PARL 585,4,3,3,6.7,93.3
PARL 585,5,1,3,7.3,92.7
PARL 585,6,3,3,6.7,93.3
PARL 585,7,1,3,6.4,93.6
PARL 585,8,3,3,5.7,94.3
PARL 839,1,1,3,7.7,92.3
PARL 839,2,3,3,9.4,90.6
PARL 839,3,1,3,7.3,92.7
PARL 839,4,3,3,9.6,90.4
PARL 839,5,1,3,7.4,92.6
PARL 839,6,3,3,9.9,90.1
PARL 839,7,1,3,8.3,91.7
PARL 839,8,3,3,9.5,90.5
PARL 325,1,1,3,6.6,93.4
PARL 325,2,3,3,6.8,93.2
