"","W","H","D","T","D/W","W+H","W+D","W+T","H+D","H+T","D+T","W+H+D","W+H+T","W+D+T","H+D+T","W+H+D+T"
"All",6354.59067888869,6492.64689234954,6400.83622940775,6506.30049493718,6688.77790111225,6058.61760272195,6140.563238877,6104.14605192817,6392.87803385255,6321.28406477477,6233.0281137857,6046.62221053612,5728.9123529312,5869.13278783225,6224.56867596533,5719.02441880087
"242",399.954390567895,423.856631451963,411.984587542223,427.185378801186,439.370991706399,392.103453936514,382.936322379413,383.485935986671,412.843716613715,405.108663163909,395.793220854758,383.598835944862,364.342743521495,352.648673472283,398.67358269649,355.321676010453
"246",395.825230090492,406.933677293518,388.606674470609,418.774944265463,419.330180480675,382.259532613699,373.894789528793,393.028565073897,370.148884007546,405.629207599503,384.305409692725,370.547706918168,370.92733568143,360.266772117884,362.874954481756,358.093960300526
"319",434.909136315922,446.81420011392,456.529007588775,454.940922633389,454.960929618042,431.571932065868,437.00740366292,431.883613137646,450.251332858243,447.425201261739,457.989211825855,434.764919545601,428.117513291912,434.956907366776,450.827536534355,431.574724879134
"325",454.682383723178,467.305598167594,440.360263349847,481.535131557499,487.692975384022,436.172246768925,430.112977235069,443.679964936247,435.033496641565,466.67429750717,437.388852962348,433.261288305814,425.472165674023,418.057223633405,427.143686940847,420.914849679463
"326",410.380749305697,410.251183258675,384.078688274249,440.05561454461,448.594147102296,392.223276462335,381.58603895122,412.449125133219,384.440367121499,396.438251938154,361.074214966552,384.509093382691,386.567243701095,364.193820592046,362.190546892049,365.638046364431
"390",454.834706732672,460.797651907263,452.984834351615,469.395641946597,487.694414323633,443.358585530806,446.081068957031,433.167358194676,455.67058734309,447.441244282301,430.799860054714,446.166465142009,417.972211092065,415.844385613793,434.248152272271,417.349682717074
"572",418.750072636968,415.132846209064,402.822606326859,438.552735557132,442.390164668072,414.137774607543,405.695092815653,411.261148734438,405.028984082155,405.849455978143,383.43342855157,407.973925516401,402.053603391443,385.658431392744,383.965803943307,386.293992744841
"580",412.307859745294,422.597515033074,426.322267821366,426.241687027386,432.147647288168,405.704246701904,413.232168345535,404.838068355663,424.871616173299,412.04598047511,417.187436697517,409.154785029764,381.501587879008,398.789568410945,410.952025754759,382.783958702539
"582",396.988201599467,417.540057644793,400.602790134651,419.676677652983,431.138323309882,387.319728568343,381.546573672398,387.364870876718,403.148460435912,410.547894675452,395.693929206834,384.899782300106,377.786946858897,372.944794775602,398.364257315413,376.139378486842
"584",443.671300513019,444.052612885145,474.820512135492,486.005585405377,486.791626732145,423.151176236498,444.561430807614,439.267961256256,443.461103601675,441.903401715353,477.340620259154,425.396648085737,410.570769566621,441.190172318024,442.175749747057,413.715457854812
"585",419.913244049179,421.326395126569,429.769234635799,431.006824210309,446.153438795095,415.930582185371,420.358939001861,401.608716710082,423.465464346456,395.709498155795,409.243324986793,419.208378675243,386.84182107818,396.699896315532,395.680388999501,388.960234061374
"839",439.621017106034,444.158166688731,408.319541521599,458.545300029971,459.616201330518,437.927773055112,411.259751892623,435.67903395767,402.707768774522,433.536831948912,383.406257216128,405.813431410519,422.433549851389,383.385736994887,384.4384262455,384.902263248126
"845",431.563912944461,421.150104903123,402.879491834124,464.551838154328,466.836455947435,414.182964313775,404.414974698573,426.350019556165,403.579695963531,414.425593191985,389.981485615943,406.394711783761,403.168794847114,389.718203526443,389.667499382596,391.454398619938
"854",359.724994461791,384.578520512774,383.796194481633,385.528104241961,389.22110895819,363.054893924609,362.974167896935,351.26806968923,384.236683897752,369.993620398284,378.760521948951,366.246938021638,347.841334452186,354.733374746072,368.657307350101,351.2692540596
