"","A","Th_A","A*T","Th_A*T","A*T*D","Th_A*T*PD"
"All",0.818849700389712,0.776979280663341,0.925957585237656,0.924567411726239,0.931320660807088,0.92971553700111
"242",0.876963371149653,0.872463049380636,0.973645035155076,0.960522342301232,0.972131956435277,0.975154725359201
"246",0.829273004011378,0.750893433370932,0.919537800252963,0.853917551919309,0.915582781750183,0.865656241337871
"319",0.58684735250925,0.560161633242486,0.689277679839453,0.681212813781853,0.859007842311734,0.842330521896302
"325",0.889401141852539,0.820790694539715,0.93121736635264,0.879365125359392,0.938723911471315,0.86612058774658
"326",0.880035906625077,0.847376726334407,0.946226162714775,0.901004287180356,0.977122506975214,0.91505346300782
"390",0.615095093692507,0.761303671450117,0.790271412207178,0.924211668458753,0.912014677073918,0.922234433204297
"572",0.680730574593192,0.62370286358688,0.884822366914937,0.764160214419513,0.894738231348844,0.755583808707715
"580",0.669664193865507,0.579911905587441,0.870813604402738,0.829221457955572,0.861951774957718,0.843812599501377
"582",0.762485457115254,0.772995732454028,0.865396378335884,0.8402070143248,0.888771541464928,0.842988996941793
"584",0.940759857677462,0.885783332070111,0.970805174508642,0.944201984536985,0.969648892047416,0.953359102943111
"585",0.576329744168601,0.647218506286882,0.726038187426486,0.866495196974655,0.854280118800929,0.864692224155757
"839",0.748892002517239,0.512566155139774,0.833059456580297,0.760222158052039,0.921059080784965,0.853190205126169
"845",0.890520138091669,0.846212747157092,0.963100226592235,0.905378043405502,0.967793444571794,0.908435372503375
"854",0.110270705886064,0.4419732251389,0.580610963255421,0.743373686014208,0.75987896254991,0.81576862421284
