"","A","Th_A","A+T","Th_A+T","A+T+D","Th_A+T+PD"
"All",0.818849700389712,0.776979280663341,0.913859312951538,0.907479925505447,0.916912202895684,0.907893896678781
"242",0.876963371149653,0.872463049380636,0.949807136742262,0.953186191856676,0.953135576487523,0.959951726916194
"246",0.829273004011378,0.750893433370932,0.916665223733609,0.845441702704721,0.913717304712894,0.840953712220183
"319",0.58684735250925,0.560161633242486,0.699959041297333,0.622911333897016,0.764086036347767,0.663506814553856
"325",0.889401141852539,0.820790694539715,0.933587594296407,0.880345091534868,0.936956009394707,0.879091155864759
"326",0.880035906625077,0.847376726334407,0.909052262665871,0.875863002056297,0.939147598663174,0.875770501217784
"390",0.615095093692507,0.761303671450117,0.779055398256677,0.91101712069025,0.860654505061418,0.910797668611734
"572",0.680730574593192,0.62370286358688,0.867273069659856,0.767736327335207,0.877662082292741,0.759727559839226
"580",0.669664193865507,0.579911905587441,0.873271550482504,0.834091133746639,0.872059068846534,0.833600254951544
"582",0.762485457115254,0.772995732454028,0.864521770557506,0.845272025312108,0.862309879180546,0.845295390969844
"584",0.940759857677462,0.885783332070111,0.970481813643671,0.940624973189003,0.969762341929006,0.939123623797684
"585",0.576329744168601,0.647218506286882,0.709891053850156,0.866393575002093,0.802387222740576,0.863787153046454
"839",0.748892002517239,0.512566155139774,0.837119072464762,0.694245536462708,0.913781720009087,0.717120847658912
"845",0.890520138091669,0.846212747157092,0.96426942511936,0.90202983464342,0.963171999816253,0.898539935595224
"854",0.110270705886064,0.4419732251389,0.38713421385427,0.732199757408391,0.449910607021393,0.733085265265074
