"","H","W","T","HW","HW+T"
"All",5939.07534308525,5809.31610203308,5937.30115465807,5466.05957111059,5068.72088292479
"242",350.355908189566,332.025538439748,365.112869483079,302.324113986105,289.947056233551
"246",369.846173695404,356.809730086128,374.823350813463,341.745012645462,331.264873943972
"319",374.192620404358,380.057015229445,389.717070602133,352.139755519223,347.549253657931
"325",439.511578945081,424.021549534205,447.017206775251,404.775161816193,396.509220327282
"326",396.1985405166,394.714097450811,425.594043562774,376.198961261136,363.215413260328
"390",403.33924184401,398.177169198204,402.187911468843,389.52894590162,361.840829378568
"572",391.536560749575,393.9820677461,407.358327394642,386.26604368742,374.73066063798
"580",382.18781875218,375.029841229042,377.336204906482,368.504040343706,341.232359740596
"582",404.657672513362,384.222085292157,402.311468631579,373.705446107821,364.062285458655
"584",404.177817502783,417.521698375241,447.470300335762,390.528466789719,371.410882001544
"585",371.313382101483,370.418745364983,361.228543507615,361.692267225467,337.72379923772
"839",376.375242545507,360.708027408722,374.147889293613,360.934869591966,342.287173929897
"845",404.788390799288,419.136421811887,450.157347775246,393.174085888036,385.022468846414
"854",373.3476048345,348.203919897796,374.483492644753,360.791933427382,340.496560866659
