"","H","W","T","HW","HW+T"
"All",6492.64689234954,6354.59067888869,6506.30049493718,6026.92424546918,5637.85553830549
"242",423.856631451963,399.954390567895,427.185378801186,379.129693382911,349.439285989745
"246",406.933677293518,395.825230090492,418.774944265463,375.369131571974,362.476116077611
"319",446.81420011392,434.909136315922,454.940922633389,430.199395012219,427.654618453136
"325",467.305598167594,454.682383723178,481.535131557499,432.54102401258,421.995747378274
"326",410.251183258675,410.380749305697,440.05561454461,387.623261185774,383.393368439067
"390",460.797651907263,454.834706732672,469.395641946597,440.839735724011,411.64468058744
"572",415.132846209064,418.750072636968,438.552735557132,410.175292973222,397.115992301528
"580",422.597515033074,412.307859745294,426.241687027386,403.356972266879,376.009032945221
"582",417.540057644793,396.988201599467,419.676677652983,384.508753885302,374.624032337843
"584",444.052612885145,443.671300513019,486.005585405377,417.267776551304,398.713509944471
"585",421.326395126569,419.913244049179,431.006824210309,412.325511256863,383.635980998242
"839",444.158166688731,439.621017106034,458.545300029971,435.862201375791,423.319177076628
"845",421.150104903123,431.563912944461,464.551838154328,408.205099261213,396.156955911226
"854",384.578520512774,359.724994461791,385.528104241961,371.265969983427,350.153556845251
