,completeID,fresh_weight,width,height,diameter,thickness,accession,species,H_div_W,FW_div_W,FW_div_D,FW_div_H,FW_div_T,D_div_W,Theo_Area,PartRatio,Pade_Peri,Pade_Derived_Diam,Area,dry_proportion,water_proportion,dry_weight,water_weight
1,PARL 242-1-1,515.2,14.4,33.1,75.6,17.3,PARL 242,O. cochinillifera,2.298611111,35.77777778,6.814814815,15.56495468,29.78034682,5.25,374.3521806,0.154987258,155.065936,49.35902043,348.086,0.071424436,0.928575564,36.79786943,478.4021306
2,PARL 242-1-2,249.6,10,28.5,64.2,14,PARL 242,O. cochinillifera,2.85,24.96,3.887850467,8.757894737,17.82857143,6.42,223.8384766,0.230898971,128.0401302,40.75643926,220.588,0.064386604,0.935613396,16.07089636,233.5291036
3,PARL 242-1-3,291.3,8.7,33,73.3,16.3,PARL 242,O. cochinillifera,3.793103448,33.48275862,3.974079127,8.827272727,17.87116564,8.425287356,225.4878127,0.339578697,142.3839289,45.32221221,255.127,0.07375383,0.92624617,21.48449068,269.8155093
4,PARL 242-1-4,422.1,13.4,33.1,73.9,16.3,PARL 242,O. cochinillifera,2.470149254,31.5,5.711772666,12.75226586,25.89570552,5.514925373,348.3555014,0.179484333,152.7159947,48.61101091,331.623,0.060907818,0.939092182,25.70918998,396.39081
5,PARL 242-1-5,366.9,10.5,34,74.5,17.1,PARL 242,O. cochinillifera,3.238095238,34.94285714,4.924832215,10.79117647,21.45614035,7.095238095,280.3871443,0.278878929,149.7303722,47.66065773,278.28,0.059818638,0.940181362,21.94745828,344.9525417
6,PARL 242-1-6,202.3,7.6,30.5,66.2,15.2,PARL 242,O. cochinillifera,4.013157895,26.61842105,3.055891239,6.632786885,13.30921053,8.710526316,182.0552943,0.361260945,130.773249,41.62641802,176.906,0.065031504,0.934968496,13.15587326,189.1441267
7,PARL 242-1-7,244.6,7.3,21,69.2,17.4,PARL 242,O. cochinillifera,2.876712329,33.50684932,3.534682081,11.64761905,14.05747126,9.479452055,120.4015384,0.234351784,94.19699738,29.98383551,197.491,0.075960611,0.924039389,18.57996545,226.0200345
8,PARL 242-1-8,270.4,9.4,34.6,75.4,14.7,PARL 242,O. cochinillifera,3.680851064,28.76595745,3.586206897,7.815028902,18.39455782,8.021276596,255.4428987,0.328016529,149.8186616,47.68876111,262.054,0.12451934,0.87548066,33.67002954,236.7299705
9,PARL 242-2-1,446.6,14.2,33.4,76.6,16.1,PARL 242,O. cochinillifera,2.352112676,31.45070423,5.830287206,13.37125749,27.73913043,5.394366197,372.4986409,0.162700374,155.6868306,49.55665734,348.028,0.076949297,0.923050703,34.36555604,412.234444
10,PARL 242-2-2,291.5,9.5,37.7,82.7,14.1,PARL 242,O. cochinillifera,3.968421053,30.68421053,3.524788392,7.732095491,20.67375887,8.705263158,281.2903522,0.356955616,161.8399435,51.51525401,268.086,0.059424503,0.940575497,17.32224262,274.1777574
