completeID,dry_proportion,water_proportion
PARL 580-1-1,0.068881012,0.931118988
PARL 580-1-2,0.062533859,0.937466141
PARL 580-1-3,0.06044365,0.93955635
PARL 580-1-4,0.094327439,0.905672561
PARL 580-1-5,0.077959806,0.922040194
PARL 580-1-6,0.06988213,0.93011787
PARL 580-1-7,0.063736291,0.936263709
PARL 580-1-8,0.057524145,0.942475855
PARL 854-1-1,0.089941691,0.910058309
PARL 854-1-2,0.103272727,0.896727273
PARL 854-1-3,0.080140624,0.919859376
PARL 854-1-4,0.096156113,0.903843887
PARL 854-1-5,0.081103519,0.918896481
PARL 854-1-6,0.103473778,0.896526222
PARL 854-1-7,0.094906449,0.905093551
PARL 854-1-8,0.09377402,0.90622598
PARL 584-1-1,0.053463142,0.946536858
PARL 584-1-2,0.05112733,0.94887267
PARL 584-1-3,0.346016298,0.653983702
PARL 584-1-4,NaN,NaN
PARL 584-1-5,NaN,NaN
PARL 584-1-6,NaN,NaN
PARL 584-1-7,0.048840087,0.951159913
PARL 584-1-8,NaN,NaN
PARL 585-1-1,0.05729969,0.94270031
PARL 585-1-2,NaN,NaN
PARL 585-1-3,0.047352278,0.952647722
PARL 585-1-4,0.171243771,0.828756229
PARL 585-1-5,0.062739923,0.937260077
PARL 585-1-6,0.110746577,0.889253423
PARL 585-1-7,0.061580672,0.938419328
PARL 585-1-8,0.150163297,0.849836703
PARL 839-1-1,0.089893665,0.910106335
PARL 839-1-2,NaN,NaN
PARL 839-1-3,0.09010293,0.90989707
PARL 839-1-4,0.060827823,0.939172177
PARL 839-1-5,0.078676965,0.921323035
PARL 839-1-6,0.106713194,0.893286806
PARL 839-1-7,0.072395347,0.927604653
PARL 839-1-8,0.096396795,0.903603205
PARL 325-1-1,0.052707259,0.947292741
PARL 325-1-2,0.081031058,0.918968942
PARL 325-1-3,0.05599393,0.94400607
PARL 325-1-4,0.061407545,0.938592455
PARL 325-1-5,NaN,NaN
PARL 325-1-6,0.068013299,0.931986701
PARL 325-1-7,0.053303331,0.946696669
PARL 325-1-8,0.066295069,0.933704931
PARL 572-1-1,0.039592382,0.960407618
PARL 572-1-2,0.073821586,0.926178414
PARL 572-1-3,0.118005673,0.881994327
PARL 572-1-4,0.072855526,0.927144474
PARL 572-1-5,0.055742611,0.944257389
PARL 572-1-6,0.067054116,0.932945884
PARL 572-1-7,0.0701075,0.9298925
PARL 572-1-8,NaN,NaN
PARL 390-1-1,0.126355155,0.873644845
PARL 390-1-2,0.062579704,0.937420296
PARL 390-1-3,0.080217693,0.919782307
PARL 390-1-4,0.06771173,0.93228827
PARL 390-1-5,0.073380107,0.926619893
PARL 390-1-6,0.079154183,0.920845817
PARL 390-1-7,0.069995424,0.930004576
PARL 390-1-8,0.072498706,0.927501294
PARL 319-1-1,0.054836856,0.945163144
PARL 319-1-2,0.062392429,0.937607571
PARL 319-1-3,0.07818309,0.92181691
PARL 319-1-4,0.070705546,0.929294454
PARL 319-1-5,0.066042499,0.933957501
PARL 319-1-6,0.057238441,0.942761559
PARL 319-1-7,0.062948844,0.937051156
PARL 319-1-8,0.059634307,0.940365693
PARL 326-1-1,0.113870561,0.886129439
PARL 326-1-2,0.076568527,0.923431473
PARL 326-1-3,0.122564664,0.877435336
PARL 326-1-4,0.084021214,0.915978786
PARL 326-1-5,0.195198753,0.804801247
PARL 326-1-6,0.080084224,0.919915776
PARL 326-1-7,0.134988165,0.865011835
PARL 326-1-8,0.057121059,0.942878941
PARL 845-1-1,0.08681627,0.91318373
PARL 845-1-2,0.076397835,0.923602165
PARL 845-1-3,0.083577961,0.916422039
PARL 845-1-4,0.071444687,0.928555313
PARL 845-1-5,0.098881517,0.901118483
PARL 845-1-6,0.085795107,0.914204893
PARL 845-1-7,0.071363919,0.928636081
PARL 845-1-8,0.08436896,0.91563104
PARL 582-1-1,0.213964814,0.786035186
PARL 582-1-2,0.071873572,0.928126428
PARL 582-1-3,0.065623061,0.934376939
PARL 582-1-4,0.061431247,0.938568753
PARL 582-1-5,0.063460444,0.936539556
PARL 582-1-6,0.070346603,0.929653397
PARL 582-1-7,0.068593615,0.931406385
PARL 582-1-8,0.062244924,0.937755076
PARL 242-1-1,0.071424436,0.928575564
PARL 242-1-2,0.064386604,0.935613396
PARL 242-1-3,0.07375383,0.92624617
PARL 242-1-4,0.060907818,0.939092182
PARL 242-1-5,0.059818638,0.940181362
PARL 242-1-6,0.065031504,0.934968496
PARL 242-1-7,0.075960611,0.924039389
PARL 242-1-8,0.12451934,0.87548066
PARL 246-1-1,0.05527144,0.94472856
PARL 246-1-2,0.063862295,0.936137705
PARL 246-1-3,0.064987869,0.935012131
PARL 246-1-4,0.065039845,0.934960155
PARL 246-1-5,0.036220351,0.963779649
PARL 246-1-6,0.0728412,0.9271588
PARL 246-1-7,0.048213756,0.951786244
PARL 246-1-8,0.058132146,0.941867854
PARL 580-2-1,0.089830848,0.910169152
PARL 580-2-2,0.0712504,0.9287496
PARL 580-2-3,0.0659281,0.9340719
PARL 580-2-4,0.077616528,0.922383472
PARL 580-2-5,0.065360153,0.934639847
PARL 580-2-6,0.063024281,0.936975719
PARL 580-2-7,0.059641964,0.940358036
PARL 580-2-8,0.060639008,0.939360992
PARL 854-2-1,0.07414053,0.92585947
PARL 854-2-2,0.133909382,0.866090618
PARL 854-2-3,0.056640452,0.943359548
PARL 854-2-4,0.103956822,0.896043178
PARL 854-2-5,0.149323069,0.850676931
PARL 854-2-6,NaN,NaN
PARL 854-2-7,0.100590688,0.899409312
PARL 854-2-8,0.094831968,0.905168032
PARL 584-2-1,0.062611204,0.937388796
PARL 584-2-2,NaN,NaN
PARL 584-2-3,0.061796454,0.938203546
PARL 584-2-4,NaN,NaN
PARL 584-2-5,0.050661044,0.949338956
PARL 584-2-6,0.068191486,0.931808514
PARL 584-2-7,NaN,NaN
PARL 584-2-8,0.054953856,0.945046144
PARL 585-2-1,0.080470845,0.919529155
PARL 585-2-2,0.089743299,0.910256701
PARL 585-2-3,0.084477552,0.915522448
PARL 585-2-4,0.070151029,0.929848971
