model,abbreviation
fresh_weight~width,W
fresh_weight~height,H
fresh_weight~diameter,D
fresh_weight~thickness,T
fresh_weight~D_div_W,D/W
fresh_weight~width+height,W+H
fresh_weight~width*height,W*H
fresh_weight~width+diameter,W+D
fresh_weight~width*diameter,W*D
fresh_weight~width+thickness,W+T
fresh_weight~width*thickness,W*T
fresh_weight~height+diameter,H+D
fresh_weight~height*diameter,H*D
fresh_weight~height+thickness,H+T
fresh_weight~height*thickness,H*T
fresh_weight~diameter+thickness,D+T
fresh_weight~diameter*thickness,D*T
fresh_weight~width+height+diameter,W+H+D
fresh_weight~width*height*diameter,W*H*D
fresh_weight~width+height+thickness,W+H+T
fresh_weight~width*height*thickness,W*H*T
fresh_weight~width+diameter+thickness,W+D+T
fresh_weight~width*diameter*thickness,W*D*T
fresh_weight~height+diameter+thickness,H+D+T
fresh_weight~height*diameter*thickness,H*D*T
fresh_weight~width+height+diameter+thickness,W+H+D+T
fresh_weight~width*height*diameter*thickness,W*H*D*T
