model,abbreviation
dry_weight~width,W
dry_weight~height,H
dry_weight~diameter,D
dry_weight~thickness,T
dry_weight~D_div_W,D/W
dry_weight~width+height,W+H
dry_weight~width*height,W*H
dry_weight~width+diameter,W+D
dry_weight~width*diameter,W*D
dry_weight~width+thickness,W+T
dry_weight~width*thickness,W*T
dry_weight~height+diameter,H+D
dry_weight~height*diameter,H*D
dry_weight~height+thickness,H+T
dry_weight~height*thickness,H*T
dry_weight~diameter+thickness,D+T
dry_weight~diameter*thickness,D*T
dry_weight~width+height+diameter,W+H+D
dry_weight~width*height*diameter,W*H*D
dry_weight~width+height+thickness,W+H+T
dry_weight~width*height*thickness,W*H*T
dry_weight~width+diameter+thickness,W+D+T
dry_weight~width*diameter*thickness,W*D*T
dry_weight~height+diameter+thickness,H+D+T
dry_weight~height*diameter*thickness,H*D*T
dry_weight~width+height+diameter+thickness,W+H+D+T
dry_weight~width*height*diameter*thickness,W*H*D*T
