"completeID","pad_id","fresh_weight","width","height","diameter","thickness"
PARL 582-3-1,1,1445.7,16.2,43.7,102.6,32.95
PARL 582-3-1,2,829.3,14.6,31.1,76.2,30.17
PARL 582-3-1,3,1356.1,15.3,42.9,97.2,36.14
PARL 582-3-1,4,804.8,14.3,31.2,74.2,29.23
PARL 582-3-1,5,2319.6,18.2,49.6,113,42.04
PARL 582-3-3,1,1394.5,15.8,45.5,103.6,29.93
PARL 582-3-3,2,1470,18.3,47.1,106.6,27.83
PARL 582-3-3,3,1038.5,15.4,38.9,89.7,27.34
PARL 582-3-3,4,753.7,13.8,36.7,82.6,25.15
PARL 582-3-3,5,802.7,13.8,36.5,83.7,21.9
PARL 582-3-5,1,1053.8,16.1,35.6,83.4,29.71
PARL 582-3-5,2,1832.1,19.6,41.6,99.3,33.94
PARL 582-3-5,3,1482.3,17.7,35.4,89.1,39.17
PARL 582-3-5,4,1167.2,16,32.4,85.8,36.04
PARL 582-3-5,5,986.6,14.4,36.2,81.8,31.65
PARL 582-3-5,6,1042.5,16.2,35.5,81.4,29.45
PARL 582-3-5,7,1150.7,15.5,40.5,92.4,31.38
PARL 582-3-5,8,2704.9,22.8,47.6,115.4,32.11
PARL 582-3-7,1,428.4,12.3,29.7,68.9,15.65
PARL 582-3-7,2,678,12.4,32.2,72.5,28.62
PARL 582-3-7,3,1585.5,15.8,45.3,107.9,32.19
PARL 390-4-1,1,1797.8,23.4,35.9,96.2,34.2
PARL 390-4-1,2,1799.8,28.9,22,82.7,54.02
PARL 390-4-1,3,902.6,20,26.9,74.7,28.32
PARL 390-4-1,4,1532.6,24.8,30.1,89.4,33.95
PARL 390-4-1,5,1875.5,25.3,31.2,91.2,38.23
PARL 390-4-1,6,2034.2,25.7,32.2,91.4,47.81
PARL 390-4-1,7,33.2,4,7.6,20.5,16.88
PARL 390-3-5,1,689.2,15.2,24,63.2,32.98
PARL 390-3-5,2,921.7,18.9,28.2,70.2,34.53
PARL 390-3-5,3,821.6,18.2,22.5,64.3,32.06
PARL 390-3-5,4,1235.8,23.7,26.2,78.5,34.04
PARL 390-3-5,5,697.1,17.4,24.2,65.7,26.58
PARL 390-3-5,6,665.8,16.8,23.2,60.7,28.36
PARL 390-3-5,7,434.6,14.6,18.7,53.4,26.77
PARL 390-3-5,8,855.1,22.6,24.8,73.6,43.61
PARL 390-3-5,9,1824.7,26.7,29.5,27.9,44.4
PARL 390-3-3,1,1583.7,23.2,26.1,78.7,53.94
PARL 390-3-3,2,1306.2,20.8,29.6,81.3,36.63
PARL 390-3-3,3,1343.9,22.3,30.2,81.5,34.11
PARL 390-3-3,4,1576.3,24.2,27.2,80.4,46.26
PARL 390-3-3,5,2215.1,26.8,36.8,101.9,36.32
PARL 390-3-1,1,1220.5,23.7,27.4,81.1,34.25
PARL 390-3-1,2,1128.6,21.1,29.2,77.8,36.11
PARL 390-3-1,3,1110.6,21.1,21.4,69,48.7
PARL 390-3-1,4,1137.9,21.4,23.3,69.1,46.43
PARL 390-3-1,5,1294.5,23.2,27,79.2,35.54
PARL 582-1-3,1,2135.1,19.9,46.1,112.3,41.14
