completeID,fresh_weight,width,height,diameter,thickness
PARL 580-1-1,707.8,150,415,923,19.19
PARL 580-1-2,1151.7,174,473,1809,17.58
PARL 580-1-3,821.8,174,420,944,17.48
PARL 580-1-4,1135.4,175,460,1005,22.78
PARL 580-1-5,1034.1,165,430,1010,18.73
PARL 580-1-6,677.8,119,461,969,24.3
PARL 580-1-7,714,147,390,825,16.99
PARL 580-1-8,962.2,154,481,1078,21.84
PARL 854-1-1,645.5,186,280,736,23.41
PARL 854-1-2,479.6,153,240,640,20.47
PARL 854-1-3,436.7,162,306,724,21.27
PARL 854-1-4,307.6,142,240,625,13
PARL 854-1-5,564.7,193,284,717,18.34
PARL 854-1-6,517.5,180,270,695,16.27
PARL 854-1-7,578.7,171,256,677,21.54
PARL 854-1-8,398.5,145,245,625,17.32
PARL 584-1-1,1465.2,223,362,2280,27.18
PARL 584-1-2,2323.9,285,445,1155,23.5
PARL 584-1-3,756.3,197,256,705,23.6
PARL 584-1-4,839.8,165,313,782,24
PARL 584-1-5,1348,217,372,921,26.17
PARL 584-1-6,1800.2,205,430,1050,26.5
PARL 584-1-7,1462.6,204,423,985,25.77
PARL 584-1-8,1609.2,205,445,1070,25
PARL 585-1-1,956.2,175,354,835,22.45
PARL 585-1-2,851.6,177,325,801,24.5
PARL 585-1-3,1212.4,226,386,952,22
PARL 585-1-4,439.9,145,260,645,19.5
PARL 585-1-5,382.1,162,278,654,15
PARL 585-1-6,996.1,187,408,939,26
PARL 585-1-7,722.3,158,345,830,21
PARL 585-1-8,655.8,152,290,235,24
PARL 839-1-1,1587.7,294,469,1194,17
PARL 839-1-2,941.3,410,350,953,14
PARL 839-1-3,885.9,246,347,946,19
PARL 839-1-4,1131.2,242,345,945,22
PARL 839-1-5,1147.4,311,374,994,15
PARL 839-1-6,948,244,310,905,17
PARL 839-1-7,1267,256,378,997,16
PARL 839-1-8,1098.2,234,384,985,17
PARL 325-1-1,513.6,178,284,664,16
PARL 325-1-2,1813.7,239,487,1133,25
PARL 325-1-3,1211.5,182,452,1003,18
PARL 325-1-4,1390,243,356,928,22
PARL 325-1-5,1284.8,221,427,1036,20
PARL 325-1-6,1781.3,264,449,1086,29
PARL 325-1-7,1251.5,232,371,921,22
PARL 325-1-8,1670.5,212,468,1058,28
PARL 572-1-1,854,192,355,844,17
PARL 572-1-2,1193.4,217,450,1051,17
PARL 572-1-3,705.8,177,305,780,19
PARL 572-1-4,1051.8,208,413,963,21
PARL 572-1-5,868.2,194,318,797,23.4
PARL 572-1-6,639.5,144,300,735,22
PARL 572-1-7,527.1,140,280,680,19.8
PARL 572-1-8,548,154,303,726,13
PARL 390-1-1,1016,219,343,899,18.5
PARL 390-1-2,1196.1,250,285,825,25.1
PARL 390-1-3,1043,221,291,808,26.1
PARL 390-1-4,1162.8,251,334,923,20.6
PARL 390-1-5,421.5,175,237,666,13.9
PARL 390-1-6,1512,295,388,1072,21.5
PARL 390-1-7,850.3,235,301,845,15.7
PARL 390-1-8,1615.4,242,356,954,33.4
PARL 319-1-1,1591.2,192,523,123,20.3
PARL 319-1-2,881.1,151,376,858,23.7
PARL 319-1-3,673.2,133,391,890,19.2
PARL 319-1-4,627.4,122,352,819,21
PARL 319-1-5,1204.7,175,144,1028,25.5
PARL 319-1-6,920.5,165,420,966,20
PARL 319-1-7,1227.9,155,438,986,27.6
PARL 319-1-8,830.5,146,446,998,21
PARL 326-1-1,1298.5,194,336,831,32.7
PARL 326-1-2,455.9,140,252,627,20.4
PARL 326-1-3,542.4,146,279,681,21.2
PARL 326-1-4,908.7,171,323,789,26.6
PARL 326-1-5,1163,184,344,838,26.3
PARL 326-1-6,1445.3,193,389,947,29.7
PARL 326-1-7,855.3,174,281,726,25.5
PARL 326-1-8,1041.3,172,355,826,25.9
PARL 845-1-1,857,226,355,925,14.3
PARL 845-1-2,454.5,171,316,754,13.5
PARL 845-1-3,831,224,289,793,19.3
PARL 845-1-4,734.8,218,299,750,18.3
PARL 845-1-5,464.2,158,243,662,16.3
PARL 845-1-6,719.7,192,269,737,18.3
PARL 845-1-7,958.2,213,336,876,19.4
PARL 845-1-8,830.7,255,354,890,13.3
PARL 582-1-1,973.9,156,402,932,22.5
PARL 582-1-2,1055.7,136,495,1088,23.7
PARL 582-1-3,1140.2,181,439,1027,22.7
PARL 582-1-4,847.4,153,400,927,22.4
