"completeID","fresh_weight","width","height","diameter","thickness","accession","species","pad_id","dataset","H_div_W","FW_div_W","FW_div_D","FW_div_H","FW_div_T","D_div_W","Area","dry_weight","Eccentricity","PartRatio","Pade_Peri","Pade_Derived_Diam","diamRatio"
"PARL 242-1-1",515.2,14.4,33.1,75.6,17.3,242,"O. cochinillifera",1,"Year 1",2.29861111111111,35.7777777777778,6.81481481481482,15.5649546827795,29.7803468208092,5.25,"348.086",33.7099236641221,26.8353474320242,0.154987257617729,154.112906752252,49.0556618077625,0.648884415446594
"PARL 242-1-2",249.6,10,28.5,64.2,14,242,"O. cochinillifera",1,"Year 1",2.85,24.96,3.88785046728972,8.75789473684211,17.8285714285714,6.42,"220.588",16.3315158124318,24.9912280701754,0.230898971158711,126.971617962961,40.4163212623618,0.629537714367007
"PARL 242-1-3",291.3,8.7,33,73.3,16.3,242,"O. cochinillifera",1,"Year 1",3.79310344827586,33.4827586206897,3.97407912687585,8.82727272727273,17.8711656441718,8.42528735632184,"255.127",19.0599781897492,30.7063636363636,0.339578696754826,140.878994284272,44.8431766363135,0.611775943196637
"PARL 242-1-4",422.1,13.4,33.1,73.9,16.3,242,"O. cochinillifera",1,"Year 1",2.47014925373134,31.5,5.71177266576455,12.7522658610272,25.8957055214724,5.51492537313433,"331.623",27.618320610687,27.6752265861027,0.179484333448954,151.66016100106,48.2749285868627,0.653246665586775
"PARL 242-1-5",366.9,10.5,34,74.5,17.1,242,"O. cochinillifera",1,"Year 1",3.23809523809524,34.9428571428571,4.9248322147651,10.7911764705882,21.4561403508772,7.09523809523809,"278.28",24.0065430752454,30.7573529411765,0.278878929428102,148.313726503691,47.2097254028838,0.633687589300454
"PARL 242-1-6",202.3,7.6,30.5,66.2,15.2,242,"O. cochinillifera",1,"Year 1",4.01315789473684,26.6184210526316,3.0558912386707,6.6327868852459,13.3092105263158,8.71052631578947,"176.906",13.236641221374,28.6062295081967,0.361260944744112,129.350036724819,41.1733954677463,0.621954614316409
"PARL 242-1-8",270.4,9.4,34.6,75.4,14.7,242,"O. cochinillifera",1,"Year 1",3.68085106382979,28.7659574468085,3.58620689655172,7.8150289017341,18.3945578231293,8.02127659574468,"262.054",17.6924754634678,32.0462427745665,0.32801652892562,148.262848458003,47.1935304179514,0.625908891484767
"PARL 242-2-1",446.6,14.2,33.4,76.6,16.1,242,"O. cochinillifera",1,"Year 1",2.35211267605634,31.4507042253521,5.83028720626632,13.3712574850299,27.7391304347826,5.3943661971831,"348.028",29.2213740458015,27.362874251497,0.162700374267354,154.69142100101,49.2398086124402,0.642817344809924
"PARL 242-2-2",291.5,9.5,37.7,82.7,14.1,242,"O. cochinillifera",1,"Year 1",3.96842105263158,30.6842105263158,3.52478839177751,7.73209549071618,20.6737588652482,8.70526315789474,"268.086",19.0730643402399,35.306100795756,0.356955616202241,160.088146246337,50.9576396110457,0.616174602310105
"PARL 242-2-3",363.1,10.7,30.5,70.5,17.3,242,"O. cochinillifera",1,"Year 1",2.85046728971963,33.9345794392523,5.15035460992908,11.9049180327869,20.9884393063584,6.58878504672897,"257.513",23.7579062159215,26.7462295081967,0.230959562635498,135.877915251456,43.2512837385819,0.613493386362863
"PARL 242-2-4",271.5,11.3,29.1,66.5,14.7,242,"O. cochinillifera",1,"Year 1",2.57522123893805,24.0265486725664,4.08270676691729,9.32989690721649,18.469387755102,5.88495575221239,"244.015",17.7644492911668,24.7120274914089,0.194123125183805,132.180239089011,42.0742768601694,0.632695892634126
"PARL 242-2-5",327,9,35.7,77.4,17.1,242,"O. cochinillifera",1,"Year 1",3.96666666666667,36.3333333333333,4.22480620155039,9.15966386554622,19.1228070175439,8.6,"248.481",21.3958560523446,33.4310924369748,0.356785730372506,151.603059384509,48.2567525777976,0.6234722555271
"PARL 242-2-6",192.7,9.2,29.3,65.1,12.6,242,"O. cochinillifera",1,"Year 1",3.18478260869565,20.945652173913,2.96006144393241,6.57679180887372,15.2936507936508,7.07608695652174,"208.288",12.608505997819,26.4112627986348,0.272565356721201,128.137439235514,40.7874136989388,0.626534772641149
"PARL 242-2-7",901.8,15,41.9,94.6,23.3,242,"O. cochinillifera",1,"Year 1",2.79333333333333,60.12,9.53276955602537,21.5226730310263,38.7038626609442,6.30666666666667,"458.342",59.0054525627045,36.5300715990453,0.223501286442777,187.352221942852,59.6360644429096,0.630402372546613
"PARL 242-2-8",649.3,13.6,44.3,98.4,14.2,242,"O. cochinillifera",1,"Year 1",3.25735294117647,47.7426470588235,6.59857723577236,14.6568848758465,45.7253521126761,7.23529411764706,"470.548",42.484187568157,40.1248306997743,0.281138046957264,193.070997857856,61.4564073535251,0.624556985300051
"PARL 242-3-1",279.1,11.4,29.6,66.1,13.8,242,"O. cochinillifera",1,"Year 1",2.59649122807018,24.4824561403509,4.22239031770045,9.42905405405405,20.2246376811594,5.79824561403509,"238.771",18.2617230098146,25.2094594594595,0.197049375371803,134.22794755586,42.7260827091898,0.64638551753691
"PARL 242-3-2",744.4,13.9,48.3,105.3,17.5,242,"O. cochinillifera",1,"Year 1",3.47482014388489,53.5539568345324,7.0693257359924,15.4120082815735,42.5371428571429,7.57553956834532,"489.488",48.7066521264995,44.2997929606625,0.305869459579616,208.552877703752,66.3844427651833,0.630431555224913
"PARL 242-3-4",348.9,12.4,30.9,72,11.1,242,"O. cochinillifera",1,"Year 1",2.49193548387097,28.1370967741935,4.84583333333333,11.2912621359223,31.4324324324324,5.80645161290323,"291.273",22.8287895310796,25.9239482200647,0.182544042583832,141.316080866533,44.9823056165654,0.62475424467452
"PARL 242-3-5",374.7,12.8,32.9,74.6,13.3,242,"O. cochinillifera",1,"Year 1",2.5703125,29.2734375,5.02278820375335,11.3890577507599,28.1729323308271,5.828125,"306.453",24.5169029443839,27.9200607902736,0.193445982504106,149.498906640759,47.5869799574211,0.637895173691972
"PARL 242-3-6",486.4,12.3,41.9,91.8,15.8,242,"O. cochinillifera",1,"Year 1",3.40650406504065,39.5447154471545,5.29847494553377,11.6085918854415,30.7848101265823,7.46341463414634,"388.259",31.8255179934569,38.2892601431981,0.298253019430563,181.421133071208,57.7481402192305,0.629064708270485
"PARL 242-3-7",581.4,13.1,44.7,98.3,13.7,242,"O. cochinillifera",1,"Year 1",3.41221374045802,44.381679389313,5.91454730417091,13.006711409396,42.4379562043796,7.50381679389313,"434.543",38.041439476554,40.8608501118568,0.298894888710624,193.498893599655,61.5926107983954,0.626577932842273
