"","W","H","D","T","D/W","W+H","W+D","W+T","H+D","H+T","D+T","W+H+D","W+H+T","W+D+T","H+D+T","W+H+D+T"
"All",0.543969942928872,0.374673047508856,0.6505728362005,0.37736661605904,0.0297797298299414,0.788636082057175,0.805297983202699,0.753977428287106,0.736039075662871,0.587354905994208,0.780305789240844,0.80492657404056,0.907825133787939,0.915794116078625,0.850543049490891,0.916080563505909
"242",0.718900974214326,0.459030405600448,0.61179963306417,0.0836508990985992,0.129092203199336,0.883931217114022,0.891138450250812,0.750606734629402,0.826609988322003,0.533375043669152,0.686198526267545,0.889473349701771,0.923440205242187,0.935437185026341,0.908713418437272,0.9436562422163
"246",0.48883473195002,0.198707942267728,0.528247501183919,0.0486782873106639,0.0483701948918726,0.650411793115259,0.73379880814464,0.550324865861234,0.767574588570255,0.316196807090729,0.632437657555674,0.783155789074313,0.772090640356696,0.834416460303903,0.811669603345997,0.849531783740639
"319",0.402282318650985,0.515229363142802,0.639297439935099,0.156026990092056,-0.0349164019985166,0.767119640239716,0.762849062254591,0.49208395873523,0.636679654091081,0.588682313514397,0.707782417139491,0.763757812497322,0.815605942108701,0.818348122717904,0.710141807277602,0.816774546429535
"325",0.618468633830789,0.36060182713358,0.742859545892055,0.178842464598791,0.070558155688964,0.784663500487997,0.827773318859279,0.758779629757317,0.809355558356449,0.420160163419883,0.792048859329127,0.825201649067127,0.858279315472513,0.900524070325263,0.889860056560126,0.906962644708823
"326",0.724436254462962,0.710919775425203,0.865762503148531,0.253835356927496,-0.00577444184863274,0.836632312454166,0.881623413885595,0.774928858536194,0.871157704798139,0.815988698394067,0.951639556511606,0.879425444816741,0.895567383620143,0.9547350619403,0.959798327479403,0.959224557903226
"390",0.451821034545709,0.340843128935138,0.583965533043617,0.367397281435392,-0.0202348424277774,0.592008960671681,0.596168049374067,0.765120294387537,0.577481005606781,0.612033728601104,0.839726001358904,0.582744022876561,0.860039748292749,0.869720431696113,0.85310706451161,0.86439985171043
"572",0.45349683634256,0.496278670922357,0.660974303697374,0.146440358812969,0.00713082986191749,0.561594922587416,0.663204902894079,0.588677454883565,0.662023567230397,0.653404129569174,0.827112468048586,0.662426541521712,0.713319017620425,0.829264437095435,0.836789365637282,0.837731360785152
"580",0.32706994338082,0.138678181415118,0.0128522599111018,0.271366269489151,0.0371707255794408,0.454536293250173,0.329451448156262,0.574456084225711,0.105609804636296,0.503398680627095,0.319837223359524,0.435795834930755,0.788103104076819,0.606602806366346,0.483535027343364,0.781373763320302
"582",0.590790242494458,0.208887351717804,0.554153557388535,0.266552240685655,0.104713563654612,0.70616716360462,0.788267602657592,0.712652081923876,0.559420589559434,0.40120491679515,0.647944749911177,0.780435482054734,0.799457321908661,0.856653273545811,0.650421049615121,0.851318208352201
"584",0.644358045156229,0.772049511231568,0.889676453808374,0.0349197949295456,0.0237494257899155,0.852581966589651,0.901301596722354,0.716351763646224,0.897258933898532,0.820937718844767,0.936712638274872,0.901382440278149,0.91691152209408,0.956967656311647,0.944616792321794,0.95704603524416
"585",0.499101937502069,0.482839162228096,0.699084095203299,0.639251471945589,-0.0307620794648309,0.626056123537214,0.753014239493915,0.780068994066822,0.708271061990747,0.799980305869872,0.842466687801861,0.762856500160046,0.847197102512073,0.874862377360734,0.835948912747025,0.869623958313641
"839",0.504474772794084,0.114736365809365,0.701572191042026,0.184834689613383,-0.029237912252696,0.54314668813718,0.736704675622606,0.650884465094297,0.768647454285698,0.428208097661923,0.868851669100065,0.768896114848024,0.772438741880069,0.899427057326121,0.880555702020994,0.897295365320687
"845",0.681122309725136,0.799268558422383,0.884356453599808,0.132615254941818,0.0455097663536315,0.844677484270781,0.885377195230937,0.765466040894846,0.886017766793197,0.827089809205835,0.918851472591601,0.883962177163146,0.886153285211983,0.925789291642253,0.926554668873513,0.928155669058761
"854",0.628376942311659,0.163717340298364,0.413509896447355,0.132506336132097,0.0662939122391746,0.615554928199427,0.623958487487951,0.751423583741773,0.561410188865032,0.514656795849583,0.71720720427125,0.665929632789582,0.773423660056742,0.807948095430674,0.745119843241614,0.810462205211089
