"","W","H","D","T","D/W","W*H","W*D","W*T","H*D","H*T","D*T","W*H*D","W*H*T","W*D*T","H*D*T","W*H*D*T"
"PARL 854",-0.328844059738443,-0.189438974110701,-0.355337470253874,-0.0878619468445155,0.121387235902668,-0.314467667803606,-0.316715811031089,-0.442428642578187,-0.295022448874061,-0.384551875904004,-0.474745018353727,-0.451298282250023,-0.499446256289612,-0.478808045179519,-0.470556397631256,-0.77869186971389
"PARL 845",-0.536130174647966,-0.627625797783305,-0.683199010048404,-0.026365284956343,-0.0591326391321327,-0.739458566684757,-0.761169083965585,-0.544896844197321,-0.757665253175883,-0.58864141328822,-0.654303842140446,-0.843265599401882,-0.738160532766059,-0.755469735809875,-0.758137455378724,-0.640004899002443
"PARL 839",-0.201129225795258,-0.0372372223284108,-0.160682710575633,-0.167020121015343,-0.010762043776056,-0.207382461452336,-0.215884700545074,-0.372007082330703,-0.190060433220779,-0.281082666171729,-0.324632872172983,-0.242891233209223,-0.456550911704749,-0.313725291568081,-0.352164804624859,-0.208782362907207
"PARL 585",-0.351808713726101,-0.396859184370229,-0.596608170920309,-0.396455182258609,-0.0032797861231482,-0.517852992612534,-0.645648451974405,-0.505559100091065,-0.620638333937333,-0.603243461476115,-0.655966000247531,-0.28215367948338,-0.644172766627785,-0.712165831599178,-0.487820145350939,-0.420098349571585
"PARL 584",-0.568925105815202,-0.834423556646135,-0.936098021363265,-0.0600799061078916,0.105931387787949,-0.694108039626144,-0.776657602439699,-0.711748769557576,-0.921132669391754,-0.980719125416657,-1.08035373069047,-0.187538638011779,-0.941202412091891,-1.02694255116448,-1.13569193287878,-0.39403290866345
"PARL 582",-0.593394086589951,-0.240806155405848,-0.55316093729957,-0.259731500554977,-0.131796515792655,-0.76747061112179,-0.843690172397118,-0.69276769480691,-0.584703439044463,-0.460631925507263,-0.679606148452644,-0.856451234426367,-0.858171230174065,-0.951434137748771,-0.740029065504286,-1.28618295615196
"PARL 580",-0.174472743560315,-0.148100476286899,-0.0438140535844073,-0.126811107535349,-0.0040597936373565,-0.309160517847281,-0.247232730378657,-0.30990306872109,-0.150158265133228,-0.355518236956154,-0.307140916554008,-0.427925404027463,-0.571482690088623,-0.513185719905408,-0.357010989515799,-0.830312507418191
"PARL 572",-0.350298762847119,-0.334904714914935,-0.370118927199913,-0.109355821277887,0.0373707657949632,-0.425417315364137,-0.408015525932045,-0.400363884258657,-0.342135106098181,-0.437267528964518,-0.477224935683028,-0.379415186922939,-0.375388305935529,-0.418932054095828,-0.5099285439619,-0.657323199818102
"PARL 390",-0.274143600379145,-0.180097571383806,-0.401118154645282,-0.234176374920655,0.0040203664525594,-0.412085598510646,-0.435132894093342,-0.48258319956349,-0.436810068114365,-0.372331115294501,-0.60371043933572,-0.345234165558526,-0.652883663976845,-0.683675764634421,-0.734232016970279,-0.747955527746194
"PARL 326",-0.57989144285908,-0.574721019370964,-0.690693627139866,-0.139618572400225,-0.0230765645112725,-0.725829864460847,-0.762666342170309,-0.612810801242822,-0.750229761977668,-0.641984951268183,-0.747934758584249,-0.825013597362479,-0.857888351601776,-0.888503849572218,-0.873051777132996,-1.12037099244677
"PARL 325",-0.177976557334881,-0.171729009238041,-0.28844075383329,-0.059993382791968,0.0221065910341289,-0.287195106932546,-0.318327288532868,-0.207190406898842,-0.317683856012434,-0.210464189755144,-0.311787266254612,-0.295364893963778,-0.334714947402783,-0.361934133198125,-0.381470917013303,-0.612336168284234
"PARL 319",-0.225805999471154,-0.518785069292116,-0.594774723548399,-0.159936152102037,0.0293076159265555,-0.643666884749462,-0.646422850810558,-0.34404287912209,-0.581759964782549,-0.629551893723863,-0.732974527022419,-0.722433546734974,-0.839589559797218,-0.870740510261833,-0.781868313882937,-1.01756022195155
"PARL 246",-0.174349255614098,0.013030927672193,-0.108138738196444,-0.0808778456593271,-0.0475431398958828,-0.236453013191303,-0.292206519387852,-0.261778304441437,-0.324476512525873,-0.163240177387107,-0.263301194247276,-0.239108803121285,-0.342344135881175,-0.377410291025326,-0.439987821014303,-0.339020593567776
"PARL 242",-0.065987050412096,-0.052818373753618,-0.076963741494543,0.00292064632348719,-0.012491847105391,-0.107564473801002,-0.112044739683956,-0.066173199024271,-0.132618773742752,-0.043790713733444,-0.06367205933909,-0.094110027856926,-0.125440068642891,-0.125722190447438,-0.135542597401888,-0.117225275551161
"All",-0.187102518576803,-0.290405850526713,-0.412748696968009,-0.207263190272353,0.0362864602137777,-0.403434453869886,-0.406800491782682,-0.326200495011042,-0.375535848430909,-0.381417227856441,-0.475968799478283,-0.41402808405147,-0.484010952795461,-0.484304050791454,-0.442271876469469,-0.496017046422872
