"","W","H","D","T","D/W","W+H","W+D","W+T","H+D","H+T","D+T","W+H+D","W+H+T","W+D+T","H+D+T","W+H+D+T"
"PARL 854",-0.328844059738443,-0.189438974110701,-0.355337470253874,-0.0878619468445155,0.121387235902668,-0.250324930792285,-0.295694232775269,-0.407172656739322,-0.338182187083373,-0.457776342358763,-0.564464408705089,-0.317819389755331,-0.412018676901014,-0.467051668327532,-0.514523329354178,-0.469575770380712
"PARL 845",-0.536130174647966,-0.627625797783305,-0.683199010048404,-0.026365284956343,-0.0591326391321327,-0.688497863423234,-0.712000994308481,-0.542238288887538,-0.70785817912528,-0.610052601296008,-0.670396665075175,-0.736237783198873,-0.67488514326188,-0.701002554100041,-0.693415652718431,-0.723922523749146
"PARL 839",-0.201129225795258,-0.0372372223284108,-0.160682710575633,-0.167020121015343,-0.010762043776056,-0.2181115866392,-0.204869669919984,-0.342365726158791,-0.18077417238085,-0.277156368744761,-0.310288189061558,-0.19850935248427,-0.41049078056305,-0.352328045820128,-0.299981973360034,-0.335716794320556
"PARL 585",-0.351808713726101,-0.396859184370229,-0.596608170920309,-0.396455182258609,-0.0032797861231482,-0.494926634694176,-0.621976255236389,-0.531475079518923,-0.642440502689951,-0.570464479091615,-0.626439934158371,-0.668123947756034,-0.627848065881598,-0.658351970509318,-0.624533172740381,-0.659915554382204
"PARL 584",-0.568925105815202,-0.834423556646135,-0.936098021363265,-0.0600799061078916,0.105931387787949,-0.699180415876943,-0.781361221165528,-0.665956312700683,-0.870337576518127,-0.91385485823033,-1.01110890550536,-0.805925054927111,-0.799744937778428,-0.872070387916265,-0.956640464178305,-0.90542513123085
"PARL 582",-0.593394086589951,-0.240806155405848,-0.55316093729957,-0.259731500554977,-0.131796515792655,-0.744235635349728,-0.811955627951117,-0.723241631943843,-0.572564177309846,-0.429722622957557,-0.658688259538476,-0.826831634010157,-0.84741512717415,-0.897110142865832,-0.679386869140383,-0.91729762597233
"PARL 580",-0.174472743560315,-0.148100476286899,-0.0438140535844073,-0.126811107535349,-0.0040597936373565,-0.313959721494949,-0.208144883768066,-0.29190700639457,-0.153600973124794,-0.338224495652894,-0.194574985359494,-0.326959511477031,-0.491397173314047,-0.34710102025596,-0.351632994647185,-0.511991466527902
"PARL 572",-0.350298762847119,-0.334904714914935,-0.370118927199913,-0.109355821277887,0.0373707657949632,-0.416368352566533,-0.39844309791683,-0.417770260591278,-0.356711413030085,-0.420257433608495,-0.439840073172462,-0.382646457659743,-0.488581236187399,-0.4658907102128,-0.42407525723381,-0.448000967044132
"PARL 390",-0.274143600379145,-0.180097571383806,-0.401118154645282,-0.234176374920655,0.0040203664525594,-0.387769280937664,-0.427095734891504,-0.489528854629598,-0.425079752313694,-0.356034119351206,-0.565675333224041,-0.385278025261476,-0.568301375106303,-0.607670376308184,-0.607929616687742,-0.577528491455968
"PARL 326",-0.57989144285908,-0.574721019370964,-0.690693627139866,-0.139618572400225,-0.0230765645112725,-0.696834229467831,-0.730456306408509,-0.595743385317804,-0.722041027572919,-0.62201382368902,-0.728270533395013,-0.758676788756981,-0.718865446366796,-0.760120769920355,-0.761886367022179,-0.791591102509352
"PARL 325",-0.177976557334881,-0.171729009238041,-0.28844075383329,-0.059993382791968,0.0221065910341289,-0.276495291934594,-0.294017310638446,-0.200871976166881,-0.298181130850561,-0.172857289789756,-0.287943707105181,-0.310665160816176,-0.26725020927115,-0.288601614443189,-0.304615568568011,-0.309489543466356
"PARL 319",-0.225805999471154,-0.518785069292116,-0.594774723548399,-0.159936152102037,0.0293076159265555,-0.616540328909557,-0.607161005755744,-0.336947363623146,-0.562169662360235,-0.608521112810334,-0.683717095507055,-0.639673708847222,-0.69138326899783,-0.68918371716606,-0.653939244542143,-0.720327475942884
"PARL 246",-0.174349255614098,0.013030927672193,-0.108138738196444,-0.0808778456593271,-0.0475431398958828,-0.157724895043423,-0.20674070093008,-0.258626083588079,-0.279736320951999,-0.110208746677613,-0.221018162865133,-0.271393791574202,-0.280056314644611,-0.316028231217162,-0.342596631413694,-0.350324834835934
"PARL 242",-0.065987050412096,-0.052818373753618,-0.076963741494543,0.00292064632348719,-0.012491847105391,-0.090150378700079,-0.097282510657614,-0.0638661081254009,-0.12932550684584,-0.050653441159093,-0.0753354485567289,-0.103743294679443,-0.0889430208407289,-0.096515610144406,-0.129421314862113,-0.110905348787137
"All",-0.187102518576803,-0.290405850526713,-0.412748696968009,-0.207263190272353,0.0362864602137777,-0.389320215991545,-0.394389518084443,-0.314278885214889,-0.372011135166985,-0.384106736516924,-0.473714552565763,-0.391807854414862,-0.449538387441843,-0.450834577425012,-0.431174305186214,-0.449693039221908
