"","W","H","D","T","D/W","W*H","W*D","W*T","H*D","H*T","D*T","W*H*D","W*H*T","W*D*T","H*D*T","W*H*D*T"
"All",-0.190168893160921,-0.285138582483794,-0.32082858613847,-0.179177519406863,0.0314135355820849,-0.394492397873388,-0.340275750155279,-0.321224999455379,-0.339678971093239,-0.360438086725428,-0.378212213328611,-0.406744426760646,-0.480675829245388,-0.41989589241281,-0.388929850079725,-0.488981745671008
"242",-0.111308774000202,-0.132523433664617,-0.15300391296862,0.018021894061708,-0.026925118139283,-0.105268107204129,-0.068221023379304,-0.02028870374917,-0.160258844728085,-0.074676897003523,-0.0718788173539739,-0.0237518949418219,-0.0377194802319379,-0.029081718722908,-0.097892634648672,-0.026168117194074
"246",-0.165272996678,0.053279242210952,-0.054564450769332,-0.0545651648523161,-0.0376570824931535,-0.15390336279589,-0.187170561685627,-0.251937098847816,-0.214969417327507,-0.013607775578367,-0.121900704052949,-0.169460280333579,-0.219805437486859,-0.249391921547029,-0.317211463879831,-0.228988783355528
"319",-0.385749550335037,-0.280962140443238,-0.0232313653851842,-0.0608045845379711,-0.0600864402829664,-0.541290484739265,-0.649522356273772,-0.493946167417531,-0.521078193328906,-0.530708859322257,-0.25395356441807,-0.871375521116906,-0.906124980284525,-0.887727963767827,-0.876488318344429,-0.97030187531436
"325",-0.140762828949279,-0.14659843279481,-0.227556868144692,-0.100242475179979,0.00519237132531891,-0.227880625671077,-0.248176997238337,-0.213637147421031,-0.248840706784053,-0.206190500957615,-0.27456022861045,-0.235885563323618,-0.304561495443551,-0.310237209814951,-0.308142941199792,-0.421826393323761
"326",-0.535238956592339,-0.561636028190739,-0.686239488241145,-0.104392293262894,-0.0074422837419119,-0.707942347267741,-0.751454976284641,-0.5841693517302,-0.743209268605418,-0.631005801176322,-0.728807570760474,-0.821686080547773,-0.839622816482703,-0.868754498257066,-0.851309125923447,-1.08785151210902
"390",-0.41961248804564,-0.323437881177408,-0.403718699290746,-0.19769601221153,0.0127760724586107,-0.519074771565828,-0.493934750240791,-0.541570345045949,-0.435440900623494,-0.416884526966369,-0.528962561125249,-0.448855356262595,-0.701383518257242,-0.6895158132473,-0.672710170222485,-0.672490061919961
"572",-0.338794510731593,-0.336688428509094,-0.358818643720347,-0.0708426092065857,0.0209013728704825,-0.408638892312622,-0.387858841029678,-0.395909199064748,-0.336594963378285,-0.419894039006215,-0.446528201888636,-0.3645429389455,-0.441621994278007,-0.467047397464593,-0.472319230369752,-0.60194453785725
"580",-0.207242734954847,-0.188956097244181,-0.128578658162762,-0.040713328934461,0.0083018500923972,-0.349296162523321,-0.283082583768647,-0.260952370754035,-0.205406930261787,-0.335544750541174,-0.253578760713424,-0.384693113128802,-0.517486372176032,-0.464078162844988,-0.397522806294436,-0.727887331380926
"582",-0.636873939070496,-0.37083314729659,-0.580852452800108,-0.291140554285527,-0.0564032564127331,-0.786066333481447,-0.843754047945051,-0.715287916227682,-0.65162405126335,-0.546783904772049,-0.6902627668371,-0.919710598557482,-0.864477372709021,-0.932012558974566,-0.797934329555348,-1.22921867303582
"584",-0.640920891259286,-0.787158697461255,-0.36168802933509,-0.0434012125904673,-0.0257690008815951,-0.713135729765966,-0.720307711805375,-0.769682859443198,-0.891737355891484,-0.902091368920285,-0.781442303854363,-0.145294211260361,-0.972110493744561,-0.856145746529459,-1.05683650381749,-0.377288626943289
"585",-0.543929113137065,-0.515392475906958,-0.425996421383959,-0.186998261347774,0.0280509041041438,-0.672712948304399,-0.637159359203518,-0.638166818307476,-0.473168843872956,-0.594757419406016,-0.597964140454094,-0.611756200287446,-0.701107487321161,-0.799395936674422,-0.651269940806747,-0.579648371078672
"839",0.019853092759026,-0.047607384301141,-0.116434700414981,-0.0344539620773317,-0.0077297891382288,-0.00748597843186705,-0.132711947384739,-0.130318387697399,-0.128037367134271,-0.212630957970292,-0.212241199852923,-0.166526394650392,-0.236545143853071,-0.208370816824802,-0.214531053558256,-0.259886894912741
"845",-0.546637202308492,-0.652324207517781,-0.710009687187364,0.081261813235509,-0.0652254085312165,-0.752245290665221,-0.777585571224662,-0.463025994040885,-0.762912724871244,-0.560615856203223,-0.612853235395091,-0.879229746731913,-0.666307820006361,-0.680723873947829,-0.687465063376668,-0.710593084914377
"854",-0.298668341657864,-0.187610701555773,-0.0851121043045009,-0.0747884032625382,-0.037629891008914,-0.286567161696083,-0.321992220106731,-0.396856366727719,-0.301675740881268,-0.406604311899826,-0.23867376597249,-0.437748960282171,-0.472127397181325,-0.409540192253478,-0.483698266936824,-0.659184249193099
