"","W","H","D","T","D/W","W+H","W*H","W+D","W*D","W+T","W*T","H+D","H*D","H+T","H*T","D+T","D*T","W+H+D","W*H*D","W+H+T","W*H*T","W+D+T","W*D*T","H+D+T","H*D*T","W+H+D+T","W*H*D*T"
"All",-0.190168893160921,-0.285138582483794,-0.320828586138469,-0.179177519406863,0.0314135355820852,-0.380263400804109,-0.394492397873388,-0.339990249226172,-0.340275750155279,-0.305142070692484,-0.321224999455379,-0.33735288423256,-0.339678971093239,-0.367364478607414,-0.360438086725428,-0.391263042796055,-0.37821221332861,-0.388628909026406,-0.406744426760646,-0.438635942586759,-0.480675829245388,-0.40277448502345,-0.41989589241281,-0.402482735053731,-0.388929850079725,-0.443262229258239,-0.488981745671008
"242",-0.111308774000202,-0.132523433664617,-0.15300391296862,0.018021894061708,-0.026925118139283,-0.151399366198647,-0.105268107204129,-0.161861223729811,-0.068221023379304,-0.0820082582870919,-0.02028870374917,-0.152046724910962,-0.160258844728084,-0.092856866219048,-0.074676897003523,-0.11076801226083,-0.0718788173539739,-0.163331923371607,-0.0237518949418229,-0.121178299411787,-0.0377194802319369,-0.129356000555402,-0.029081718722907,-0.11436539132493,-0.097892634648671,-0.133833885254435,-0.026168117194076
"246",-0.165272996678,0.053279242210952,-0.054564450769332,-0.0545651648523161,-0.0376570824931535,-0.099171134742099,-0.15390336279589,-0.140806727636262,-0.187170561685627,-0.238911150605292,-0.251937098847816,-0.199013603556962,-0.214969417327507,-0.014889392273831,-0.013607775578367,-0.121771546107711,-0.121900704052949,-0.189237825634569,-0.16946028033359,-0.181607378829107,-0.219805437486851,-0.218585751142132,-0.249391921547029,-0.251754531206092,-0.31721146387983,-0.249029459034408,-0.228988783355567
"319",-0.385749550335037,-0.280962140443238,-0.0232313653851842,-0.0608045845379713,-0.0600864402829662,-0.501032639221868,-0.541290484739265,-0.415051462325804,-0.649522356273772,-0.471110371102268,-0.493946167417531,-0.287773125557906,-0.521078193328907,-0.337425170389519,-0.530708859322257,-0.0724367739656319,-0.253953564418069,-0.515347827863955,-0.871375521116908,-0.578889827506567,-0.906124980284529,-0.492322879745767,-0.887727963767828,-0.350880662440032,-0.876488318344429,-0.598622084767995,-0.970301875314278
"325",-0.140762828949279,-0.146598432794809,-0.227556868144692,-0.100242475179979,0.00519237132531869,-0.218026534492802,-0.227880625671077,-0.229298974650066,-0.248176997238337,-0.211854726508275,-0.213637147421031,-0.230358925626904,-0.248840706784054,-0.189310240485207,-0.206190500957615,-0.264350927459737,-0.27456022861045,-0.240547128539286,-0.235885563323619,-0.260538631447305,-0.304561495443552,-0.271252028707338,-0.310237209814951,-0.275854120097997,-0.308142941199791,-0.285839484474142,-0.421826393323761
"326",-0.535238956592339,-0.561636028190739,-0.686239488241145,-0.104392293262894,-0.0074422837419119,-0.685565917238052,-0.707942347267741,-0.721655188950962,-0.751454976284641,-0.526012024093776,-0.584169351730202,-0.716000136597342,-0.743209268605418,-0.61184739251775,-0.631005801176322,-0.710650904991055,-0.728807570760474,-0.748288555311366,-0.821686080547773,-0.691917288254994,-0.839622816482704,-0.736143730000975,-0.868754498257066,-0.73928850832089,-0.851309125923446,-0.764515098475725,-1.08785151210902
"390",-0.41961248804564,-0.323437881177408,-0.403718699290746,-0.19769601221153,0.0127760724586107,-0.519157552218997,-0.519074771565828,-0.516287008401248,-0.493934750240791,-0.508916595873152,-0.54157034504595,-0.425473832279446,-0.435440900623494,-0.402289355552451,-0.416884526966369,-0.50406243181732,-0.528962561125249,-0.541608753765114,-0.448855356262596,-0.575823317492563,-0.701383518257242,-0.594711385203804,-0.6895158132473,-0.522487853992589,-0.672710170222485,-0.608332771994482,-0.672490061919977
"572",-0.338794510731593,-0.336688428509094,-0.358818643720347,-0.0708426092065858,0.0209013728704825,-0.393827116742482,-0.408638892312622,-0.374847744233941,-0.387858841029678,-0.403129185286781,-0.395909199064747,-0.345738165618992,-0.336594963378285,-0.404942219031766,-0.419894039006215,-0.416034399546894,-0.446528201888636,-0.359780011454224,-0.364542938945505,-0.461276044432297,-0.441621994278001,-0.436459357521378,-0.46704739746458,-0.400565595572037,-0.472319230369752,-0.419339610624812,-0.601944537857583
"580",-0.207242734954847,-0.188956097244181,-0.128578658162762,-0.040713328934461,0.0083018500923972,-0.336174999323013,-0.349296162523321,-0.256077524797334,-0.283082583768647,-0.251713960948555,-0.260952370754035,-0.219012698469102,-0.205406930261788,-0.29055615948827,-0.335544750541174,-0.234829540374906,-0.253578760713424,-0.345634090572311,-0.384693113128799,-0.432460165074262,-0.517486372176033,-0.348282026475675,-0.464078162844988,-0.34909502129155,-0.397522806294438,-0.460387868947673,-0.727887331381012
"582",-0.636873939070496,-0.37083314729659,-0.580852452800108,-0.291140554285527,-0.0564032564127332,-0.770565987968405,-0.786066333481448,-0.786603298862996,-0.843754047945051,-0.743685876327646,-0.715287916227683,-0.591355275548222,-0.65162405126335,-0.522520344624357,-0.546783904772049,-0.667545847164081,-0.6902627668371,-0.80085490549828,-0.919710598557485,-0.848841545273692,-0.864477372709021,-0.85715097826206,-0.932012558974573,-0.680452119231615,-0.797934329555347,-0.876042548192417,-1.22921867303573
