"","W","H","D","T","D/W","W+H","W+D","W+T","H+D","H+T","D+T","W+H+D","W+H+T","W+D+T","H+D+T","W+H+D+T"
"All",0.356867424364321,0.0842671969885969,0.237824139243019,0.170103425782131,0.0660661900410634,0.399315866081938,0.410908465133715,0.439698543079882,0.364027940504383,0.203248169477592,0.306591236680484,0.413118719639811,0.458286746357174,0.464959538664319,0.41936874430866,0.466387524293567
"242",0.652913923803925,0.40621203198437,0.534835891714062,0.08657154537786,0.116600356053162,0.79378083850449,0.793855939683586,0.686740626477405,0.697284481582314,0.482721602608244,0.610863077817521,0.785730055116849,0.834497184466243,0.838921574946535,0.779292103641807,0.832750893495241
"246",0.314485476338115,0.211738869844594,0.420108762934315,-0.0321995583495485,0.000827055024681056,0.492686897985449,0.527058107173339,0.291698782274652,0.487838267653016,0.205988060306964,0.411419494633199,0.511761997481306,0.492034325615599,0.518388229041783,0.469072971964265,0.499206948870917
"319",0.1764763191963,-0.00355570612932055,0.0445227164128115,-0.00390916200115332,-0.00560878607529158,0.150579311356617,0.1556880565258,0.155136595134003,0.0745099917416162,-0.0198387992706972,0.024065321663845,0.124084103672913,0.124222673141224,0.129164405583113,0.0562025627510684,0.0964470705132591
"325",0.440492076382499,0.188872817803032,0.454418791872107,0.118849081917887,0.0926647467605421,0.508168208386989,0.533756008028261,0.557907653581382,0.511174427285765,0.247302873636925,0.504105152122397,0.5145364880394,0.591029106137914,0.611922455792355,0.585244487868632,0.597473101137423
"326",0.144544811562754,0.136198756055419,0.175068876010156,0.114216784466276,-0.0288510064234513,0.139798082960704,0.151167107464786,0.179185473141453,0.149116677226805,0.193974874656588,0.223369023071325,0.120748656049752,0.176701937191226,0.194614291972541,0.197911960410417,0.16763345534933
"390",0.177677434305592,0.160745557597294,0.182847378497864,0.133220906418002,-0.0162144759864582,0.204239679864238,0.169072314618961,0.275591439800618,0.152401253384317,0.255999609205444,0.274050668141485,0.197465997750247,0.291738373223439,0.262050055428205,0.245177447819585,0.286871360292992
"572",0.103198073501895,0.161373956001613,0.290855376498386,0.0370845375156865,0.0445015956569627,0.145226570019036,0.264761804977423,0.170907194276248,0.305312154208864,0.23314669593071,0.38727239485143,0.27978008386986,0.224737781406213,0.363373726856429,0.412714108385573,0.389730393721619
"580",0.152597199851341,-0.00942229483810464,-0.0309617936579973,0.144555161896265,0.0331109318780171,0.140576571816307,0.121306564427219,0.282549077805432,-0.047991168455187,0.165174184958261,0.125262237962347,0.108836323512037,0.296705930774895,0.259501786097564,0.131902032678449,0.269382296800511
"582",-0.00260384408074632,-0.0319188036812021,0.000992620127314492,0.00682074014470768,-0.0270829521346925,-0.038068471727535,-0.023688025255213,-0.0105895499962021,-0.0131435877059936,-0.0285177061464239,-0.0107435095866701,-0.0463961519109575,-0.0479578052417802,-0.0404568692791631,-0.0289658194786575,-0.0659794175730204
"584",0.0754329394365379,-0.0623740454120698,-0.0464215675242423,-0.0251601111919313,0.12968081379321,0.153401550793036,0.119940375640944,0.0503954510324247,0.0269213574236052,-0.0929171393945849,-0.0743962672108067,0.0954573854372813,0.117166584390055,0.0848972684728116,-0.0120236718222826,0.0516209040936983
"585",0.147293223731568,0.0859799779292006,0.102475924331384,0.242796289716503,-0.0340418656230566,0.13112948884103,0.13103798424632,0.248593914548737,0.0658305593569166,0.22951582683616,0.216026753682642,0.0947325524001251,0.219349036649099,0.216510406846876,0.211415740084478,0.209708403965406
"839",0.303345546971467,0.0774991433593289,0.540889480297379,0.0178145685691532,-0.0399999561231947,0.32503510138832,0.53183500554079,0.308518738885122,0.587873281801948,0.151051728719727,0.558563479841894,0.570386762256126,0.361947961144911,0.547099011314327,0.580573728528922,0.561578570862239
"845",0.144992135117042,0.171642760678786,0.201157443591669,0.106249969959026,-0.0136228728102135,0.156179620893758,0.173376200965412,0.223227752020712,0.178159587707428,0.217037207924275,0.248454807532321,0.147724394005131,0.211268141970103,0.224786737560928,0.233139016166826,0.204233145323165
"854",0.299532882563286,-0.0257216338127511,0.0581724261814887,0.0446443892883306,0.187681148030586,0.365229997394581,0.328264254712163,0.344250926993051,0.223228001734085,0.0568804534908345,0.15274279555173,0.348110243011715,0.361404983143819,0.340896427099969,0.23059651384399,0.340886434809838
