"","W","H","D","T","D/W","W+H","W*H","W+D","W*D","W+T","W*T","H+D","H*D","H+T","H*T","D+T","D*T","W+H+D","W*H*D","W+H+T","W*H*T","W+D+T","W*D*T","H+D+T","H*D*T","W+H+D+T","W*H*D*T"
"PARL 854",0.299532882573216,-0.0257216338123369,0.0581724261934805,0.0446443892875815,0.187681148355351,0.365229997407142,0.340817629847093,0.328264254712682,0.302461382857802,0.344250927002451,0.327828275420846,0.223228001781659,0.250635326288058,0.0568804534908197,0.112610447593525,0.152742795566161,0.233034493175725,0.348110243034251,0.285949837783349,0.361404983155728,0.292162830209759,0.340896427103142,0.320323335471321,0.230596513887436,0.311757140428367,0.340886434830377,0.121934897569991
"PARL 845",0.14499213507717,0.171642760639078,0.201157443551404,0.106249969985475,-0.0136228728150198,0.156179620847547,0.124936931914996,0.173376200922456,0.14282097542604,0.223227752007308,0.23241093018891,0.178159587667917,0.148901729229667,0.217037207909827,0.246267237183529,0.248454807516426,0.266541291486384,0.147724393964273,0.0616971205845892,0.211268141950103,0.165318785827203,0.224786737542212,0.175180892047994,0.233139016155082,0.18706433615616,0.204233145309615,0.312404516132332
"PARL 839",0.303345546998826,0.0774991434809542,0.540889480466392,0.0178145685980402,-0.0399999561233306,0.32503510149798,0.329374136811573,0.531835005702622,0.511854199956273,0.308518738935506,0.293625546347995,0.587873281904848,0.570029900378429,0.151051728917162,0.136600948923532,0.558563480038507,0.548666879780137,0.570386762363754,0.492655976616983,0.361947961317019,0.368220080128663,0.547099011505993,0.593734946053954,0.58057372866096,0.512664605718585,0.561578571000131,0.660835615562491
"PARL 585",0.147293223775969,0.0859799778578668,0.10247592428299,0.24279628968698,-0.0340418655823409,0.131129488843038,0.093710486761801,0.131037984257526,0.0983276583146788,0.248593914547898,0.266312666722699,0.0658305593007961,0.0813177930981452,0.229515826778257,0.202077777704968,0.21602675364349,0.182119662765025,0.0947325524040119,0.459515142689792,0.219349036630475,0.190258251991916,0.216510406851415,0.147002939428302,0.211415740006644,0.34775333952746,0.209708403931437,0.461549214444665
"PARL 584",0.0754329393410271,-0.0623740454145674,-0.0464215675548909,-0.0251601111783462,0.129680813613868,0.153401550712708,0.155784057739091,0.119940375556826,0.122195705295638,0.0503954509455411,-0.00529320657296273,0.026921357380405,-0.0266200210118781,-0.0929171393855628,-0.166536625671615,-0.0743962672304839,-0.143612024873784,0.0954573853510378,0.706112064206305,0.117166584315652,-0.0153765597263171,0.0848972683953816,-0.0563463651170113,-0.0120236718565105,-0.18525620494733,0.0516209040133099,0.587775376697177
"PARL 582",-0.00260384409549319,-0.031918803688044,0.000992620088964835,0.00682074013067802,-0.0270829521082736,-0.0380684717451076,-0.0720867412658552,-0.0236880252935254,-0.0585939434510756,-0.0105895500199671,0.0111754139250273,-0.013143587750412,-0.0311408336097239,-0.0285177061624065,-0.0627581915782329,-0.0107435096272988,-0.0371982658555106,-0.0463961519554232,-0.0746519694561565,-0.0479578052654892,-0.0886311858318445,-0.0404568693200209,-0.0956552792486682,-0.0289658195252622,-0.0943214530805807,-0.0659794176201287,-0.404711659767514
"PARL 580",0.152597199820505,-0.00942229487178059,-0.0309617936733055,0.144555161953802,0.0331109318948214,0.140576571755224,0.133828526383244,0.121306564388196,0.0898490890059472,0.282549077831141,0.257849617454032,-0.0479911684884977,-0.0573448495265021,0.165174184974201,0.132532441214439,0.12526223800003,0.159390445259436,0.108836323453724,0.0367685406514808,0.296705930762772,0.22218155322452,0.259501786110386,0.206352443478345,0.131902032696179,0.136702001238462,0.2693822967924,-0.00857105435548511
"PARL 572",0.103198073495441,0.161373956007422,0.290855376497461,0.0370845375350818,0.0445015956039603,0.145226570020883,0.12021390085269,0.264761804977249,0.242430590172112,0.170907194292287,0.172493476729871,0.305312154200312,0.306972542425001,0.233146695960679,0.203070948942113,0.387272394876124,0.369957975008659,0.279780083861969,0.257255459169777,0.224737781433026,0.345831603975278,0.363373726882635,0.450240720229272,0.412714108403472,0.366192117560413,0.38973039374102,0.2337515150749
"PARL 390",0.177677434166564,0.160745557551332,0.182847378398335,0.133220906514737,-0.0162144760148017,0.204239679734017,0.172401005095964,0.169072314482563,0.168398812866471,0.275591439757939,0.29171206814145,0.152401253293088,0.123164989807098,0.255999609249898,0.225164954894333,0.274050668134863,0.243555759486721,0.197465997615085,0.188346961726232,0.291738373186446,0.230552357832972,0.262050055387929,0.215116055953763,0.245177447823868,0.134025606334,0.286871360254462,0.120591169689862
"PARL 326",0.144544811603882,0.13619875605424,0.175068876008665,0.114216784527271,-0.0288510064354839,0.139798082986335,0.116167758236734,0.151167107477086,0.119748614963249,0.17918547321839,0.162827667702365,0.14911667722522,0.117602937168553,0.193974874705047,0.170910916726997,0.223369023116593,0.206266611147753,0.12074865605976,0.0433114375227051,0.176701937253347,0.0570456976636361,0.194614292019945,0.071307286117449,0.197911960457224,0.0923545972733435,0.167633455393874,-0.166437180008166
