"","W","H","D","T","D/W","W+H","W+D","W+T","H+D","H+T","D+T","W+H+D","W+H+T","W+D+T","H+D+T","W+H+D+T"
"All",0.34639757590686,0.0841652994760624,0.165342867122703,0.170608863787263,0.0542865790026923,0.383076086280973,0.375848731809766,0.432881985516594,0.163578440017641,0.207275573649186,0.259435314117315,0.383569690366523,0.449274249078989,0.44394150848058,0.258627075095217,0.448334620447073
"242",0.644200367894413,0.351468217284936,0.490928140564795,0.445445423040597,0.135134710285179,0.671018459954518,0.704790997696136,0.782333876769369,0.508421796989108,0.640517316680468,0.689946448021411,0.710141647324848,0.809504136410813,0.822545131740564,0.682973118791449,0.817506308141977
"246",0.362653895930611,0.385289486787096,0.568696037237782,-0.0216753459327692,-0.0216941453283606,0.614023699378212,0.638360683215295,0.359537513659385,0.604548692698747,0.38978680486852,0.572487930513046,0.625902755061008,0.631327080669999,0.647350365469407,0.602796960815205,0.634401997494584
"319",0.104670515987498,-0.0202001734305843,-0.0246848458285645,-0.0137713689072159,-0.0136492231920717,0.0727726119120466,0.0798493171936829,0.0985234469320583,-0.0518188785810212,-0.0368868857268492,-0.0454876720328543,0.0469825535188289,0.0655363503429228,0.0673737576667505,-0.0738892583088617,0.0327329067915875
"325",0.501259032845548,0.322303138180894,0.543629999068201,0.071254665640078,0.000885494787218222,0.595623313252183,0.616497199770006,0.55251978398278,0.589805761881615,0.327303265394677,0.542077682247809,0.601318193225495,0.615491693261203,0.630418868644748,0.593528534503209,0.614109095511676
"326",0.153962750829821,0.128821538385634,0.177140324820806,0.109979498070224,-0.0333292045155464,0.150851099707307,0.16102463660948,0.166210151247667,0.155734087394099,0.201539340047984,0.227548547026325,0.132244555529732,0.180679563763945,0.200537172613514,0.20123478943335,0.173840498899811
"390",0.210745502163467,0.231204751340773,0.24740183773284,0.219667063136029,-0.0193755522122883,0.241114791546721,0.222697145007933,0.316739874842833,0.222307016716122,0.325361026970494,0.334027128290277,0.215154113101943,0.323394015661714,0.310989496580043,0.309910577467033,0.299686804130009
"572",0.169273264532236,0.223958819135477,0.342132299266393,0.0157571460878272,-0.00887179167583985,0.210810036079879,0.32147358518991,0.23549827753883,0.356839169927024,0.289910671476811,0.432509907041743,0.337147888106922,0.286841970135735,0.412641521422062,0.456309610674007,0.437418285821164
"580",0.237084443038645,0.0446230774657765,0.0103908452220935,0.100421650592498,-0.0246470827620862,0.244177922271807,0.212975785645189,0.339845642653104,0.0171197864831751,0.197818168172105,0.164369465037236,0.219937804793587,0.384469933821008,0.337490411018357,0.191379569962849,0.362283348401319
"582",0.0278509042198477,-0.00810546173741966,0.0437793326331971,0.0275841785703085,-0.03111605441548,-0.000641847937184803,0.0213001742311563,0.0259134673058823,0.031338565211021,0.00201655780508392,0.033556011642389,0.000886376871921724,-0.00758616169997528,0.00639612553342983,0.0175748604504615,-0.0163552632309527
"584",0.0984215880589203,-0.0509407954687222,-0.0516387857745244,-0.0220313425769725,-0.0287356724964964,0.16327491939517,0.0707892473151083,0.070458897530094,-0.111367466784328,-0.076294582077477,-0.0817129306708628,0.125934637263592,0.124446424978095,0.0551063900221238,-0.143276269785362,0.0920001499729936
"585",0.00888895560238978,0.0172350690655383,-0.0344771384893363,0.180527242878092,0.0127182227268131,-0.0129094400720449,0.00864225733955337,0.161363469335696,0.0507888377973685,0.17765153650744,0.153795454614232,0.0393977582299,0.147457494676706,0.154765127121898,0.214539955575244,0.188430239028284
"839",0.471665489192824,0.320699629304369,0.677447786374271,-0.0247475097810159,-0.0317249477309673,0.514063188817841,0.668423670871775,0.491922371222487,0.715118264247609,0.408913202564306,0.718069884190445,0.706773557935481,0.588755505949995,0.710814216446614,0.726983994663653,0.716593706360309
"845",0.134253681945607,0.117210195220878,0.159780780462541,0.186635805281966,-0.026057882202309,0.118947929387235,0.136556542842428,0.290353073234797,0.155869856855737,0.268639126027272,0.301304833001984,0.125869940779713,0.272987002411341,0.283925408767729,0.296413990570134,0.2713836629196
"854",0.312264699384278,-0.0335301571292363,0.0893984644527011,0.0538137519251578,-0.0156253607085572,0.389480251368348,0.289201796603827,0.361275090945584,0.0719000562698556,0.0435292522128363,0.165169869408192,0.366886666238518,0.387307783732237,0.337619497541383,0.134250619226454,0.363852691034399
