"","W","H","D","T","D/W","W+H","W*H","W+D","W*D","W+T","W*T","H+D","H*D","H+T","H*T","D+T","D*T","W+H+D","W*H*D","W+H+T","W*H*T","W+D+T","W*D*T","H+D+T","H*D*T","W+H+D+T","W*H*D*T"
"PARL 854",0.312264699392834,-0.033530157128141,0.0893984644407618,0.0538137519229505,-0.015625360631391,0.38948025136661,0.366969417615331,0.289201796614927,0.26739981497529,0.36127509095218,0.347128589183935,0.0719000562508045,0.0456227805996485,0.0435292522160462,0.0791577663001017,0.165169869392511,0.174596657746889,0.366886666236984,0.283089225155912,0.387307783731567,0.321654451271143,0.33761949754828,0.338449735439637,0.134250619210158,0.229997563574438,0.363852691033036,0.182460030570318
"PARL 845",0.134253681911101,0.117210195193744,0.159780780432446,0.186635805298528,-0.0260578822074446,0.11894792935042,0.0892384260701607,0.136556542807492,0.10880541112664,0.290353073219057,0.298104409288348,0.155869856826929,0.130177035216828,0.268639126018912,0.269673543462711,0.301304832990361,0.308517043343246,0.125869940749115,0.011333513077062,0.27298700239387,0.237500329439608,0.283925408751345,0.250512670796113,0.296413990559896,0.257594707693146,0.271383662907005,0.242923101066448
"PARL 839",0.471665489225119,0.320699629376813,0.677447786454543,-0.024747509772288,-0.0317249477540447,0.514063188880449,0.500588079538529,0.668423670952183,0.660115374048674,0.491922371275117,0.473344616943049,0.715118264313377,0.707127176005668,0.408913202687195,0.394698976729684,0.718069884297628,0.707638263917569,0.706773558004852,0.664903218030851,0.58875550605997,0.59348707421892,0.71081421655477,0.722983400031763,0.726983994755368,0.698494015866094,0.716593706455397,0.657422392339991
"PARL 585",0.00888895561727143,0.0172350690355357,-0.0344771384890423,0.180527242855419,0.0127182227868389,-0.0129094400867606,-0.050245179799387,0.00864225739816638,-0.015077152315832,0.161363469320998,0.130573781312805,0.0507888377765654,0.0704306968447669,0.177651536463123,0.20434130898115,0.153795454596879,0.1263098026634,0.0393977582482227,0.157948516419227,0.147457494626734,0.154073114009079,0.154765127144352,0.0311065799725125,0.214539955539776,0.198462764148787,0.188430239009148,0.284430567325685
"PARL 584",0.0984215879959834,-0.0509407954805616,-0.0516387857782599,-0.0220313425641065,-0.0287356725337078,0.163274919357639,0.164680336175269,0.0707892472445502,0.0315188231191094,0.0704588974769174,0.012362623763281,-0.111367466796118,-0.104104179602142,-0.0762945820773935,-0.138871972624445,-0.0817129306589259,-0.131292418344625,0.125934637219288,0.729757007248007,0.124446424947089,-0.0247815456472393,0.0551063899644676,0.0320974350036948,-0.143276269785302,-0.163662813204249,0.0920001499369562,0.594416362313244
"PARL 582",0.0278509041976142,-0.00810546175848992,0.0437793325870496,0.02758417855187,-0.0311160544045719,-0.000641847967860709,-0.0235822202088387,0.0213001741847156,-0.012312737985662,0.0259134672742749,0.0524300220335143,0.0313385651612145,0.00156430369630145,0.00201655777553789,-0.0155601340969005,0.0335560115932496,0.00517433887163432,0.000886376821494061,-0.0881906709900673,-0.00758616173638171,-0.0424408614678486,0.00639612548375235,-0.0452138500162291,0.0175748603976473,-0.0724597487364205,-0.0163552632847617,-0.329709152669222
"PARL 580",0.237084443045186,0.044623077424003,0.0103908452241616,0.100421650625635,-0.0246470827339005,0.244177922249726,0.222253017619419,0.212975785652252,0.20000992718654,0.339845642692876,0.31632719279174,0.0171197864478209,0.00782089831779365,0.197818168157077,0.174619585066558,0.164369465081531,0.141594869122973,0.219937804765452,0.139471449939021,0.384469933824236,0.313471281618785,0.337490411064107,0.257836259592053,0.191379569965314,0.139920160496797,0.362283348407543,0.0771019899497229
"PARL 572",0.169273264529218,0.223958819142397,0.342132299266919,0.0157571461019165,-0.00887179172256447,0.210810036084072,0.189182996967765,0.321473585191103,0.302630668813344,0.23549827755544,0.23095665261443,0.356839169920253,0.357288191664145,0.289910671504383,0.265257627213138,0.432509907064234,0.417400033418997,0.337147888100575,0.311577944252993,0.28684197016145,0.314584546445702,0.412641521445673,0.419449321510769,0.456309610689767,0.420082669038564,0.437418285837841,0.303530880750149
"PARL 390",0.210745502046615,0.231204751297938,0.247401837647204,0.219667063231191,-0.0193755522147046,0.241114791452624,0.232754533089,0.222697144906072,0.246965755990582,0.316739874827357,0.289878255758995,0.222307016638529,0.207093869048363,0.325361027009301,0.301421879899008,0.334027128293392,0.307578879512736,0.215154113005603,0.277562731024456,0.323394015656552,0.222312598499666,0.310989496570821,0.23664001460669,0.30991057747911,0.197279619385815,0.299686804126163,0.252675192096716
"PARL 326",0.153962750872867,0.128821538383241,0.177140324819196,0.109979498125278,-0.033329204515989,0.150851099736484,0.129426147007038,0.161024636627071,0.13127499170354,0.166210151315381,0.174697115112234,0.155734087393087,0.125649988689132,0.201539340093943,0.178113703591784,0.22754854706769,0.213124219475184,0.132244555544867,0.0489381305213815,0.18067956381831,0.0766001524679559,0.200537172653534,0.0907872796355784,0.201234789475496,0.111192453060252,0.173840498936693,-0.132627520670888
"PARL 325",0.501259032951591,0.322303138297264,0.543629999247531,0.0712546655788499,0.000885494704856771,0.595623313414068,0.581276031400913,0.616497199950992,0.601434690036183,0.552519784038967,0.546349266039171,0.589805762083627,0.584036234968301,0.327303265470133,0.30209751748999,0.542077682399591,0.565075449503361,0.601318193419981,0.596844401160407,0.615491693381075,0.564900196423353,0.630418868785856,0.605569782250096,0.593528534674779,0.601381602577324,0.614109095664301,0.477450319147501
"PARL 319",0.104670515977321,-0.0202001734419897,-0.0246848458340054,-0.0137713689128494,-0.0136492231900327,0.0727726119023309,0.0400741551713929,0.0798493171785072,0.0466518252749198,0.098523446914945,0.0687097334889817,-0.051818878594909,-0.0632989833062514,-0.0368868857435811,-0.0612070403188458,-0.0454876720418822,-0.0679081130876682,0.0469825535059655,-0.0712910742095336,0.0655363503270254,-0.0791421870061659,0.0673737576467796,-0.0836056177993987,-0.0738892583270572,-0.207922554235582,0.0327329067738005,-0.0794871768507082
"PARL 246",0.362653895943761,0.385289486861589,0.56869603727693,-0.0216753459363981,-0.0216941453648329,0.614023699452113,0.60023883574946,0.638360683254498,0.625514778085523,0.359537513668415,0.353299458859257,0.604548692695332,0.591770659018199,0.389786804941517,0.376568455052656,0.572487930549108,0.575028116185098,0.625902755095551,0.640963237734472,0.631327080741958,0.652222010638117,0.647350365505098,0.676973104348627,0.602796960810749,0.584099917268729,0.634401997534653,0.702203382834439
"PARL 242",0.644200367804266,0.351468217137719,0.4909281403877,0.445445423057327,0.135134710317458,0.671018459818567,0.829839414031234,0.704790997540833,0.881770812036463,0.782333876706634,0.853375806251889,0.508421796809831,0.501330886491715,0.640517316578937,0.668587795515631,0.689946447896349,0.771129174041198,0.710141647165706,0.948995978054075,0.809504136304179,0.94054944565246,0.822545131621172,0.955845228561152,0.682973118661037,0.800727507142697,0.817506308017539,0.965330302888357
