"","W","H","D","T","D/W","W*H","W*D","W*T","H*D","H*T","D*T","W*H*D","W*H*T","W*D*T","H*D*T","W*H*D*T"
"All",3848.94933060746,3985.70496660171,3914.67215960612,3947.61505712401,3993.32149273611,3833.14905782035,3825.26519427257,3804.36700761613,3855.22084981315,3940.91555286637,3888.12850894529,3845.08905079531,3811.91964183169,3806.52053868909,3841.45817062587,3850.02835170737
"242",190.12765218468,205.162237962039,198.326540980203,217.221355053083,216.285389069016,179.154163468504,177.830553724817,192.78515640016,191.635001759977,205.049432935171,194.567291960417,178.390494892585,182.276316684424,179.676441539311,187.152454562475,189.18560235752
"246",188.996012630821,193.046144878232,184.143468090394,200.865063381793,199.922000315391,185.434017999573,183.687234808339,192.468907444696,186.164727578565,197.832831873484,188.301526289986,187.44604801553,193.415324373602,191.239693330588,195.320743741165,201.600688583109
"319",275.19689018663,280.535124258728,279.209594642006,280.54463208005,280.590304586721,281.309188768072,281.355079733865,281.040693340339,283.654665916335,286.226098934951,285.068386435497,292.435505374875,293.413030543008,293.684554751967,294.029991369081,308.009512035005
"325",234.035063352803,242.9478755206,233.430118722611,244.935172748246,245.637967054774,235.471459452288,234.811239786443,232.932069695599,235.819582065014,246.265908989305,235.952728080151,242.165262221405,242.333522768517,241.00854783816,242.107581419066,260.338293379665
"326",315.779237673313,316.080216338571,314.652889419749,316.859232150796,321.500728474947,321.443624604719,321.317772621894,319.762267354531,321.393245464075,319.461494996921,318.110515445835,332.664480942754,332.21621828235,331.743781123407,331.033132891437,353.030785326552
"390",271.442461158043,271.972372237898,271.278483080662,272.811397987669,276.946842391154,275.862654367189,275.988084922903,271.815025405649,277.365197320525,274.149811559351,273.525256760346,283.171752282583,281.783351067715,282.299787904784,284.856094252012,296.038671787742
"572",253.045388078962,251.100354332979,246.236897655464,255.108175549009,254.883932218036,256.992579421871,252.655233703708,255.215986687354,250.072912938745,254.124097958612,247.309703150104,260.495041826798,256.812408392167,251.769763828093,255.895459695377,274.429265161709
"580",247.570166814874,252.643929045382,253.256234027253,247.844085431407,251.395488047992,252.708184111964,254.144482384583,248.226785089235,258.491749533094,252.751545479804,251.839471533016,264.201233563277,258.001016241838,258.585260138483,261.02475342252,278.5658670557
"582",308.600531840093,309.49393712776,308.489131075454,308.30775024259,309.348321250394,315.330480323463,314.93785243955,312.824275936583,314.123303742537,315.059559586792,314.304880290643,324.169893425224,324.570545312025,324.769921767427,324.732160073617,346.693917723718
"584",198.660055802431,201.160899535797,200.888563916632,200.519068804273,197.571675717925,200.400723432346,201.102999771691,203.543995177657,203.921862453387,206.221674515564,205.864419270953,186.911933916881,209.22862720311,209.940645827711,212.013216750689,187.155683383435
"585",250.638090794718,252.512882900153,252.021144537783,247.430938637609,255.844090683397,256.623924069396,256.486018612543,250.919476265383,256.990623306432,253.185536729414,253.852569355676,250.692691121262,261.607407290596,263.01250711903,255.767508078975,262.200901940733
"839",242.298838875058,249.880405932977,231.039877758934,251.573084975342,253.11737235943,245.611099820644,237.035973569713,247.013320084473,233.609715111995,252.433070578398,234.91894571461,246.102359736176,252.02485792841,240.103404376963,245.01596776092,246.839355209791
"845",360.74427506931,359.762624177688,358.637924516013,362.118054330318,366.019716408732,366.115765706618,365.475641499643,362.053481161552,365.254946458611,361.488765154718,360.643501268127,377.04417424174,373.416463612665,373.048004640647,372.598128701905,381.628272609412
"854",243.093068745595,254.535196357526,251.975312507154,252.403155204357,247.537434189887,245.849808669398,247.546537968176,246.43521716298,249.696574025403,254.768323617982,250.393056514557,256.841565089565,256.579391069447,255.361484389979,255.737221713554,276.694616161769
