"","W","H","D","T","D/W","W+H","W+D","W+T","H+D","H+T","D+T","W+H+D","W+H+T","W+D+T","H+D+T","W+H+D+T"
"All",3848.94933060746,3985.70496660171,3914.67215960612,3947.61505712401,3993.32149273611,3827.47625149228,3819.93453092999,3800.54326744103,3849.56830203233,3936.79369797888,3883.03027274243,3823.42908492034,3792.43590271142,3787.63925581632,3819.28560452443,3791.55165845722
"242",190.12765218468,205.162237962039,198.326540980203,217.221355053083,216.285389069016,177.783943952101,177.773745016179,189.490520589681,188.531855598148,203.533912162891,195.563713588188,181.045452837213,173.81449657823,173.055784821804,181.874349340243,176.248924077948
"246",188.996012630821,193.046144878232,184.143468090394,200.865063381793,199.922000315391,182.538640827516,180.504121514038,192.21713217031,182.814491363692,195.529774520265,186.847615795233,183.657100125587,184.805815591808,183.260824927988,186.087926267383,186.576866580622
"319",275.19689018663,280.535124258728,279.209594642006,280.54463208005,280.590304586721,278.226514459892,278.06363569702,278.08126495987,280.5422710218,283.163337006446,281.975223670734,281.202560323319,281.198288598564,281.045504738628,283.217880455212,284.136944163528
"325",234.035063352803,242.9478755206,233.430118722611,244.935172748246,245.637967054774,233.00253476288,231.720270297759,230.443703188493,232.855389629012,243.215162439466,233.199985953266,234.696841251064,230.581797892096,229.323266368116,230.918883409061,232.147643090872
"326",315.779237673313,316.080216338571,314.652889419749,316.859232150796,321.500728474947,318.296930527284,317.884481399096,316.843961262913,317.95927431763,316.280311272015,315.128673345896,321.282533941224,319.244206486815,318.562299540499,318.435108828819,321.847836152838
"390",271.442461158043,271.972372237898,271.278483080662,272.811397987669,276.946842391154,272.740305557006,273.864668659746,270.297800758365,274.381147682058,270.991637205666,270.353042403792,275.063037191683,271.81405977867,272.881683263825,273.469457330803,274.040690922565
"572",253.045388078962,251.100354332979,246.236897655464,255.108175549009,254.883932218036,253.926255568693,249.557639944584,253.041629657291,247.912414274759,250.77856900665,244.2716925544,251.18903549636,253.324732209812,247.611194733553,245.271734421395,248.568476230279
"580",247.570166814874,252.643929045382,253.256234027253,247.844085431407,251.395488047992,250.251475228151,250.894531082311,245.015316779312,256.0041676945,249.409354850465,250.763685084723,253.533095347373,246.667258351297,248.162153575863,252.772612789083,249.956058143959
"582",308.600531840093,309.49393712776,308.489131075454,308.30775024259,309.348321250394,312.024288048248,311.591840210123,311.192623948143,311.270870639432,311.737751881402,311.197346324093,314.578576859132,314.624807117454,314.402121443408,314.057845518534,317.417415685519
"584",198.660055802431,201.160899535797,200.888563916632,200.519068804273,197.571675717925,198.802950577552,199.50068752658,200.869695050614,201.30924191204,203.399775795146,203.092128720464,201.643103233421,201.205831174589,201.852027724956,203.664104048009,204.051379599794
"585",250.638090794718,252.512882900153,252.021144537783,247.430938637609,255.844090683397,253.33874986848,253.341593208124,249.417057291672,255.295270594698,250.094025095697,250.562631199386,256.593457707207,252.594696087052,252.692696344745,252.86769637273,255.02172921207
"839",242.298838875058,249.880405932977,231.039877758934,251.573084975342,253.11737235943,243.638503286358,233.760825948162,244.291238124621,230.318598228392,249.830617622168,232.173588867476,233.587296636084,244.266727833333,235.012577407948,232.93936144362,236.230907876964
"845",360.74427506931,359.762624177688,358.637924516013,362.118054330318,366.019716408732,362.682129844867,362.043841151753,360.115563562375,361.863933812337,360.361641094464,359.092072320228,365.297799527397,362.895809692622,362.359874133639,362.024062587155,365.43512158765
"854",243.093068745595,254.535196357526,251.975312507154,252.403155204357,247.537434189887,242.448696088519,244.146764918896,243.424160261937,248.505220172122,254.326605522975,251.110943522193,245.516065548566,244.897915961425,245.846222318501,250.488267290289,248.07125311486
