"","W","H","D","T","D/W","W+H","W*H","W+D","W*D","W+T","W*T","H+D","H*D","H+T","H*T","D+T","D*T","W+H+D","W*H*D","W+H+T","W*H*T","W+D+T","W*D*T","H+D+T","H*D*T","W+H+D+T","W*H*D*T"
"All",3848.94933060746,3985.70496660171,3914.67215960612,3947.61505712401,3993.32149273611,3827.47625149228,3833.14905782035,3819.93453092999,3825.26519427257,3800.54326744103,3804.36700761613,3849.56830203233,3855.22084981315,3936.79369797888,3940.91555286637,3883.03027274243,3888.12850894529,3823.42908492034,3845.08905079531,3792.43590271142,3811.91964183169,3787.63925581632,3806.52053868909,3819.28560452443,3841.45817062587,3791.55165845722,3850.02835170737
"242",190.12765218468,205.162237962039,198.326540980203,217.221355053083,216.285389069016,177.783943952101,179.154163468504,177.773745016179,177.830553724817,189.490520589681,192.78515640016,188.531855598148,191.635001759977,203.533912162891,205.049432935171,195.563713588188,194.567291960417,181.045452837213,178.390494892585,173.81449657823,182.276316684424,173.055784821804,179.676441539311,181.874349340243,187.152454562475,176.248924077948,189.18560235752
"246",188.996012630821,193.046144878232,184.143468090394,200.865063381793,199.922000315391,182.538640827516,185.434017999573,180.504121514038,183.687234808339,192.21713217031,192.468907444696,182.814491363692,186.164727578565,195.529774520265,197.832831873484,186.847615795233,188.301526289986,183.657100125587,187.44604801553,184.805815591808,193.415324373602,183.260824927988,191.239693330588,186.087926267383,195.320743741165,186.576866580622,201.600688583109
"319",275.19689018663,280.535124258728,279.209594642006,280.54463208005,280.590304586721,278.226514459892,281.309188768072,278.06363569702,281.355079733865,278.08126495987,281.040693340339,280.5422710218,283.654665916335,283.163337006446,286.226098934951,281.975223670734,285.068386435497,281.202560323319,292.435505374875,281.198288598564,293.413030543008,281.045504738628,293.684554751967,283.217880455212,294.029991369081,284.136944163528,308.009512035005
"325",234.035063352803,242.9478755206,233.430118722611,244.935172748246,245.637967054774,233.00253476288,235.471459452288,231.720270297759,234.811239786443,230.443703188493,232.932069695599,232.855389629012,235.819582065014,243.215162439466,246.265908989305,233.199985953266,235.952728080151,234.696841251064,242.165262221405,230.581797892096,242.333522768517,229.323266368116,241.00854783816,230.918883409061,242.107581419066,232.147643090873,260.338293379665
"326",315.779237673313,316.080216338571,314.652889419749,316.859232150796,321.500728474947,318.296930527284,321.443624604719,317.884481399096,321.317772621894,316.843961262913,319.762267354531,317.95927431763,321.393245464075,316.280311272015,319.461494996921,315.128673345896,318.110515445835,321.282533941224,332.664480942754,319.244206486815,332.21621828235,318.562299540499,331.743781123407,318.435108828819,331.033132891437,321.847836152838,353.030785326552
"390",271.442461158043,271.972372237898,271.278483080662,272.811397987669,276.946842391154,272.740305557006,275.862654367189,273.864668659746,275.988084922903,270.297800758365,271.815025405649,274.381147682058,277.365197320525,270.991637205666,274.149811559351,270.353042403792,273.525256760346,275.063037191683,283.171752282583,271.81405977867,281.783351067715,272.881683263825,282.299787904784,273.469457330803,284.856094252012,274.040690922565,296.038671787742
"572",253.045388078962,251.100354332979,246.236897655464,255.108175549009,254.883932218036,253.926255568693,256.992579421871,249.557639944584,252.655233703708,253.041629657291,255.215986687354,247.912414274759,250.072912938745,250.77856900665,254.124097958612,244.2716925544,247.309703150104,251.18903549636,260.495041826798,253.324732209812,256.812408392167,247.611194733553,251.769763828093,245.271734421395,255.895459695377,248.568476230279,274.429265161709
"580",247.570166814874,252.643929045382,253.256234027253,247.844085431407,251.395488047992,250.251475228151,252.708184111964,250.894531082311,254.144482384583,245.015316779312,248.226785089235,256.0041676945,258.491749533094,249.409354850465,252.751545479804,250.763685084723,251.839471533016,253.533095347373,264.201233563277,246.667258351297,258.001016241838,248.162153575863,258.585260138483,252.772612789083,261.02475342252,249.956058143959,278.5658670557
"582",308.600531840093,309.49393712776,308.489131075454,308.30775024259,309.348321250394,312.024288048248,315.330480323463,311.591840210123,314.93785243955,311.192623948143,312.824275936583,311.270870639432,314.123303742537,311.737751881402,315.059559586792,311.197346324093,314.304880290643,314.578576859132,324.169893425224,314.624807117454,324.570545312025,314.402121443408,324.769921767427,314.057845518534,324.732160073617,317.417415685519,346.693917723718
"584",198.660055802431,201.160899535797,200.888563916632,200.519068804273,197.571675717925,198.802950577552,200.400723432346,199.50068752658,201.102999771691,200.869695050614,203.543995177657,201.30924191204,203.921862453387,203.399775795146,206.221674515564,203.092128720464,205.864419270953,201.643103233421,186.911933916881,201.205831174589,209.22862720311,201.852027724956,209.940645827711,203.664104048009,212.013216750689,204.051379599794,187.155683383435
"585",250.638090794718,252.512882900153,252.021144537783,247.430938637609,255.844090683397,253.33874986848,256.623924069396,253.341593208124,256.486018612543,249.417057291672,250.919476265383,255.295270594698,256.990623306432,250.094025095697,253.185536729414,250.562631199386,253.852569355676,256.593457707207,250.692691121262,252.594696087052,261.607407290596,252.692696344745,263.01250711903,252.86769637273,255.767508078975,255.02172921207,262.200901940733
"839",242.298838875058,249.880405932977,231.039877758934,251.573084975342,253.11737235943,243.638503286358,245.611099820644,233.760825948162,237.035973569713,244.291238124621,247.013320084473,230.318598228392,233.609715111995,249.830617622168,252.433070578398,232.173588867476,234.91894571461,233.587296636084,246.102359736176,244.266727833333,252.02485792841,235.012577407948,240.103404376963,232.93936144362,245.01596776092,236.230907876964,246.839355209791
