"","W","H","D","T","D/W","W+H","W+D","W+T","H+D","H+T","D+T","W+H+D","W+H+T","W+D+T","H+D+T","W+H+D+T"
"All",4200.15278313195,4342.50884439942,4303.34096958381,4300.67006387511,4356.05660372136,4180.819829309,4185.73488700944,4145.29659543939,4309.2711621052,4286.62786976414,4257.9054233359,4185.51869136224,4137.95578085429,4142.0223981067,4263.40237706055,4143.70939506674
"242",258.680615391952,277.891600060761,270.143701568565,272.882134951739,287.103208004152,258.553786398503,255.087608733341,245.33652892826,271.405607132285,261.39104615219,256.657574909575,256.845103257651,243.412722978749,241.143469614574,259.712117799831,244.341418312088
"246",215.012600072593,213.855435408801,202.516608042254,230.112958868152,230.113547680564,201.344306408773,199.26019064642,217.54957297066,202.120360571658,216.001344043808,204.614916023788,202.686793888676,202.219404341652,200.79748990401,204.604611707606,204.253360350348
"319",313.546370348347,317.593803086609,317.729776567681,317.397838099161,317.394102794125,316.977744909354,316.740241887908,316.104636215594,320.886143681492,320.442903018003,320.698981724537,320.134800934247,319.525325979023,319.464311621149,323.836478319637,322.858923076182
"325",252.961000076526,260.932943911588,250.652642830097,269.126440676364,271.025345982399,249.659306104616,248.281308342197,252.292728850524,250.030689130365,262.891948238104,252.892476859474,251.392893238471,250.451739277553,249.422266527323,251.895996071527,252.593637363599
"326",324.76418113345,325.701251861749,323.875294532351,326.385976651788,331.163468102349,327.262544684792,326.876841891194,326.678443456365,327.077999187894,325.292981322341,324.233252162185,330.298970349757,328.46106095483,327.675933786763,327.647998174169,331.029035287873
"390",302.278427951115,301.516767634085,300.899263641545,301.948751440153,309.698271926185,303.413343545006,304.108749733513,300.369071977464,304.123301181719,300.000831404463,299.625897466734,306.618707362039,302.31515738538,302.842012400372,302.887387880526,305.497333516334
"572",268.011640225039,265.900685438613,260.77943154496,273.268364994817,274.034538618427,268.767687311092,264.084094235877,267.782421166157,262.424707877314,265.493582620287,258.544390582751,265.666167866162,267.933852905438,261.917753983924,259.522837144842,262.845723995824
"580",270.450092807097,277.648767787337,278.775299823433,275.723014411004,279.888690247763,272.532055817797,273.826552275576,268.201421606063,280.937855916701,274.436993532531,275.744234058231,275.885034363057,268.304558806717,270.658198450779,277.035625367096,271.739658804204
"582",317.71798261002,318.880186913393,317.189327461334,317.726761150415,319.602394103392,321.023276462571,320.313774426913,320.162579543371,319.983859928554,320.938148915811,319.910521994596,323.317180948144,323.587398593455,323.140224197697,322.778161362603,326.166663485702
"584",218.197148653327,221.263029041275,221.276307783971,220.705157051383,220.835924783742,218.55668345413,220.653483740808,220.660592807843,224.23370204728,223.592361852941,223.692794496432,221.213115293801,221.247138991471,222.771458904263,226.583078930577,223.679858241283
"585",291.855671666367,291.593516330876,293.183240990992,285.960543442168,291.735667764415,294.876249125352,294.209543231957,289.023303201566,292.862773754546,288.415294977266,289.301798351737,295.539167294529,291.83970927666,291.572845072087,289.299151472532,292.576912030551
"839",278.466798897811,286.25814594146,263.169396283816,299.003427891089,299.213789479616,278.219773289326,266.370935916875,279.60099847511,261.665634861058,284.292185804784,261.342772715313,264.867226668665,275.352752331613,264.437076276502,262.653370061335,266.075291618667
"845",374.706433717696,375.330279964324,373.748702615376,372.70921908884,380.14283401097,377.648113496486,377.002087457035,370.72494011807,376.278191978727,371.689402501366,370.227243743621,379.738525424021,373.841411248066,373.356290719129,372.793275972431,376.213876973396
"854",250.574054866169,263.201332354529,259.275797732234,260.464152353577,262.659584487965,249.228316218182,253.942731966925,250.628375979407,262.212008511447,263.145442718927,258.928762637181,252.661409472747,251.645020758106,254.06232177875,262.36273608154,255.073648395642
