"","W","H","D","T","D/W","W+H","W*H","W+D","W*D","W+T","W*T","H+D","H*D","H+T","H*T","D+T","D*T","W+H+D","W*H*D","W+H+T","W*H*T","W+D+T","W*D*T","H+D+T","H*D*T","W+H+D+T","W*H*D*T"
"All",4200.15278313195,4342.50884439942,4303.34096958381,4300.67006387511,4356.05660372136,4180.819829309,4186.72983504198,4185.73488700944,4190.92891779553,4145.29659543939,4150.89495769218,4309.2711621052,4309.16435505632,4286.62786976414,4288.19882666089,4257.9054233359,4254.66634805163,4185.51869136224,4208.69454429778,4137.95578085429,4158.83592126004,4142.0223981067,4158.31709608091,4263.40237706055,4266.20228336267,4143.70939506674,4202.16834851115
"242",258.680615391952,277.891600060761,270.143701568565,272.882134951739,287.103208004152,258.553786398503,239.80031123471,255.087608733341,228.148547945603,245.33652892826,235.036477452312,271.405607132285,274.206716430251,261.39104615219,261.132161385196,256.657574909575,249.285596074737,256.845103257651,210.175613157959,243.412722978749,215.079307753776,241.143469614574,205.561101266211,259.712117799831,253.78421179208,244.341418312088,212.573385944956
"246",215.012600072593,213.855435408801,202.516608042254,230.112958868152,230.113547680564,201.344306408773,204.810041977448,199.26019064642,202.719963956535,217.54957297066,220.202556077446,202.120360571658,205.480821085865,216.001344043808,219.029935993965,204.614916023788,206.767025384613,202.686793888676,210.30200401095,202.219404341652,209.282468951944,200.79748990401,206.91994969792,204.604611707606,215.006652348713,204.253360350348,219.068558997555
"319",313.546370348347,317.593803086609,317.729776567681,317.397838099161,317.394102794125,316.977744909354,320.358708543406,316.740241887908,320.14555708204,316.104636215594,319.419872658325,320.886143681492,323.529251088922,320.442903018003,323.468201364446,320.698981724537,323.663337772431,320.134800934247,332.526712233919,319.525325979023,332.753071807283,319.464311621149,332.881026208632,323.836478319637,336.247873314172,322.858923076182,346.9841137568
"325",252.961000076526,260.932943911588,250.652642830097,269.126440676364,271.025345982399,249.659306104616,252.668148910075,248.281308342197,251.385294810748,252.292728850524,254.751156499447,250.030689130365,252.496191062649,262.891948238104,265.950703030776,252.892476859474,253.655125865657,251.392893238471,259.497974454976,250.451739277553,261.480548535491,249.422266527323,258.929085299182,251.895996071527,259.203705750627,252.593637363599,277.02462776959
"326",324.76418113345,325.701251861749,323.875294532351,326.385976651788,331.163468102349,327.262544684792,330.402735674921,326.876841891194,330.334704752809,326.678443456365,328.693867095676,327.077999187894,330.541237137968,325.292981322341,328.561118542847,324.233252162185,327.168105319562,330.298970349757,342.162506247963,328.46106095483,341.217969520881,327.675933786763,340.72250512517,327.647998174169,339.996157825314,331.029035287873,362.504432712796
"390",302.278427951115,301.516767634085,300.899263641545,301.948751440153,309.698271926185,303.413343545006,305.960970225288,304.108749733513,305.418783855803,300.369071977464,303.717229811575,304.123301181719,306.91501388816,300.000831404463,303.241936812231,299.625897466734,302.985208913817,306.618707362039,312.628795695131,302.31515738538,314.765923277492,302.842012400372,314.226670503744,302.887387880526,315.684695159916,305.497333516334,326.641753165609
"572",268.011640225039,265.900685438613,260.77943154496,273.268364994817,274.034538618427,268.767687311092,271.91237270661,264.084094235877,267.239828647877,267.782421166157,270.272626199927,262.424707877314,264.709647951479,265.493582620287,268.858176432689,258.544390582751,261.665583173621,265.666167866162,275.604850627375,267.933852905438,275.469165270527,261.917753983924,270.321675498265,259.522837144842,270.287837813354,262.845723995824,290.186245723317
"580",270.450092807097,277.648767787337,278.775299823433,275.723014411004,279.888690247763,272.532055817797,275.789917622121,273.826552275576,276.69225563232,268.201421606063,271.664419875101,280.937855916701,283.581993820463,274.436993532531,277.692097886471,275.744234058231,278.947514832983,275.885034363057,287.956696684731,268.304558806717,280.727937128506,270.658198450779,283.221435880235,277.035625367096,287.940006385913,271.739658804204,304.946802419754
"582",317.71798261002,318.880186913393,317.189327461334,317.726761150415,319.602394103392,321.023276462571,324.091428154658,320.313774426913,323.737159272935,320.162579543371,321.622213924161,319.983859928554,323.295460672241,320.938148915811,323.839647714273,319.910521994596,323.179548876831,323.317180948144,334.980203669691,323.587398593455,333.605757694977,323.140224197697,333.690767620336,322.778161362603,334.51423434621,326.166663485702,356.145410758043
