"","W","H","D","T","D/W","W*H","W*D","W*T","H*D","H*T","D*T","W*H*D","W*H*T","W*D*T","H*D*T","W*H*D*T"
"PARL 854",0.628376942311659,0.163717340298364,0.413509896447355,0.132506336132097,0.0662939124526833,0.655285297650699,0.619177193888891,0.770256917999033,0.545657775162119,0.497162323497529,0.707779511529452,0.737248120033372,0.791609086499371,0.79913138065084,0.782313538059623,0.900626767283881
"PARL 845",0.681122309725136,0.799268558422383,0.884356453599808,0.132615254941818,0.0455097663171129,0.864395498599753,0.903990059391625,0.777307774386231,0.90656698240555,0.834908650471749,0.92084513362683,0.904962719986471,0.903479318593262,0.930650627857869,0.945201791534884,0.952409415134775
"PARL 839",0.504474772794084,0.114736365809365,0.701572191042025,0.184834689613383,-0.0292379123472746,0.536756598263909,0.727738900501347,0.665632628678698,0.760090333599208,0.417683615095261,0.87329975195312,0.735547209826206,0.824770991833412,0.907460237622035,0.864829410343444,0.869617978469698
"PARL 585",0.49910193750207,0.482839162228096,0.699084095203299,0.639251471945589,-0.0307620794591927,0.611563479374335,0.743976110289084,0.771871766813764,0.701956127035478,0.805321239181083,0.838085663012556,0.741668822173172,0.834431018619701,0.85916877102748,0.835573484878399,0.88164756401625
"PARL 584",0.644358045156229,0.772049511231568,0.889676453808374,0.0349197949295454,0.023749425825919,0.849892097365235,0.898853307735337,0.706455562984613,0.894512648379876,0.814182499745042,0.936741705816685,0.893650702218084,0.925825852365574,0.970596186047467,0.950435727931451,0.981808285360627
"PARL 582",0.590790242494458,0.208887351717804,0.554153557388535,0.266552240685655,0.104713563684381,0.695383869855935,0.785096228946042,0.703943108731937,0.553562605434739,0.39787373392903,0.642407882597133,0.78179926497021,0.769540044342221,0.855778858500103,0.645707612423705,0.881471296384442
"PARL 580",0.32706994338082,0.138678181415118,0.0128522599111018,0.271366269489151,0.0371707255321779,0.442989044230525,0.337081819384604,0.567752686175122,0.0928134156067261,0.488050678170593,0.466531361813444,0.464693944678944,0.793664243313143,0.719538163383753,0.493712990754261,0.821741453062706
"PARL 572",0.45349683634256,0.496278670922357,0.660974303697374,0.146440358812969,0.00713082980899715,0.545631216216827,0.650446116104157,0.572857360988528,0.649107648523182,0.640338477906631,0.847182910691687,0.636670646092716,0.721219909910807,0.8691727743251,0.876120661522313,0.891074714893002
"PARL 390",0.451821034545709,0.340843128935138,0.583965533043617,0.367397281435392,-0.0202348424673611,0.58448660360661,0.603531706959813,0.77429526770494,0.559975057921463,0.597496070188834,0.847266198822441,0.533581127284758,0.883436021809817,0.898791820588184,0.868257623304279,0.868546697436056
"PARL 326",0.724436254462962,0.710919775425204,0.865762503148531,0.253835356927496,-0.00577444192421139,0.841997622697581,0.882414957133558,0.775638468945187,0.867832699146221,0.81289586799518,0.954201369732002,0.868325034885184,0.914934049265412,0.959811135689667,0.965406374406339,0.953933812438599
"PARL 325",0.618468633830789,0.36060182713358,0.742859545892055,0.178842464598791,0.0705581555377245,0.785807289954447,0.830544239885477,0.756143211015238,0.808970352748674,0.424313400055954,0.800243704219694,0.807637686214917,0.843556339783669,0.897156159066925,0.894914489102324,0.891247733950847
"PARL 319",0.402282318650985,0.515229363142802,0.639297439935099,0.156026990092056,-0.0349164019941297,0.764284980414878,0.765545020546423,0.47336245369727,0.622570324533689,0.574519169971249,0.72222360322484,0.736007667111904,0.816796125731881,0.837609510419014,0.735434573152047,0.87514182041712
"PARL 246",0.48883473195002,0.198707942267728,0.528247501183919,0.0486782873106639,0.0483701948432428,0.717363662837451,0.803460911933388,0.600180105192983,0.792141555719582,0.367222548014682,0.690261136367208,0.82283003042538,0.830923569293152,0.902953515863375,0.893836329432932,0.906292270290039
"PARL 242",0.718900974214326,0.459030405600448,0.61179963306417,0.0836508990985992,0.12909220321439,0.907289639182019,0.921016967846751,0.740298883459743,0.819859181051948,0.538809287656467,0.716382300612062,0.948823323774728,0.958524449601156,0.973607355933946,0.936874378635311,0.979808865598887
"All",0.543969942928872,0.374673047508856,0.6505728362005,0.37736661605904,0.0297797298274748,0.801626271656866,0.817128155791282,0.767526261042881,0.738407060133446,0.586367108586988,0.782293123569854,0.824274701099218,0.942699188259315,0.950491784171517,0.858025754836488,0.956523901340764
