"","W","H","D","T","D/W","W+H","W*H","W+D","W*D","W+T","W*T","H+D","H*D","H+T","H*T","D+T","D*T","W+H+D","W*H*D","W+H+T","W*H*T","W+D+T","W*D*T","H+D+T","H*D*T","W+H+D+T","W*H*D*T"
"PARL 854",0.628376942311659,0.163717340298364,0.413509896447355,0.132506336132097,0.0662939124526833,0.615554928199427,0.655285297650699,0.623958487487951,0.619177193888891,0.751423583741773,0.770256917999033,0.561410188865032,0.545657775162119,0.514656795849583,0.497162323497529,0.71720720427125,0.707779511529452,0.665929632789582,0.737248120033372,0.773423660056742,0.791609086499371,0.807948095430674,0.79913138065084,0.745119843241614,0.782313538059623,0.810462205211089,0.900626767283881
"PARL 845",0.681122309725136,0.799268558422383,0.884356453599808,0.132615254941818,0.0455097663171129,0.844677484270781,0.864395498599753,0.885377195230937,0.903990059391625,0.765466040894846,0.777307774386231,0.886017766793197,0.90656698240555,0.827089809205835,0.834908650471749,0.918851472591601,0.92084513362683,0.883962177163146,0.904962719986471,0.886153285211983,0.903479318593262,0.925789291642253,0.930650627857869,0.926554668873513,0.945201791534884,0.928155669058761,0.952409415134775
"PARL 839",0.504474772794084,0.114736365809365,0.701572191042025,0.184834689613383,-0.0292379123472746,0.54314668813718,0.536756598263909,0.736704675622606,0.727738900501347,0.650884465094297,0.665632628678698,0.768647454285698,0.760090333599208,0.428208097661923,0.417683615095261,0.868851669100065,0.87329975195312,0.768896114848024,0.735547209826206,0.772438741880069,0.824770991833412,0.899427057326121,0.907460237622035,0.880555702020994,0.864829410343444,0.897295365320687,0.869617978469698
"PARL 585",0.49910193750207,0.482839162228096,0.699084095203299,0.639251471945589,-0.0307620794591927,0.626056123537214,0.611563479374335,0.753014239493915,0.743976110289084,0.780068994066821,0.771871766813764,0.708271061990747,0.701956127035478,0.799980305869872,0.805321239181083,0.842466687801861,0.838085663012556,0.762856500160046,0.741668822173172,0.847197102512073,0.834431018619701,0.874862377360733,0.85916877102748,0.835948912747025,0.835573484878399,0.869623958313641,0.88164756401625
"PARL 584",0.644358045156229,0.772049511231568,0.889676453808374,0.0349197949295454,0.023749425825919,0.852581966589651,0.849892097365235,0.901301596722354,0.898853307735337,0.716351763646224,0.706455562984613,0.897258933898532,0.894512648379876,0.820937718844767,0.814182499745042,0.936712638274872,0.936741705816685,0.901382440278149,0.893650702218084,0.91691152209408,0.925825852365574,0.956967656311647,0.970596186047467,0.944616792321794,0.950435727931451,0.95704603524416,0.981808285360627
"PARL 582",0.590790242494458,0.208887351717804,0.554153557388535,0.266552240685655,0.104713563684381,0.70616716360462,0.695383869855935,0.788267602657592,0.785096228946042,0.712652081923876,0.703943108731937,0.559420589559434,0.553562605434739,0.40120491679515,0.39787373392903,0.647944749911177,0.642407882597133,0.780435482054734,0.78179926497021,0.799457321908661,0.769540044342221,0.856653273545811,0.855778858500103,0.650421049615121,0.645707612423705,0.851318208352201,0.881471296384442
"PARL 580",0.32706994338082,0.138678181415118,0.0128522599111018,0.271366269489151,0.0371707255321779,0.454536293250173,0.442989044230525,0.329451448156262,0.337081819384604,0.574456084225711,0.567752686175122,0.105609804636296,0.0928134156067261,0.503398680627095,0.488050678170593,0.319837223359524,0.466531361813444,0.435795834930755,0.464693944678944,0.788103104076819,0.793664243313143,0.606602806366346,0.719538163383753,0.483535027343364,0.493712990754261,0.781373763320302,0.821741453062706
"PARL 572",0.45349683634256,0.496278670922357,0.660974303697374,0.146440358812969,0.00713082980899715,0.561594922587416,0.545631216216827,0.663204902894079,0.650446116104157,0.588677454883565,0.572857360988528,0.662023567230397,0.649107648523182,0.653404129569174,0.640338477906631,0.827112468048586,0.847182910691687,0.662426541521712,0.636670646092716,0.713319017620425,0.721219909910807,0.829264437095435,0.8691727743251,0.836789365637282,0.876120661522313,0.837731360785152,0.891074714893002
"PARL 390",0.451821034545709,0.340843128935138,0.583965533043617,0.367397281435392,-0.0202348424673611,0.592008960671681,0.58448660360661,0.596168049374067,0.603531706959813,0.765120294387537,0.77429526770494,0.577481005606782,0.559975057921463,0.612033728601104,0.597496070188834,0.839726001358904,0.847266198822441,0.582744022876561,0.533581127284758,0.860039748292749,0.883436021809817,0.869720431696113,0.898791820588184,0.85310706451161,0.868257623304279,0.86439985171043,0.868546697436056
"PARL 326",0.724436254462962,0.710919775425204,0.865762503148531,0.253835356927496,-0.00577444192421139,0.836632312454166,0.841997622697581,0.881623413885595,0.882414957133558,0.774928858536194,0.775638468945187,0.871157704798139,0.867832699146221,0.815988698394067,0.81289586799518,0.951639556511606,0.954201369732002,0.879425444816741,0.868325034885184,0.895567383620143,0.914934049265412,0.9547350619403,0.959811135689667,0.959798327479403,0.965406374406339,0.959224557903226,0.953933812438599
