"","W","H","D","T","D/W","W+H","W+D","W+T","H+D","H+T","D+T","W+H+D","W+H+T","W+D+T","H+D+T","W+H+D+T"
"PARL 854",0.610933041042142,0.154080544426537,0.174510568757202,0.128602155187696,0.0220045304071493,0.599221813764698,0.600231578036177,0.72270834306847,0.223078699104096,0.502177630805746,0.345279125839267,0.588443392844573,0.768455643004396,0.712808936354814,0.556245884494895,0.760163522588091
"PARL 845",0.680890884254099,0.769534402738659,0.869790467649905,0.105373992046457,0.0391675262914553,0.827917199380079,0.873185411777842,0.748310487084877,0.876452756178076,0.826607482390364,0.919224027550918,0.874616136309227,0.886639836584144,0.925541713324897,0.925659599394673,0.926846603962426
"PARL 839",0.451812396433798,0.36830701360551,0.793882486789252,0.00970645229631584,-0.0239951586494842,0.517345537656365,0.790248113902082,0.550098845502906,0.839438689744499,0.579230958057228,0.912161172565805,0.835565075660917,0.723587698655618,0.918414671768039,0.915686163649887,0.920392820194273
"PARL 585",0.552818068739455,0.532627544972496,0.391519282894623,0.367525504225866,-0.0153326813811043,0.63346110605255,0.579059796626963,0.765713121201256,0.536146065714099,0.80515667727295,0.702585184098526,0.622593501660023,0.862741236829959,0.813219752689943,0.819076701885811,0.863526326278044
"PARL 584",0.739342479318206,0.736217901992533,0.310049243560566,0.0213698700134948,-0.00296667159944408,0.872572090954843,0.751206996178178,0.789138753570449,0.759616391611381,0.771037592280352,0.307040946806707,0.872959129001407,0.920066091470333,0.791892143570615,0.785382841981403,0.917933076383649
"PARL 582",0.664724843290344,0.36272768555917,0.624631785433305,0.318724732855835,0.0252872019719439,0.76992414003122,0.807903473094152,0.769599343633528,0.622693840759243,0.524536902429441,0.70110185880647,0.801741282370202,0.841255383573717,0.86354710379549,0.698026979682076,0.859687284961464
"PARL 580",0.444327177993492,0.233579174709958,0.138969503384855,0.141134979526959,-0.0329489328608037,0.58035292159482,0.469053310442523,0.591559603601659,0.236132484952277,0.488374327660375,0.399199005412142,0.565571895365898,0.81693009889527,0.685772437494032,0.540474591254399,0.822671217348992
"PARL 572",0.508067775263829,0.560647247644571,0.70095094298674,0.086599755294413,-0.0297731645672543,0.604637152822361,0.696321329423851,0.638627462825611,0.702577335546016,0.694852890508577,0.848544306588637,0.696927899561146,0.748118014568032,0.84910087894344,0.856875206246044,0.856757896445976
"PARL 390",0.630357990209107,0.554642632518181,0.651120537023586,0.417363075347559,-0.0321516246772662,0.760272343765718,0.738984153409181,0.825656470715985,0.647780848995568,0.727650382522945,0.838089560107597,0.756762866867057,0.899217333154277,0.905700881783847,0.832398431459622,0.908019576124491
"PARL 326",0.68920170742216,0.690457566576373,0.863379813061951,0.214371791333118,-0.0258869208134365,0.836417016945359,0.882679825560442,0.692222175341443,0.871734223991441,0.813386732565734,0.93819945201738,0.880533110841098,0.872596852018939,0.936680902614489,0.94052329775424,0.938355597375536
"PARL 325",0.642021861794827,0.468901570975703,0.771186867212893,0.171497140820057,-0.00430687658563311,0.813649847744985,0.845796174420072,0.764374510491055,0.820164687508519,0.516613505879884,0.806428609707546,0.841865321764781,0.876030324708508,0.901670897352086,0.869382654601206,0.899948579985818
"PARL 319",0.490420066322535,0.260761967012654,-0.00145348044338034,0.0470332156307554,0.046437217093146,0.573805251133915,0.494900779519487,0.569633818034326,0.235954246976885,0.30053828466267,0.0269491019327776,0.562330381382784,0.64442617784949,0.559696637412518,0.27699140413117,0.631354991559582
"PARL 246",0.527926892608611,0.332010244576144,0.623260488007114,0.0328898189195469,0.0159629371229018,0.713194834120311,0.779167410851557,0.598448664264677,0.803562296255709,0.404676197142351,0.694259476620757,0.815140580695577,0.812934459499106,0.865936116611539,0.854551492021297,0.883431456528992
"PARL 242",0.755509141894615,0.483991650949553,0.643932053533415,0.427423528978889,0.162059828452457,0.822417826153165,0.866652221425947,0.864342135056461,0.66046852190007,0.733374182899516,0.800714460282241,0.873473570696455,0.9306824358226,0.951901132295966,0.797338510116379,0.951340193396412
"All",0.536566469067781,0.369303881959856,0.486171453261172,0.349786383194126,0.0228730434184125,0.763339487085082,0.715838981035938,0.738024056209078,0.500931324250201,0.5746400522566,0.65069835691337,0.772198599392929,0.887910191665748,0.84671599350403,0.661109810148948,0.891596849705312
