"","W","H","D","T","D/W","W+H","W*H","W+D","W*D","W+T","W*T","H+D","H*D","H+T","H*T","D+T","D*T","W+H+D","W*H*D","W+H+T","W*H*T","W+D+T","W*D*T","H+D+T","H*D*T","W+H+D+T","W*H*D*T"
"PARL 854",0.610933041042142,0.154080544426537,0.174510568757202,0.128602155187696,0.0220045304071493,0.599221813764698,0.653536579311294,0.600231578036177,0.589392035061167,0.72270834306847,0.743984955916938,0.223078699104096,0.347298521479554,0.502177630805746,0.485762078224141,0.345279125839267,0.413270423760742,0.588443392844573,0.720838185462245,0.768455643004396,0.793781848469162,0.712808936354814,0.747989927715438,0.556245884494895,0.713695830512073,0.760163522588091,0.841644279776543
"PARL 845",0.680890884254099,0.769534402738659,0.869790467649905,0.105373992046457,0.0391675262914553,0.827917199380079,0.841483716770375,0.873185411777842,0.886390982384658,0.748310487084877,0.76113040334581,0.876452756178076,0.893089760113052,0.826607482390364,0.830289399665751,0.919224027550918,0.921370278739825,0.874616136309227,0.890563259821952,0.886639836584144,0.903808149468543,0.925541713324897,0.931236544747863,0.925659599394673,0.945059771071533,0.926846603962426,0.953516186002634
"PARL 839",0.451812396433798,0.36830701360551,0.793882486789252,0.00970645229631584,-0.0239951586494842,0.517345537656365,0.508074057919306,0.790248113902082,0.792827321365117,0.550098845502906,0.603663004586197,0.839438689744499,0.835164543081463,0.579230958057228,0.607329934576014,0.912161172565805,0.919879463659289,0.835565075660917,0.831429612635011,0.723587698655618,0.830032218000939,0.918414671768039,0.931354216801996,0.915686163649887,0.913025069338622,0.920392820194273,0.91730928730161
"PARL 585",0.552818068739455,0.532627544972496,0.391519282894623,0.367525504225866,-0.0153326813811043,0.63346110605255,0.622467768520873,0.579059796626963,0.622082206834411,0.765713121201256,0.768740599632808,0.536146065714099,0.543599540798147,0.80515667727295,0.799098728513504,0.702585184098526,0.724273943155368,0.622593501660023,0.769704716875738,0.862741236829959,0.855180601465591,0.813219752689943,0.830502516679884,0.819076701885811,0.84973270507336,0.863526326278044,0.864078938637244
"PARL 584",0.739342479318206,0.736217901992533,0.310049243560566,0.0213698700134948,-0.00296667159944408,0.872572090954843,0.877816065947827,0.751206996178178,0.751826534993354,0.789138753570449,0.782045483262961,0.759616391611381,0.78763317634934,0.771037592280352,0.763219396289169,0.307040946806707,0.650149885523083,0.872959129001407,0.875051218543922,0.920066091470333,0.94732894810762,0.791892143570615,0.888243181526206,0.785382841981403,0.893173690612267,0.917933076383649,0.971704989323051
"PARL 582",0.664724843290344,0.36272768555917,0.624631785433305,0.318724732855835,0.0252872019719439,0.76992414003122,0.762484113296002,0.807903473094152,0.831441310001918,0.769599343633528,0.767717938314752,0.622693840759243,0.653188355020903,0.524536902429441,0.531223770700375,0.70110185880647,0.695437105751385,0.801741282370202,0.831519927634597,0.841255383573717,0.82203651133845,0.86354710379549,0.886798709060105,0.698026979682076,0.725474580893329,0.859687284961464,0.899509520508695
"PARL 580",0.444327177993492,0.233579174709958,0.138969503384855,0.141134979526959,-0.0329489328608037,0.58035292159482,0.571549180174321,0.469053310442523,0.4830925109507,0.591559603601659,0.577279563505275,0.236132484952277,0.213227828625415,0.488374327660375,0.510164335617019,0.399199005412142,0.395173629768664,0.565571895365898,0.52416456313514,0.81693009889527,0.830957653812319,0.685772437494032,0.721914422354371,0.540474591254399,0.537442966730765,0.822671217348992,0.804989321303846
"PARL 572",0.508067775263829,0.560647247644571,0.70095094298674,0.086599755294413,-0.0297731645672543,0.604637152822361,0.597821889280519,0.696321329423851,0.690489509844505,0.638627462825611,0.626865851669655,0.702577335546016,0.693883155056029,0.694852890508577,0.685151666189062,0.848544306588637,0.863928235283166,0.696927899561146,0.676120883209828,0.748118014568032,0.756206540721395,0.84910087894344,0.886496718967145,0.856875206246044,0.89240189940384,0.856757896445976,0.905475418603586
"PARL 390",0.630357990209107,0.554642632518181,0.651120537023586,0.417363075347559,-0.0321516246772662,0.760272343765718,0.751829304723641,0.738984153409181,0.740900506292406,0.825656470715985,0.83144860082492,0.647780848995568,0.642534769718281,0.727650382522945,0.71830640682704,0.838089560107597,0.836541440633245,0.756762866867057,0.726418087286805,0.899217333154277,0.923696116791502,0.905700881783847,0.926155827878044,0.832398431459622,0.869989789614807,0.908019576124491,0.925165254037892
"PARL 326",0.68920170742216,0.690457566576373,0.863379813061951,0.214371791333118,-0.0258869208134365,0.836417016945359,0.837368494254643,0.882679825560442,0.882729967971494,0.692222175341443,0.7588664667472,0.871734223991441,0.868859257297955,0.813386732565734,0.809119504732199,0.93819945201738,0.941931790205048,0.880533110841098,0.870624211029356,0.872596852018939,0.916222968878301,0.936680902614489,0.959541777831779,0.94052329775424,0.962501578891935,0.938355597375536,0.9552239912808
