"","W","H","D","T","D/W","W*H","W*D","W*T","H*D","H*T","D*T","W*H*D","W*H*T","W*D*T","H*D*T","W*H*D*T"
"All",5809.31610203308,5939.07534308525,5699.88176935334,5937.30115465807,6119.60647306176,5477.21973165099,5443.77782650127,5542.41440093254,5590.9174821318,5779.23324899707,5515.44141070099,5447.40895573761,4986.8394031573,4926.76100222367,5359.75239440121,4913.26874957868
"242",332.025538439748,350.355908189566,341.064347345398,365.112869483079,363.688753241211,305.390401842358,300.903480606835,334.231835008225,323.989643734642,350.311681508781,336.698516971263,296.976718556353,291.091684739487,278.435159203553,302.852318221078,283.29010964739
"246",356.809730086128,369.846173695404,354.482814235326,374.823350813463,374.832741152774,344.129026013428,333.593334405816,354.187767048306,335.217217207766,367.501800476072,346.784513195236,338.997467846571,337.641465938315,321.541803208916,324.145767833578,333.55727787655
"319",380.057015229445,374.192620404358,365.915199364162,389.717070602133,395.42782225346,358.426368253478,358.276289736255,380.935260610985,371.607668692177,374.963066416392,363.023770312305,369.822485527376,359.593512623132,356.216832030564,369.883204103042,361.212241281692
"325",424.021549534205,439.511578945081,412.184431063172,447.017206775251,450.733284730705,411.281196893411,404.252669886778,415.172346850154,407.847772288765,440.941815631456,409.187856245873,416.649499501588,410.448958555577,397.864432069051,398.511312405873,413.190280709728
"326",394.714097450811,396.1985405166,372.418637442691,425.594043562774,434.849615467108,382.124367953683,372.965472567442,392.994476090789,376.589580574923,387.365080343375,343.735335200283,385.239213679711,371.695014411981,348.450070617631,343.802534610724,366.902371235393
"390",398.177169198204,403.33924184401,390.453825518709,402.187911468843,415.570385724854,394.84194759279,393.528221623127,377.753905863947,396.446811173429,393.951267730565,366.819034887432,406.301700860602,367.475674248058,363.520374270972,370.90309916011,383.196111607213
"572",393.9820677461,391.536560749575,379.658141994125,407.358327394642,411.893831946959,393.022295470129,385.154752169341,391.168560648137,385.269405012843,386.009921631387,360.332271793573,394.907479453667,386.960885338982,364.264514377028,362.627427887245,372.418078460125
"580",375.029841229042,382.18781875218,386.142012443859,377.336204906482,385.418647948548,374.049924558351,379.097857865731,366.695901592094,388.195058401162,371.603505738785,372.7975704335,381.310218121841,353.663534425765,362.564589455721,379.69390518323,362.452459814796
"582",384.222085292157,404.657672513362,386.880233443005,402.311468631579,408.49247597775,379.724391786153,368.909668459835,378.84086828379,391.574042044256,400.848249761332,384.694950565113,378.14697293271,379.841484925268,365.310876850612,393.172892531379,373.450037238265
"584",417.521698375241,404.177817502783,382.406485304203,447.470300335762,447.815542657318,396.223751167614,384.380275429754,416.343990524281,385.640851252203,402.626069894479,370.299907146343,394.478154724619,383.668756807767,355.910018329019,371.574394152082,355.155299428845
"585",370.418745364983,371.313382101483,356.150735730543,361.228543507615,390.624975557561,367.722318716428,356.050266686319,352.820106544681,360.305425036369,348.380508377963,343.220572943434,364.525286985261,352.069361465366,347.538241918836,351.875484982872,355.023692213656
"839",360.708027408722,376.375242545507,347.016591804784,374.147889293613,380.443829992551,363.229525326102,348.87926586493,354.427192713239,345.463791028996,369.406080292596,328.22595375871,356.118454817539,345.006091499259,327.767797836989,337.998076024234,348.634232212967
"845",419.136421811887,404.788390799288,387.693275915144,450.157347775246,453.123885550268,397.282152033132,386.578136085781,412.659642911464,385.73472082457,403.381599908746,380.593726616428,395.027805304324,395.507935308782,385.259328884818,377.958841530441,387.808275456637
"854",348.203919897796,373.3476048345,362.348467820594,374.483492644753,376.763651132737,350.526615606948,353.614744650279,337.948195869201,359.086756837185,362.2306743514,345.405151785163,350.875226496661,343.689598329327,342.549894228421,345.042440556792,334.954211021025
