"","W","H","D","T","D/W","W+H","W*H","W+D","W*D","W+T","W*T","H+D","H*D","H+T","H*T","D+T","D*T","W+H+D","W*H*D","W+H+T","W*H*T","W+D+T","W*D*T","H+D+T","H*D*T","W+H+D+T","W*H*D*T"
"All",5809.31610203308,5939.07534308525,5699.88176935334,5937.30115465807,6119.60647306176,5498.27888618529,5477.21973165099,5464.53122136697,5443.77782650127,5560.68591087832,5542.41440093254,5589.61118325184,5590.9174821318,5773.24056160918,5779.23324899707,5514.16619432768,5515.44141070099,5470.32449258509,5447.40895573761,5162.20250329962,4986.8394031573,5125.03877624843,4926.76100222367,5360.84739411991,5359.75239440121,5128.64579585752,4913.26874957868
"242",332.025538439748,350.355908189566,341.064347345398,365.112869483079,363.688753241211,309.492889836603,305.390401842358,307.697919534474,300.903480606835,330.908635468014,334.231835008225,320.730983517867,323.989643734642,348.450490262643,350.311681508781,337.341061667905,336.698516971263,310.312142093413,296.976718556352,300.030973161562,291.091684739487,295.25883681675,278.435159203553,304.95706187106,302.852318221078,293.586691449917,283.290109647389
"246",356.809730086128,369.846173695404,354.482814235326,374.823350813463,374.832741152774,348.064381992001,344.129026013428,340.161779714762,333.593334405816,355.365697140242,354.187767048306,336.226972113239,335.217217207766,367.520894850803,367.501800476072,349.518355964222,346.784513195236,336.44455178681,338.997467846571,337.88784787939,337.641465938315,328.623155081404,321.541803208916,332.356093380937,324.145767833578,328.030618091098,333.55727787655
"319",380.057015229445,374.192620404358,365.915199364162,389.717070602133,395.42782225346,355.898416355031,358.426368253478,356.407231298799,358.276289736255,377.732573218464,380.935260610985,368.351699055464,371.607668692177,371.825965236142,374.963066416392,362.253683519416,363.023770312305,358.488919296702,369.822485527376,351.551011803574,359.593512623131,351.131487989449,356.216832030564,364.215880136803,369.883204103042,353.513531361788,361.212241281689
"325",424.021549534205,439.511578945081,412.184431063172,447.017206775251,450.733284730705,409.171983188898,411.281196893411,402.470271312316,404.252669886778,412.577253081107,415.172346850154,405.518229563551,407.847772288765,438.888483277574,440.941815631456,408.125020174834,409.187856245873,405.183904047034,416.649499501588,398.890656476178,410.448958555577,388.272384234866,397.864432069051,391.327466281544,398.511312405873,388.489521628557,413.190280709718
"326",394.714097450811,396.1985405166,372.418637442691,425.594043562774,434.849615467108,380.852971044643,382.124367953683,370.866864730363,372.965472567442,390.785777897296,392.994476090789,373.493128563941,376.589580574923,384.541777767733,387.365080343375,343.116013349688,343.735335200283,373.743772081996,385.239213679711,369.288258867329,371.69501441198,343.371970395146,348.450070617631,339.694622092837,343.802534610724,342.397972252331,366.902371235382
"390",398.177169198204,403.33924184401,390.453825518709,402.187911468843,415.570385724854,392.141208906589,394.84194759279,391.854310151638,393.528221623127,376.68040075611,377.753905863947,393.120906260133,396.446811173429,390.732058358973,393.951267730565,365.979118556853,366.819034887432,394.959128491145,406.301700860602,364.373568687468,367.475674248058,362.366646312095,363.520374270971,365.727243401075,370.90309916011,365.627960082564,383.196111607215
"572",393.9820677461,391.536560749575,379.658141994125,407.358327394642,411.893831946959,389.680332424027,393.022295470129,381.770274655619,385.154752169341,387.767363546994,391.168560648137,381.875317931897,385.269405012843,382.630816787361,386.009921631387,361.765271269183,360.332271793573,384.108514689914,394.907479453667,379.206121584502,386.960885338982,363.65849876267,364.264514377028,362.306268506823,362.627427887245,364.357193293121,372.41807846013
"580",375.029841229042,382.18781875218,386.142012443859,377.336204906482,385.418647948548,371.212518907808,374.049924558351,377.199854282929,379.097857865731,364.012743471864,366.695901592094,385.553189112058,388.195058401162,368.49090541602,371.603505738785,377.612699310579,372.7975704335,374.422031441088,381.310218121841,346.02185687314,353.663534425765,363.964735594922,362.564589455721,371.858178814205,379.69390518323,349.111964295356,362.452459814773
"582",384.222085292157,404.657672513362,386.880233443005,402.311468631579,408.49247597775,376.300519010219,379.724391786153,366.142196549872,368.909668459835,375.608683259803,378.84086828379,388.85798910889,391.574042044256,398.369680014301,400.848249761332,381.904609166521,384.694950565113,369.574797308048,378.14697293271,366.765607119727,379.841484925268,356.357024602128,365.310876850612,383.992379938499,393.172892531379,359.753864869411,373.450037238253
"584",417.521698375241,404.177817502783,382.406485304203,447.470300335762,447.815542657318,393.412301502633,396.223751167614,381.376195097176,384.380275429754,413.046178015923,416.343990524281,382.580489084219,385.640851252203,399.24614257602,402.626069894479,368.044701606613,370.299907146343,383.620599663169,394.478154724619,378.480300742732,383.668756807767,358.741679928472,355.910018329019,366.311412695167,371.574394152082,360.911564217074,355.155299428845
"585",370.418745364983,371.313382101483,356.150735730543,361.228543507615,390.624975557561,364.468457012229,367.722318716428,352.854755947473,356.050266686319,349.606285619679,352.820106544681,357.516598908186,360.305425036369,346.949140067884,348.380508377963,340.263331135861,343.220572943434,353.905317814553,364.525286985261,341.59885292243,352.069361465367,336.006280583545,347.538241918836,343.587666260435,351.875484982872,339.295062022088,355.02369221366
"839",360.708027408722,376.375242545507,347.016591804784,374.147889293613,380.443829992551,360.707760951577,363.229525326102,345.828437596326,348.87926586493,353.445855915831,354.427192713239,342.336430678759,345.463791028996,366.766905453279,369.406080292596,327.010859713721,328.22595375871,344.454122416617,356.118454817539,344.037030194066,345.006091499259,321.990552615295,327.767797836989,326.633658240758,337.998076024234,324.652489412884,348.634232212966
"845",419.136421811887,404.788390799288,387.693275915144,450.157347775246,453.123885550268,399.184156849084,397.282152033132,389.764592241479,386.578136085781,411.959154255971,412.659642911464,389.590862295906,385.73472082457,402.509484364895,403.381599908746,379.058257658132,380.593726616428,392.451534432212,395.027805304324,391.860573359112,395.507935308782,378.594294503103,385.259328884818,378.272913721685,377.958841530441,379.85372231668,387.808275456637
"854",348.203919897796,373.3476048345,362.348467820594,374.483492644753,376.763651132737,351.601623089851,350.526615606948,350.91648032062,353.614744650279,338.08405404944,337.948195869201,355.686297254236,359.086756837185,358.826339111538,362.2306743514,342.081942716399,345.405151785163,349.554285908292,350.875226496661,337.517924550222,343.689598329327,332.393120551065,342.549894228421,341.166982022393,345.042440556792,334.248663694931,334.954211021023
