"","W","H","D","T","D/W","W*H","W*D","W*T","H*D","H*T","D*T","W*H*D","W*H*T","W*D*T","H*D*T","W*H*D*T"
"All",6354.59067888869,6492.64689234954,6400.83622940775,6506.30049493718,6688.77790111225,6038.50205027592,6145.57710566243,6082.23357646619,6386.64912458444,6326.84709254207,6236.41508699538,6039.32791910468,5544.96240968482,5819.60394038156,6222.90134052404,5558.96541393867
"242",399.954390567895,423.856631451963,411.984587542223,427.185378801186,439.370991706399,362.231812331542,353.894358153569,383.550508706819,415.080684206273,406.24185700628,390.502633996023,343.398729289234,336.154302051586,324.447592902466,385.43850082695,320.873587284125
"246",395.825230090492,406.933677293518,388.606674470609,418.774944265463,419.330180480675,379.672752860111,370.969922515562,394.825820987467,371.969799621624,408.742086831786,386.367612651217,380.284129612196,367.708873950167,350.02261159473,359.393796414432,362.603935315948
"319",434.909136315922,446.81420011392,456.529007588775,454.940922633389,454.960929618042,433.342069891764,423.084607263012,434.741110488235,441.619605935853,440.920189907714,454.619005851097,418.620824201044,413.996696439829,417.967870831014,434.797923837484,414.016673075584
"325",454.682383723178,467.305598167594,440.360263349847,481.535131557499,487.692975384022,439.277475006358,431.654044719979,446.613239299746,435.030355640207,469.563562802431,433.709325920223,443.988607690085,436.054439575547,422.020684202184,424.32361973753,442.508172802254
"326",410.380749305697,410.251183258675,384.078688274249,440.05561454461,448.594147102296,394.379419328472,383.915172959665,406.983064746597,387.492513012708,399.504558924815,361.423624445124,395.989039479889,382.083043190823,358.79059557494,356.359521591254,376.786482090617
"390",454.834706732672,460.797651907263,452.984834351615,469.395641946597,487.694414323633,446.80902427136,448.188075046245,434.428990546032,458.486505955918,450.863524571366,433.447190731262,458.858643032093,417.998571220513,416.95003553555,435.051024271684,432.127445843879
"572",418.750072636968,415.132846209064,402.822606326859,438.552735557132,442.390164668072,417.027503741721,408.646605611852,414.628878141628,408.293802087394,409.193775451294,382.348699783799,419.028835129982,409.939268365623,385.475599751875,383.765879778682,394.371505178461
"580",412.307859745294,422.597515033074,426.322267821366,426.241687027386,432.147647288168,408.711440852574,414.717455633565,408.280563903368,428.159849106362,412.996048771305,419.743935793558,420.998238389364,387.880708120875,403.809656821151,420.092567699524,407.20467402509
"582",396.988201599467,417.540057644793,400.602790134651,419.676677652983,431.138323309882,390.680956065311,379.706539589094,389.967928983831,402.794469988221,412.437468671248,398.637535343881,388.621732811062,390.37408261805,375.896935750643,404.24497697871,386.836593011667
"584",443.671300513019,444.052612885145,474.820512135492,486.005585405377,486.791626732145,424.149246868249,446.824459406033,442.669529641817,441.83844732073,445.320652440218,457.812518960503,433.795411587538,406.152598777645,430.224894533989,428.781022268798,401.019426005105
"585",419.913244049179,421.326395126569,429.769234635799,431.006824210309,446.153438795095,419.219037713735,419.251701621698,403.535328253155,425.28990739951,399.032082651562,409.163097832301,412.331763689837,397.487767324441,402.522987813514,398.669470866775,410.209550201191
"839",439.621017106034,444.158166688731,408.319541521599,458.545300029971,459.616201330518,440.879456553645,413.206639301953,433.965429895855,405.891282620916,433.667986158403,382.805985323456,415.538385155997,415.802561466396,386.789787202197,394.362914182428,407.497513811053
"845",431.563912944461,421.150104903123,402.879491834124,464.551838154328,466.836455947435,413.897987948034,403.238965938523,427.01992269946,401.294220955834,416.081581998553,391.462546018159,410.971768867009,406.84370401028,396.102193286528,388.920542642819,398.323012593886
"854",359.724994461791,384.578520512774,383.796194481633,385.528104241961,389.22110895819,360.73751950802,366.173092552172,351.056206344599,381.004483534155,373.374600984214,377.594696493039,362.756100534682,353.064676609925,359.481779317917,363.564522334078,359.364777966003
