"","H","W","H*W","I(H*W)"
"PARL 854",-0.0257216338123369,0.299532882573216,0.340817629847093,0.0985491334151107
"PARL 845",0.171642760639078,0.14499213507717,0.124936931914996,0.183303600126798
"PARL 839",0.0774991434809542,0.303345546998826,0.329374136811573,0.314242615388577
"PARL 585",0.0859799778578668,0.147293223775969,0.0937104867618012,0.159546017695061
"PARL 584",-0.0623740454145674,0.0754329393410271,0.155784057739091,-0.030826978077882
"PARL 582",-0.031918803688044,-0.00260384409549319,-0.0720867412658552,-0.00828525710972672
"PARL 580",-0.00942229487178059,0.152597199820505,0.133828526383245,0.140779793710258
"PARL 572",0.161373956007422,0.103198073495441,0.12021390085269,0.179258536707969
"PARL 390",0.160745557551332,0.177677434166564,0.172401005095964,0.2332700517398
"PARL 326",0.13619875605424,0.144544811603882,0.116167758236734,0.172328158866071
"PARL 325",0.188872817895539,0.440492076495908,0.498612183021901,0.535928501800786
"PARL 319",-0.00355570614931433,0.176476319179831,0.120618095665416,0.128178984883254
"PARL 246",0.211738869939921,0.314485476335922,0.480910649646149,0.493029555593466
"PARL 242",0.40621203184683,0.65291392380223,0.799725165381017,0.809516230276523
"All",0.0842671969821429,0.356867424352069,0.39819181778698,0.37585353473351
