"","H","W","H*W","I(H*W)"
"PARL 854",-0.033530157128141,0.312264699392834,0.366969417615331,0.0790185562688951
"PARL 845",0.117210195193744,0.134253681911101,0.0892384260701606,0.142604743061206
"PARL 839",0.320699629376813,0.471665489225119,0.500588079538529,0.51840629626257
"PARL 585",0.0172350690355357,0.00888895561727143,-0.050245179799387,0.021405060137428
"PARL 584",-0.0509407954805616,0.0984215879959834,0.164680336175269,0.00050086500288482
"PARL 582",-0.00810546175848992,0.0278509041976142,-0.0235822202088387,0.0266558785550901
"PARL 580",0.044623077424003,0.237084443045186,0.222253017619419,0.236186265395147
"PARL 572",0.223958819142397,0.169273264529218,0.189182996967765,0.24025907546005
"PARL 390",0.231204751297938,0.210745502046615,0.232754533089,0.251507542685919
"PARL 326",0.128821538383241,0.153962750872867,0.129426147007038,0.181445715716268
"PARL 325",0.322303138297264,0.501259032951591,0.581276031400913,0.614767484387147
"PARL 319",-0.0202001734419897,0.104670515977321,0.040074155171393,0.0495009139356143
"PARL 246",0.385289486861589,0.362653895943761,0.60023883574946,0.60936352421981
"PARL 242",0.351468217137719,0.644200367804266,0.829839414031234,0.722369699955113
"All",0.0841652994709297,0.346397575894561,0.381797988803894,0.357499398265817
