"","H","W","H*W","I(H*W)"
"PARL 854",254.535196359455,243.093068747111,245.849808670735,250.660812233431
"PARL 845",359.762624182189,360.744275073771,366.115765711341,359.323134465791
"PARL 839",249.880405927528,242.298838872107,245.611099813805,241.873166966437
"PARL 585",252.512882891425,250.638090782477,256.623924058468,250.247305431087
"PARL 584",201.160899538518,198.660055806969,200.400723435378,200.618294976989
"PARL 582",309.493937141269,308.600531853853,315.330480337197,308.775702401022
"PARL 580",252.643929030896,247.570166800476,252.708184099399,247.971790654572
"PARL 572",251.100354333208,253.045388079601,256.992579422437,250.475209002345
"PARL 390",271.972372241409,271.442461164526,275.862654372875,269.62251100951
"PARL 326",316.080216329877,315.779237663087,321.44362459536,314.75571182045
"PARL 325",242.947875512759,234.035063342835,235.471459440444,229.54660594823
"PARL 319",280.535124264388,275.196890192292,281.309188773818,276.735669857014
"PARL 246",193.046144875897,188.996012632085,185.434017996344,180.246220243797
"PARL 242",205.162237968537,190.12765218483,179.154163480609,173.32748937163
"All",3985.70496662432,3848.94933063472,3833.1490578511,3837.35255630294
