"","H","W","H*W","I(H*W)"
"All",4342.50884439942,4200.15278313195,4186.72983504198,4192.92329052101
"242",277.891600060761,258.680615391952,239.80031123471,250.742139580889
"246",213.855435408801,215.012600072593,204.810041977448,199.347465855522
"319",317.593803086609,313.546370348347,320.358708543406,315.400028098066
"325",260.932943911588,252.961000076526,252.668148910075,246.246766107309
"326",325.701251861749,324.76418113345,330.402735674921,323.707423626694
"390",301.516767634085,302.278427951115,305.960970225288,300.740624659867
"572",265.900685438613,268.011640225039,271.91237270661,265.242614323205
"580",277.648767787337,270.450092807097,275.789917622121,270.487744126793
"582",318.880186913393,317.71798261002,324.091428154658,317.757294826284
"584",221.263029041275,218.197148653327,220.306301772019,220.259294057031
"585",291.593516330876,291.855671666367,298.304940717115,291.461699706941
"839",286.25814594146,278.466798897811,281.374295672215,275.595305914655
"845",375.330279964324,374.706433717696,381.052188468466,374.396260655867
"854",263.201332354529,250.574054866169,252.657357338312,259.627166578126
