"","A","A^2","A^2+A"
"PARL 854",-0.00867749030317211,-0.0249396772791302,-0.0249224840297126
"PARL 845",0.174742448379889,0.149426472779191,0.149452882685925
"PARL 839",0.448075924701692,0.419164544201385,0.419191711355006
"PARL 585",0.0651312098034679,0.0456359800606914,0.0456544607344151
"PARL 584",-0.0183810890937248,-0.0232465346531803,-0.0232416207117678
"PARL 582",0.0107358799000307,0.00813273606336185,0.00813534999510945
"PARL 580",0.236875409137853,0.249164107485773,0.249153122744785
"PARL 572",0.319804358435453,0.320406226760226,0.320411067400709
"PARL 390",0.13968445676974,0.132185033533348,0.132192735695573
"PARL 326",0.211801654316835,0.21135608441984,0.211359255365334
"PARL 325",0.600209634657418,0.603517789439222,0.603520478058427
"PARL 319",0.129702324699332,0.126592568535155,0.126596296199669
"PARL 246",0.49458461069131,0.463485530263462,0.463538698377321
"PARL 242",0.805313157923044,0.797406457297058,0.797435788821535
"All",0.389390970687871,0.373934505324133,0.373961368117418
