"","A","A^2","A^2+A"
"PARL 854",-0.0112349788990629,-0.0248685628978358,-0.0248539421886584
"PARL 845",0.135490833467522,0.110317397722961,0.11034251762157
"PARL 839",0.613903661856969,0.573850040922079,0.573895960108524
"PARL 585",0.0550866522295758,0.0394644159436816,0.0394814444849025
"PARL 584",0.0148796798519827,0.0111530265634309,0.0111576078101715
"PARL 582",0.050874683734016,0.0431964327465272,0.043205504887197
"PARL 580",0.318793396924633,0.317821880929111,0.317825992806123
"PARL 572",0.369903220054169,0.371357971625864,0.371365336154823
"PARL 390",0.191646884133929,0.16240981935494,0.162434351693316
"PARL 326",0.221719669453705,0.221291071360499,0.221294227411402
"PARL 325",0.657893119404387,0.650013351072203,0.6500247116301
"PARL 319",0.0352463598349028,0.0275267538594005,0.027534478868979
"PARL 246",0.608745897010571,0.579429082117826,0.57948210168113
"PARL 242",0.730122544473342,0.795092932412794,0.795018639509091
"All",0.371260270082057,0.343012450859572,0.343050379120988
