"","A","A^2","A^2+A"
"All",3819.65887579769,3829.30815085535,3829.29158827403
"242",173.938598794294,175.053261703157,175.049207565333
"246",180.157130426534,181.88880418099,181.885930163991
"319",276.688451270798,276.78475597864,276.784640743581
"325",225.968246568089,225.768826986471,225.768664237481
"326",313.240835362967,313.258354765014,313.258230121299
"390",272.616790125414,272.842451586994,272.84222082685
"572",245.028205984349,245.002534093627,245.002327530413
"580",244.532276632538,244.061484848013,244.061909115368
"582",308.185305897144,308.266771978609,308.266690282203
"584",200.399645866887,200.485438383368,200.48535194168
"585",253.121833092291,253.67908562879,253.678562785293
"839",228.396001232042,229.723483649665,229.722267535004
"845",359.64640553577,360.583081028179,360.582118477861
"854",254.032506140243,254.512317204483,254.511813953589
