"","A","Th_A","A*T","Th_A*T","A*T*D","Th_A*T*PD"
"PARL 854",-0.117234770210917,-0.343681805655315,-0.531293008319188,-0.527946337209571,-0.579055056870741,-0.527692813287434
"PARL 845",-0.732037083971472,-0.678688227154133,-0.736545339070616,-0.655949663679113,-0.706039276138928,-0.73141788389816
"PARL 839",-0.209421616534108,-0.186051433634323,-0.333892614815025,-0.428930783784089,-0.279788633342547,-0.452529674662615
"PARL 585",-0.474152454549302,-0.473681147129943,-0.609466148774527,-0.63102320305042,-0.539964201700601,-0.592973120012542
"PARL 584",-0.937133938264781,-0.886201123602399,-1.07758192691889,-1.06293470502069,-1.32024783180024,-1.29269884698944
"PARL 582",-0.687754071944648,-0.716802324511675,-0.833394994471888,-0.809614540289311,-0.963350794131793,-0.860645944577094
"PARL 580",-0.341652747619106,-0.321889481525602,-0.488440867605254,-0.505630817980028,-0.565974751279682,-0.577533234688811
"PARL 572",-0.316009483184042,-0.398178147962452,-0.463306552342317,-0.50352011255574,-0.52031794141082,-0.455469003977789
"PARL 390",-0.275938502770519,-0.36421320454081,-0.510705091074941,-0.571498818205634,-0.737179559087413,-0.616177083919588
"PARL 326",-0.681010549820455,-0.676024678260128,-0.731315813172766,-0.721505081956589,-0.815816581376481,-0.8592299483957
"PARL 325",-0.294425197313112,-0.263203732771149,-0.315881164650561,-0.271632403488106,-0.406252772553358,-0.318498998911801
"PARL 319",-0.4055700555512,-0.651282236104288,-0.554409542573538,-0.756290358383878,-0.939150831155617,-0.856213622117424
"PARL 246",-0.292894509841732,-0.202911997181397,-0.434377041083498,-0.347893425942562,-0.411676880254662,-0.356268410238163
"PARL 242",-0.0765479918982059,-0.093169867993398,-0.06704364756021,-0.090047834910004,-0.084044134668103,-0.120197111122146
"All",-0.432275355921986,-0.426321093488372,-0.497740792224036,-0.510025544905877,-0.500908101052259,-0.489633889933203
